name,prefecture,city,lv01Nm,link,hyoka,comi,yado,onsen_num,dai,roten,sauna,kinen,kokyu,tanjun,enka,tansan,iou,housya,ryusan,sansei,gantetsu,nisan,youso,latitude,longitude,都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
箱根温泉,神奈川県,箱根町,仙石原,http://www.hakone-ryokan.or.jp,4.22,78705,234,212,150,146,39,205,45,True,True,True,True,True,True,True,False,False,False,35.262245,139.012143,神奈川県,信玄館,139.0,3.0,10.0,35.0,26.0,30.0,0,井戸,温泉・鉱泉,0,0,0,32.9,0,0,9.93,7.75,0,0,0,528.6,0,0,0,0,0,0.088,153.0,1.72,0,0,0,0.48200000000000004,19.9,0,0,0.068,0,0.15,0,0,0,0,0,0,0,44.57,0,0,1.45,0,0,0,0,0,260,0,0,0,0,32.6,1.64,0,0,0,0,0,0,0,0,0,1.319,0.446,0,0,0,0,0,0,0,0,1963-09-27 00:00:00,"丹沢山地の温泉鉱泉.神奈川県温研報告,1964"
由布院温泉,大分県,由布市,湯布院町川上,http://www.yufuin.gr.jp,4.52,22264,139,134,45,97,3,130,21,True,True,True,True,True,True,False,True,False,False,33.2574025,131.3279616,大分県,山香町,131.0,29.0,46.0,33.0,28.0,14.0,0,不明,温泉・鉱泉,0,0,0,13.3,0,0,5.83,0.0,0,0,0,0.0,0,0,0,0,0,0,33.0,5.4,0,0,0,12.0,99.5,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,256.0,0,0,0,0,59.1,0,0,0,0,0,0,0,0,56.3,0,0,0.0,0,0,0,0,0,0,0,0,1977-11-27 00:00:00,"国東半島の温鉱泉の化学組成,大分県温泉調査研究会報告第33号,1982"
伊豆高原温泉,静岡県,伊東市,八幡野,,4.52,22918,135,133,24,77,9,129,21,True,True,False,False,True,True,False,False,False,False,34.8813335,139.1226735,静岡県,熱海市,139.0,4.0,13.0,35.0,5.0,52.0,0,井戸,温泉・鉱泉,300.0,0,0,63.0,0,0,8.0,0.0,0,0,0,9300.0,0,0,0,0,0,0,555.0,15.1,0,0,0,1.7,980.6,0,0,0.6,0,0,0,0.7,0,0,0,0,0,2155.8,0,0,0,0,0,0,0,0,629.2,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0,0,8.2,0.0,0,0,0,0,0,0,0,0,1964,"熱海温泉の熱水系について,地調月報,1969"
別府温泉郷,大分県,別府市,観海寺,http://www.gokuraku-jigoku-beppu.com/,4.25,54139,126,117,62,75,24,114,11,True,True,True,True,True,True,True,True,False,False,33.3180208,131.4819999,大分県,0,131.0,35.0,22.0,33.0,36.0,9.0,0,不明,温泉・鉱泉,0,0,0,33.8,0,0,7.41,0.0,0,0,0,0.0,0,0,0,0,0,0,460.0,1.4,0,0,0,5.2,313.0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,0,0,0,0,0,720.0,0,0,0,0,75.6,0,0,0,0,0,0,0,0,47.0,0,0,0.0,0,0,0,0,0,0,0,0,1977-11-27 00:00:00,"国東半島の温鉱泉の化学組成,大分県温泉調査研究会報告第33号,1982"
草津温泉,群馬県,草津町,大字草津,http://www.kusatsu-onsen.ne.jp,4.30,34133,121,115,53,37,8,110,8,False,True,True,True,True,True,True,False,False,False,36.6212737,138.5966323,群馬県,高半,138.0,59.0,10.0,36.0,48.0,30.0,0,不明,温泉・鉱泉,0,0,0,61.0,0,0,8.3,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,115,0,0,0,0,22,1.5,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"本邦諸温泉の地質学的研究,地調報告,1962"
白馬八方温泉,長野県,白馬村,大字北城,http://hakuba-happo-onsen.jp,4.31,8239,123,114,49,27,15,113,6,True,True,True,False,True,False,False,False,False,False,36.6973871,137.869827,長野県,姫川温泉群,137.0,58.0,50.0,36.0,51.0,40.0,0,湧泉,温泉・鉱泉,0,0,0,47,0,0,7.3,0.0,0,0,0,1856.0,0,0,0,0,0,0,0.0,0,0,0,0,13.2,44.2,0,0,0,0,0,0,0,0,0,0,0,0,59.5,0,0,0,0,0,0,0,0,1.6,0,0,0,0,2074.0,0,0,0,0,0,0,0,0,0,96.8,0,0.0,0,8.8,0,0,0,0,0,0,0,"本邦諸温泉の地質学的研究,地調報告,1962"
那須温泉郷,栃木県,那須町,大字高久丙,http://www.nasuonsen.com,4.19,35195,113,101,45,61,14,101,9,True,True,True,True,True,True,True,False,False,False,37.0834479467773,140.01416015625,栃木県,那須郡那須町,140.0,0.0,16.0,37.0,6.0,16.0,0,不明,温泉・鉱泉,0,0,0,34.0,559.0,0,7.6,0.0,0,0,0,0.0,0,0,0,0,0,0,54.6,18.2,0,0,0,24.5,53.3,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,0,0,0,0,0,0,163.0,0,0,0,0,133.0,0,0,0,0,0,0,0,0,137.0,0,0,0.0,0,0,0,0,0,0,0,0,0,"新潟地熱資源図説明書,地質調査所,1993"
奥飛騨温泉郷,岐阜県,高山市,奥飛騨温泉郷平湯,http://www.okuhida.or.jp/,4.31,13414,110,96,54,91,6,87,3,True,True,True,True,False,False,False,False,False,False,36.262067331543,137.570129394531,岐阜県,0,137.0,34.0,33.0,36.0,16.0,51.0,0,湧泉,温泉・鉱泉,0,0,0,48.0,0,0,7.7,0.0,0,0,0,0.0,0,0,0,0,0,0,68.05,8.21,0,0,0,0.73,15.23,0,0,0,0,0,0,0,0,0,0,0,0,72.32,0,0,0,0,0,0,0,0,12.97,0,0,0,0,95.8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1977.7.19.,"焼岳地域の温泉水の同位体組成，化学組成および地下温度について,日本地熱学会誌,1980"
湯沢温泉郷,新潟県,湯沢町,大字土樽,http://www.yuzawaonsen.jp,4.19,18139,92,83,49,26,14,80,2,True,True,True,True,True,True,False,False,False,False,36.7905895,138.7919187,新潟県,南魚沼郡六日町,138.0,58.0,4.0,37.0,2.0,58.0,0,不明,温泉・鉱泉,200,0,0,26.9,1640.0,0,7.5-8.5,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"新潟地熱資源図説明書,地質調査所,1993"
妙高高原温泉郷,新潟県,妙高市,大字関川,http://myoko-note.jp/spa/,4.23,5129,97,81,44,15,3,80,2,True,True,True,True,True,True,False,True,False,False,36.862849,138.1790601,新潟県,中頸城郡板倉町,138.0,18.0,54.0,37.0,0.0,45.0,0,不明,温泉・鉱泉,0,0,0,12.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"新潟地熱資源図説明書,地質調査所,1993"
