name,prefecture,city,lv01Nm,link,hyoka,comi,yado,onsen_num,dai,roten,sauna,kinen,kokyu,tanjun,enka,tansan,iou,housya,ryusan,sansei,gantetsu,nisan,youso
箱根温泉,神奈川県,箱根町,仙石原,http://www.hakone-ryokan.or.jp,4.22,78705,234,212,150,146,39,205,45,True,True,True,True,True,True,True,False,False,False
由布院温泉,大分県,由布市,湯布院町川上,http://www.yufuin.gr.jp,4.52,22264,139,134,45,97,3,130,21,True,True,True,True,True,True,False,True,False,False
伊豆高原温泉,静岡県,伊東市,八幡野,なし,4.52,22918,135,133,24,77,9,129,21,True,True,False,False,True,True,False,False,False,False
別府温泉郷,大分県,別府市,観海寺,http://www.gokuraku-jigoku-beppu.com/,4.25,54139,126,117,62,75,24,114,11,True,True,True,True,True,True,True,True,False,False
草津温泉,群馬県,草津町,大字草津,http://www.kusatsu-onsen.ne.jp,4.30,34133,121,115,53,37,8,110,8,False,True,True,True,True,True,True,False,False,False
白馬八方温泉,長野県,白馬村,大字北城,http://hakuba-happo-onsen.jp,4.31,8239,123,114,49,27,15,113,6,True,True,True,False,True,False,False,False,False,False
那須温泉郷,栃木県,那須町,大字高久丙,http://www.nasuonsen.com,4.19,35195,113,101,45,61,14,101,9,True,True,True,True,True,True,True,False,False,False
奥飛騨温泉郷,岐阜県,高山市,奥飛騨温泉郷平湯,http://www.okuhida.or.jp/,4.31,13414,110,96,54,91,6,87,3,True,True,True,True,False,False,False,False,False,False
湯沢温泉郷,新潟県,湯沢町,大字土樽,http://www.yuzawaonsen.jp,4.19,18139,92,83,49,26,14,80,2,True,True,True,True,True,True,False,False,False,False
妙高高原温泉郷,新潟県,妙高市,大字関川,http://myoko-note.jp/spa/,4.23,5129,97,81,44,15,3,80,2,True,True,True,True,True,True,False,True,False,False
熱海温泉,静岡県,熱海市,西熱海町一丁目,http://www.atamispa.com,4.12,40267,77,71,50,49,18,70,15,True,True,True,False,True,True,False,True,False,False
片品温泉郷,群馬県,片品村,大字戸倉,http://www.oze-info.com/onsen/index.html,4.33,2611,72,65,37,7,3,63,0,True,True,False,True,False,False,False,False,False,False
湯田中渋温泉郷,長野県,山ノ内町,大字平穏,http://www.yudanaka-onsen.info,4.33,11441,75,65,39,33,7,61,5,True,True,True,True,True,True,False,True,False,False
鳥羽温泉郷,三重県,鳥羽市,相差町,http://www.toba-onsen.com,4.24,36938,73,64,59,46,12,70,6,True,True,True,False,False,True,False,False,False,False
城崎温泉,兵庫県,豊岡市,城崎町今津,http://www.kinosaki-spa.gr.jp,4.24,17015,67,63,31,22,6,62,6,True,True,False,True,False,True,False,False,False,False
白浜温泉,和歌山県,白浜町,－,http://www.nanki-shirahama.com/index.php,4.10,30855,61,58,36,25,11,58,3,False,True,True,True,True,False,False,False,False,False
湯河原温泉,神奈川県,熱海市,泉,http://www.yugawara.or.jp,4.16,13361,61,55,40,38,9,51,11,True,True,False,False,True,True,False,False,False,False
乗鞍高原温泉,長野県,松本市,安曇,http://www.spa-norikura.com,4.42,3914,64,55,12,36,2,52,0,True,False,True,True,True,False,True,False,False,False
加賀温泉郷,石川県,小松市,粟津町,http://www.tabimati.net/,4.10,34392,57,53,50,50,16,52,6,True,True,False,False,True,True,False,False,False,False
野沢温泉,長野県,野沢温泉村,大字豊郷,http://nozawakanko.jp,4.28,3589,60,51,25,8,3,58,2,True,True,False,True,True,True,False,False,False,False
鳴子温泉郷,宮城県,大崎市,鳴子温泉,http://www.naruko.gr.jp,4.01,13658,63,50,35,27,1,48,1,True,True,True,True,True,True,False,False,False,False
伊東温泉,静岡県,伊東市,末広町,http://www.ito.or.jp,4.23,29583,51,49,33,32,9,47,9,True,True,False,False,False,True,False,False,False,False
鉄輪温泉,大分県,別府市,御幸,http://www.kannawaryokan.com,4.22,8971,53,49,19,32,12,47,3,True,True,True,True,True,True,True,True,False,False
石和温泉,山梨県,笛吹市,石和町市部,http://www.isawaonsen.or.jp,4.11,19624,52,47,41,39,13,45,1,True,False,False,True,False,True,False,False,False,False
塩原温泉郷,栃木県,那須塩原市,塩原,http://www.siobara.or.jp/,4.27,14550,53,47,33,35,5,42,3,True,True,True,True,False,True,True,False,False,False
仙石原温泉,神奈川県,箱根町,仙石原,http://www.sengokuhara-onsen.com,4.24,13689,51,46,31,29,6,45,11,True,True,True,True,True,True,True,False,False,False
富士河口湖温泉,山梨県,富士河口湖町,船津,http://www.fujisan.ne.jp,4.07,24039,51,46,34,28,13,50,7,True,True,True,False,True,True,False,False,False,False
強羅温泉,神奈川県,箱根町,強羅,http://hakone-gora.com,4.24,19287,48,44,28,23,7,42,9,True,True,True,True,True,True,True,False,False,False
赤倉温泉,新潟県,妙高市,大字赤倉,http://www.akakura.gr.jp,4.28,2654,52,44,25,6,2,44,0,True,True,True,False,True,True,False,False,False,False
河津温泉郷,静岡県,河津町,見高,http://www.kawazu-onsen.com,4.56,4116,51,44,16,28,4,39,3,True,True,False,False,True,True,False,False,False,False
水上温泉郷,群馬県,みなかみ町,湯原,http://www.minakami-onsen.com,4.34,15546,49,44,25,26,4,43,4,True,False,True,True,True,True,False,False,False,False
松崎温泉郷,静岡県,松崎町,江奈,http://izumatsu-ryokan.jp/,4.23,2657,46,42,15,14,0,35,0,True,True,True,False,True,True,False,False,False,False
伊香保温泉,群馬県,渋川市,伊香保町伊香保,http://www.ikaho-kankou.com,4.13,28488,43,41,34,30,10,41,3,True,True,True,True,True,True,False,True,False,False
下呂温泉,岐阜県,下呂市,湯之島,http://www.gero-spa.or.jp,4.16,24715,41,41,33,27,7,39,7,True,False,False,True,False,False,False,False,False,False
越後湯沢温泉,新潟県,湯沢町,大字湯沢,https://www.snow-country-tourism.jp/,4.25,11302,43,40,22,17,11,37,1,True,True,False,True,False,True,False,False,False,False
別府温泉,大分県,別府市,中央町,http://www.gokuraku-jigoku-beppu.com/,4.12,27369,39,39,30,25,7,39,3,True,True,True,False,True,False,False,False,False,False
箱根湯本温泉,神奈川県,箱根町,湯本,http://www.hakoneyumoto.com,4.14,23639,42,38,33,36,12,38,7,True,True,False,True,True,True,False,False,False,False
山中湖温泉,山梨県,山中湖村,山中,なし,4.30,3020,41,38,18,12,5,41,3,True,False,False,False,False,False,False,False,False,False
鬼怒川温泉,栃木県,日光市,鬼怒川温泉滝,なし,4.15,33993,39,37,32,33,17,37,7,True,True,False,False,True,False,False,False,False,False
日光温泉,栃木県,日光市,所野,なし,4.25,9285,39,37,15,21,3,38,5,True,False,False,False,False,False,False,False,False,False
有馬温泉,兵庫県,神戸市北区,有馬町,http://www.arima-onsen.com,4.22,21059,40,37,33,26,15,37,13,True,True,False,False,True,True,False,True,False,False
道後温泉郷,愛媛県,松山市,二番町三丁目,https://dogo.jp/,4.34,37581,38,36,27,24,10,37,3,True,False,False,True,False,False,False,False,False,False
土肥温泉,静岡県,伊豆市,土肥,http://www.toi-annai.com,4.37,9945,37,35,17,21,4,30,3,True,True,False,False,True,True,False,False,False,False
飛騨高山温泉,岐阜県,高山市,西之一色町二丁目,なし,4.28,22746,36,35,28,21,9,35,5,True,True,True,False,True,False,False,False,False,False
伊豆長岡温泉,静岡県,伊豆の国市,古奈,http://izuspa.com,4.21,17313,35,34,33,31,9,34,2,True,False,False,True,False,False,False,False,False,False
