都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
三重県,四日市市,,,,,,,,湧泉,用水,,,,,,,6.7,7,,,,,,,,1.9,,,4.9,1.8,,,0.1,2,9.3,,,,,0,0.04,0.1,,,,,,5.9,,,,0.03,,,,,7,,,,,35.1,,,,,,,,,12,,,,,4.4,,,,0.01,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,170,,,16.7,,,6.8,7.1,,,,,,13000,,2.1,,,5.4,0.4,,,0.3,5,5.9,,,,,2.39,6.89,,,,,,,6.8,,,,0.01,,,,,2,,,,,64.5,,,,,,,,,137.2,,,1.1,,8.8,,,,0.06,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,104,,,19.5,,,7,7.2,,,,,,9500,,4.7,,,14.1,0.8,,,0.6,6.6,6.4,,,,,0.1,0.12,,,,,,,9.4,,,,0,,,,,2,,,,,77.5,,,,,,,,,42.4,,,2.41,,7,,,,0.08,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,116,,,18.8,,,6.9,7.4,,,,,,7800,,0.9,,,14.4,1.1,,,0.6,9.6,8.9,,,,,0.05,0.02,,,,,,,23,,,,0.05,,,,,2,,,,,79.3,,,,,,,,,41.2,,,,,2.2,,,,0.09,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,172,,,19.3,,,6.9,7.4,,,,,,9400,,5.4,,,14.6,1,,,0.6,6.1,6.4,,,,,0.03,0.01,,,,,,,10,,,,0.01,,,,,1,,,,,75.7,,,,,,,,,30.4,,,1.79,,5.5,,,,0.16,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,123,,,18.3,,,6.7,7.1,,,,,,11500,,1.9,,,19,0.9,,,0.2,3.8,4.6,,,,,0,0.02,,,,,,,5.7,,,,0,,,,,2,,,,,73.6,,,,,,,,,38.4,,,1.44,,9.9,,,,0.08,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,138,,,19,,,6.7,7.2,,,,,,11000,,0.9,,,16.2,0.6,,,0.1,5,5.8,,,,,0.02,0.04,,,,,,,5.3,,,,0,,,,,,,,,,86.1,,,,,,,,,26.8,,,1.06,,7.7,,,,0.16,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,105,,,18.3,,,6.8,7.2,,,,,,6000,,4.4,,,,,,,0.6,5.6,6.9,,,,,3.55,1.13,,,,,,,17.9,,,,0,,,,,,,,,,109.4,,,,,,,,,33.8,,,0.001,,14.3,,,,,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,190,,,20,,,7.1,7.4,,,,,,10000,,8.3,,,15.3,1.2,,,0.3,6.4,5.7,,,,,0.21,0.42,,,,,,,8.3,,,,0,,,,,2,,,,,82.3,,,,,,,,,38.4,,,5.84,,5.1,,,,0.07,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,152,,,18.7,,,6.8,7.2,,,,,,3200,,5.2,,,58.6,3.2,,,0.5,10.9,11.7,,,,,1.04,0.23,,,,,,,72.8,,,,0,,,,,7,,,,,126.2,,,,,,,,,34.8,,,0.75,,16.5,,,,0.06,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
