都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
京都府,右京区太泰安井西裏町3,135,43,20,35,0,50,,井戸,用水,93,,,19.1,,,7.3,7.6,,,,,,,,7.1,,,30.2,1.7,,,0.7,3.6,14.4,,,,,0.87,0,,,,,,,23.8,,,,0,,,,,0,,,,,98.5,,,,,,,,,22,,,,,,,,,0.09,,,1959-01-20 00:00:00,"京都市工業用地下水源調査報告,地調月報，,1960"
京都府,右京区太泰巽町1,135,43,0,35,0,10,,井戸,用水,93,,,17.6,,,7.2,7.4,,,,,,,,14.2,,,40.5,1,,,0,1.5,7,,,,,0.73,0.07,,,,,,,30.3,,,,0,,,,,9,,,,,69.3,,,,,,,,,25.8,,,,,,,,,0.24,,,1959-01-20 00:00:00,"京都市工業用地下水源調査報告,地調月報，,1960"
京都府,右京区西院寿町38,135,44,0,34,59,40,,井戸,用水,74,,,16.8,,,6.7,7.2,,,,,,,,9.1,,,31.6,0.8,,,0,12.3,26.2,,,,,0.1,0.02,,,,,,,46.9,,,,0,,,,,7,,,,,136,,,,,,,,,26.5,,,,,,,,,0.06,,,1959-01-20 00:00:00,"京都市工業用地下水源調査報告,地調月報，,1960"
京都府,右京区西京極大門町1,135,43,50,34,59,10,,井戸,用水,120,,,18.4,,,7.2,7.4,,,,,,,,9.4,,,75,1.3,,,0.5,15.7,49,,,,,4.66,0,,,,,,,196,,,,0,,,,,0,,,,,101.3,,,,,,,,,23.7,,,,,,,,,0.08,,,1959-01-20 00:00:00,"京都市工業用地下水源調査報告,地調月報，,1960"
京都府,左京区高野東開町1,135,47,10,35,2,20,,井戸,用水,85,,,15.8,,,,,,,,,,,,23.1,,,7.2,1.6,,,0.3,2.9,11.2,,,,,,,,,,,,,9.4,,,,0.01,,,,,6,,,,,42.7,,,,,,,,,14.5,,,,,,,,,0.02,,,1959-01-20 00:00:00,"京都市工業用地下水源調査報告,地調月報，,1960"
京都府,左京区田中古川町53,135,47,10,35,2,20,,井戸,用水,15,,,15.8,,,6.4,6.8,,,,,,,,7.1,,,8.3,2.1,,,0.1,2.8,14,,,,,0,0,,,,,,,12.2,,,,0,,,,,10,,,,,43.3,,,,,,,,,11.7,,,,,,,,,0.03,,,1959-01-20 00:00:00,"京都市工業用地下水源調査報告,地調月報，,1960"
京都府,左京区高野蓼原町1,135,47,0,35,2,10,,井戸,用水,9.4,,,14.5,,,,,,,,,,,,49.9,,,9.2,1.8,,,0.5,1.9,11.4,,,,,,,,,,,,,11,,,,0.01,,,,,12,,,,,42.1,,,,,,,,,13.5,,,,,,,,,0.03,,,1959-01-20 00:00:00,"京都市工業用地下水源調査報告,地調月報，,1960"
京都府,左京区吉田上阿達町36,135,46,50,35,1,50,,井戸,用水,8.7,,,15.5,,,6.4,7,,,,,,,,4.6,,,9.6,2.5,,,0.3,2.8,13.5,,,,,0,0,,,,,,,12.1,,,,0,,,,,10,,,,,47,,,,,,,,,11.5,,,,,,,,,0.06,,,1959-01-20 00:00:00,"京都市工業用地下水源調査報告,地調月報，,1960"
京都府,中京区梅屋大炊町201,135,45,40,35,1,0,,井戸,用水,10.8,,,16.7,,,,,,,,,,,,10,,,20.2,6,,,0,4.6,18.9,,,,,,,,,,,,,24.8,,,,0.48,,,,,18,,,,,56.8,,,,,,,,,14,,,,,,,,,0.32,,,1959-01-20 00:00:00,"京都市工業用地下水源調査報告,地調月報，,1960"
京都府,中京区聚楽辺西町136の4,135,44,30,35,0,50,,井戸,用水,148,,,17.3,,,7,7.3,,,,,,,,10.8,,,110.4,2.7,,,1,17.2,44.3,,,,,1.46,0,,,,,,,238,,,,0.2,,,,,1,,,,,118.4,,,,,,,,,26,,,,,,,,,0.12,,,1959-01-20 00:00:00,"京都市工業用地下水源調査報告,地調月報，,1960"
