都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,dis.O2,Free H2S,free CO2,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
佐賀県,有明町廻里津,130,7,20,33,9,0,,井戸,用水,,,,23.6,,,7.3,7.5,,,,,,,,3.7,,,16,4.9,,,0.1,4.6,8,,,,,0.06,0.05,,,,,,,7.8,,,,0,,,,,2,,,,,67.1,,,,,,,,,68.6,,,,,3.5,,,,0.13,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,白石町,130,9,0,33,9,40,,井戸,用水,,,,20,,,7.3,7.4,,,,,,,,3.8,,,24.9,7,,,0.2,4,6.8,,,,,0.15,0,,,,,,,7.8,,,,0,,,,,2,,,,,86,,,,,,,,,63.4,,,,,4.4,,,,0.37,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,白石町,130,8,30,33,10,50,,井戸,用水,,,,20.2,,,7.3,7.3,,,,,,,,0.4,,,17.4,5.7,,,0,3.6,7.4,,,,,0,0.05,,,,,,,10.7,,,,0,,,,,3,,,,,61,,,,,,,,,68.6,,,,,3.5,,,,0.14,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,福富町,130,11,20,33,11,0,,井戸,用水,,,,21.6,,Ｈ2Ｓ臭,7.2,7.7,,,,,,,,24.6,,,259.5,24.9,,,7,41.4,49.8,,,,,0.11,0,,,,,,,419.1,,,,0,,,,,2,,,,,297.6,,,,,,,,,55,,,,,,,,,0.65,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,牛津町,130,12,0,33,14,20,,井戸,用水,151.5,,,19.2,,,7.7,7.7,,,,,,,,1.7,,,26.1,1.7,,,0.3,5.2,18.6,,,,,0,0.02,,,,,,,12.1,,,,0,,,,,0,,,,,113.4,,,,,,,,,25.4,,,,,1.7,,,,0.16,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,佐賀市,130,18,20,33,17,10,,井戸,用水,,,,20.1,,,7.3,7.5,,,,,,,,3,,,21.2,0.7,,,0.2,3.1,11.4,,,,,0.1,0,,,,,,,5.8,,,,0,,,,,0,,,,,84.1,,,,,,,,,37.4,,,,,2.6,,,,0.3,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,佐賀市,130,17,20,33,15,20,,井戸,用水,,,,22.3,,,7.4,7.5,,,,,,,,2.3,,,23.3,1.5,,,0,4.6,15.2,,,,,0.15,0,,,,,,,5,,,,0,,,,,2,,,,,111,,,,,,,,,38.6,,,,,4.4,,,,0.21,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,佐賀市,130,17,30,33,15,20,,井戸,用水,,,,19.2,,,7.3,7.4,,,,,,,,6.3,,,30.8,1.8,,,0.1,7.1,12.6,,,,,0.24,0,,,,,,,8.9,,,,0,,,,,0,,,,,126.8,,,,,,,,,47.6,,,,,7.1,,,,0.28,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,佐賀市,130,18,0,33,15,10,,井戸,用水,,,,19.2,,,7.3,7.5,,,,,,,,6.3,,,27.8,1.2,,,0.3,8,16.6,,,,,0.25,0.05,,,,,,,13.1,,,,0,,,,,2,,,,,125.6,,,,,,,,,46.6,,,,,9.8,,,,0.21,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,佐賀市,130,17,40,33,14,50,,井戸,用水,,,,21.2,,,7.1,7.4,,,,,,,,7.9,,,38.8,2.2,,,1,5.1,9.2,,,,,0.53,0,,,,,,,6.2,,,,0,,,,,1,,,,,132.9,,,,,,,,,55,,,,,9.8,,,,0.63,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
