都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
兵庫,阿閉町,,,,,,,,井戸,用水,130,,,16.1,,,6.5,,,,,,,,,,,,,,,,0,3.7,5.2,,,,,,,,,,,,,11.9,,,,0,,,,,1,,,,,36.6,,,,,,,,,,,,,,8.6,,,,0.02,,,1954-02-17 00:00:00,"兵庫県東播地域加古川下流平野部工業用水源調査報告,地調月報, 1955"
兵庫,阿閉町,,,,,,,,井戸,用水,113,,,17.2,,,6.9,,,,,,,,,,,,,,,,0,4.4,5.4,,,,,,,,,,,,,10.6,,,,0,,,,,5,,,,,38.4,,,,,,,,,,,,,,7.5,,,,0,,,1954-02-17 00:00:00,"兵庫県東播地域加古川下流平野部工業用水源調査報告,地調月報, 1955"
兵庫,阿閉町,,,,,,,,井戸,用水,207,,,20.3,,,7.1,,,,,,,,,,,,,,,,0,4.9,6.7,,,,,,,,,,,,,4.9,,,,0,,,,,0,,,,,67.3,,,,,,,,,,,,,,6.4,,,,0,,,1954-02-17 00:00:00,"兵庫県東播地域加古川下流平野部工業用水源調査報告,地調月報, 1955"
兵庫,阿閉町,,,,,,,,井戸,用水,,,,,,,6.6,,,,,,,,,,,,,,,,0,3.5,5,,,,,,,,,,,,,18.7,,,,0,,,,,1,,,,,26.7,,,,,,,,,,,,,,9,,,,0.01,,,1954-02-17 00:00:00,"兵庫県東播地域加古川下流平野部工業用水源調査報告,地調月報, 1955"
兵庫,阿閉町吉田,,,,,,,,井戸,用水,,,,,,,6.3,,,,,,,,,,,,,,,,0,5.9,10,,,,,,,,,,,,,33.2,,,,0,,,,,7,,,,,30.3,,,,,,,,,,,,,,23.7,,,,0,,,1954-02-17 00:00:00,"兵庫県東播地域加古川下流平野部工業用水源調査報告,地調月報, 1955"
兵庫,加古川市中野,,,,,,,,井戸,用水,40,,,10.3,,,6,,,,,,,,,,,,,,,,0,2.2,4,,,,,,,,,,,,,26.6,,,,0,,,,,1,,,,,20.3,,,,,,,,,,,,,,8.3,,,,0,,,1954-02-17 00:00:00,"兵庫県東播地域加古川下流平野部工業用水源調査報告,地調月報, 1955"
兵庫,加古川市別府,,,,,,,,井戸,用水,45,,,,,,6.9,,,,,,,,,,,,,,,,0,3.7,8.3,,,,,,,,,,,,,16.6,,,,0,,,,,8,,,,,31,,,,,,,,,,,,,,4.6,,,,0.01,,,1954-02-17 00:00:00,"兵庫県東播地域加古川下流平野部工業用水源調査報告,地調月報, 1955"
兵庫,加古川市南備渡,,,,,,,,井戸,用水,27,,,14,,,7.1,,,,,,,,,,,,,,,,0,5.1,10,,,,,,,,,,,,,8.5,,,,0.06,,,,,15,,,,,66,,,,,,,,,,,,,,5.5,,,,0.02,,,1954-02-17 00:00:00,"兵庫県東播地域加古川下流平野部工業用水源調査報告,地調月報, 1955"
兵庫,加古川市安田,,,,,,,,井戸,用水,36,,,,,,7.1,,,,,,,,,,,,,,,,0,4.5,8.6,,,,,,,,,,,,,9.1,,,,0,,,,,3,,,,,62,,,,,,,,,,,,,,6.8,,,,0.04,,,1954-02-17 00:00:00,"兵庫県東播地域加古川下流平野部工業用水源調査報告,地調月報, 1955"
兵庫,加古川市北在家,,,,,,,,井戸,用水,24,,,13.3,,,6.5,,,,,,,,,,,,,,,,0,2.7,6,,,,,,,,,,,,,14,,,,0.03,,,,,1,,,,,33,,,,,,,,,,,,,,11.4,,,,0.04,,,1954-02-17 00:00:00,"兵庫県東播地域加古川下流平野部工業用水源調査報告,地調月報, 1955"
