都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
北海道,岩見沢市幌向付近,,,,,,,,井戸,ガス井,83,,11.5,11.6,20.69444444444444,,7.2,7.8,,,,,,,,94,,,,,,,8.5,14,17,,,,,2.7,0.8,3.4,,,,,,16,,,,0,1.2,,,,0,,,,,660,,,,,,,,,,,,0.4,,48,524,,,0.6,,,1951,"石狩国岩見沢市幌向付近天然ガス調査報告,北海道地下資源調査報告,1953"
北海道,岩見沢市幌向付近,,,,,,,,井戸,ガス井,41.5,,16.8,10.4,2.409722222222222,,7.2,8,,,,,,,,107,,,,,,,9,13,18,,,,,3,,,,,,,,15,,,,0,,,,,,,,,,660,,,,,,,,,,,,0.3,,31,508,,,0.6,,,1951,"石狩国岩見沢市幌向付近天然ガス調査報告,北海道地下資源調査報告,1953"
北海道,岩見沢市幌向付近,,,,,,,,井戸,ガス井,36,,14,10.7,1.180555555555556,,6.9,7.7,,,,,,,,68,,,,,,,8.5,38,62,,,,,7,8,2.7,,,,,,15,,,,0,1.8,,,,,,,,,687,,,,,,,,,,,,0.17,,53,548,,,0.3,,,1951,"石狩国岩見沢市幌向付近天然ガス調査報告,北海道地下資源調査報告,1953"
北海道,岩見沢市幌向付近,,,,,,,,井戸,ガス井,25,,12.4,9.9,1.875,,7,7.7,,,,,,,,172,,,,,,,2,19,31,,,,,4.5,0.5,9,,,,,,24,,,,0,0.4,,,,8,,,,,343,,,,,,,,,,,,,,13,261,,,0.05,,,1951,"石狩国岩見沢市幌向付近天然ガス調査報告,北海道地下資源調査報告,1953"
北海道,岩見沢市幌向付近,,,,,,,,井戸,ガス井,30,,17.7,9.9,12.15277777777778,,7,7.5,,,,,,,,224,,,,,,,0.5,33,39,,,,,3.5,0.5,7,,,,,,22,,,,0,,,,,0,,,,,476,,,,,,,,,,,,0.05,,49,392,,,0.05,,,1951,"石狩国岩見沢市幌向付近天然ガス調査報告,北海道地下資源調査報告,1953"
北海道,岩見沢市幌向付近,,,,,,,,井戸,ガス井,,,17,9.8,5.555555555555555,,6.9,7.5,,,,,,,,54,,,,,,,0.5,28,34,,,,,7.5,0.5,15,,,,,,26,,,,0,0.3,,,,0,,,,,436,,,,,,,,,,,,,,66,409,,,0.05,,,1951,"石狩国岩見沢市幌向付近天然ガス調査報告,北海道地下資源調査報告,1953"
北海道,岩見沢市幌向付近,,,,,,,,井戸,ガス井,9,,16.9,9.6,1.805555555555556,,6.9,7.4,,,,,,,,94,,,,,,,1.5,22,23,,,,,5,3,1.6,,,,,,18,,,,0,0,,,,1.4,,,,,448,,,,,,,,,,,,,,62,386,,,0.1,,,1951,"石狩国岩見沢市幌向付近天然ガス調査報告,北海道地下資源調査報告,1953"
北海道,岩見沢市幌向付近,,,,,,,,井戸,ガス井,23.5,,18.7,10.1,0.3958333333333333,,7,7.6,,,,,,,,120,,,,,,,0.75,37,36,,,,,3.8,0.7,5.4,,,,,,26,,,,0,0.5,,,,1,,,,,436,,,,,,,,,,,,,,61,375,,,0.1,,,1951,"石狩国岩見沢市幌向付近天然ガス調査報告,北海道地下資源調査報告,1953"
北海道,岩見沢市幌向付近,,,,,,,,井戸,ガス井,52,,15.9,10.2,0.2777777777777778,,6.5,7,,,,,,,,512,,,,,,,8,50,57,,,,,10,4,2.5,,,,,,10,,,,0,0,,,,,,,,,845,,,,,,,,,,,,,,187,797,,,0.3,,,1951,"石狩国岩見沢市幌向付近天然ガス調査報告,北海道地下資源調査報告,1953"
北海道,岩見沢市幌向付近,,,,,,,,井戸,ガス井,44,,14.2,11.4,6.180555555555555,,7.3,7.7,,,,,,,,263,,,,,,,8.5,14,27,,,,,5,1,5,,,,,,15,,,,0,0,,,,0,,,,,501,,,,,,,,,,,,0.25,,13,375,,,0.45,,,1951,"石狩国岩見沢市幌向付近天然ガス調査報告,北海道地下資源調査報告,1953"
