都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
千葉県,夷隅郡,,,,,,,,井戸,ヨ−ド井,450,,,,,,,8.1,,,,,,,,268,,,,,,,31.6,179,65,,,,,,,,,,,,,9760,43.8,80.4,,,,,,,,,,,,1520,,,,,,,,,,,,,,,,,,,,,1955-03-01 00:00:00,"房総半島東岸ガス田の含ヨード鹹水の産状について,地調報告,1957"
千葉県,夷隅郡,,,,,,,,井戸,ヨ−ド井,550,,,22.4,,,,7.8,,,,,,,,310,,,,,,,44.9,315,133,,,,,1.75,,2.91,,,,,,16300,69,133.3,,,,,,,2,,,,,1271,,,,,,,,,,,53,0.001,,953,,,,,,,1955-03-01 00:00:00,"房総半島東岸ガス田の含ヨード鹹水の産状について,地調報告,1957"
千葉県,夷隅郡,,,,,,,,井戸,ヨ−ド井,420,,,23.2,,,,8,,,,,,,,255,,,,,,,34.5,212,82,,,,,,,,,,,,,12080,53.8,99.7,,,,,,,,,,,,1032,,,,,,,,,,,,,,925,,,,,,,1955-03-01 00:00:00,"房総半島東岸ガス田の含ヨード鹹水の産状について,地調報告,1957"
千葉県,夷隅郡,,,,,,,,井戸,ヨ−ド井,502,,,19,,,,8,,,,,,,,274,,,,,,,45.6,335,129,,,,,,,,,,,,,15800,81.6,131.3,,,,,,,,,,,,995,,,,,,,,,,,,,,,,,,,,,1955-03-01 00:00:00,"房総半島東岸ガス田の含ヨード鹹水の産状について,地調報告,1957"
千葉県,夷隅郡,,,,,,,,井戸,ヨ−ド井,491,,,18,,,,8,,,,,,,,307,,,,,,,49.2,283,128,,,,,,,,,,,,,14870,78.1,123.9,,,,,,,2,,,,,1045,,,,,,,,,,,56,,,,,,,,,,1955-03-01 00:00:00,"房総半島東岸ガス田の含ヨード鹹水の産状について,地調報告,1957"
千葉県,夷隅郡,,,,,,,,井戸,ヨ−ド井,555,,,18.6,,,7.7,7.8,,,,,,,,217,,,,,,,31.8,316,129,,,,,0.9,,1.8,,,,,,13700,70.5,114.3,,,,,,,2,,,,,988,,,,,,,,,,,55,1.9,,730,,,,,,,1955-03-01 00:00:00,"房総半島東岸ガス田の含ヨード鹹水の産状について,地調報告,1957"
千葉県,夷隅郡,,,,,,,,井戸,ヨ−ド井,473,,,19.5,,,,8,,,,,,,,234,,,,,,,38.9,262,153,,,,,,,,,,,,,16990,85.2,141,,,,,,,,,,,,951,,,,,,,,,,,,,,,,,,,,,1955-03-01 00:00:00,"房総半島東岸ガス田の含ヨード鹹水の産状について,地調報告,1957"
千葉県,夷隅郡,,,,,,,,井戸,ヨ−ド井,554,,,20,,,7.8,7.8,,,,,,,,207,,,,,,,48.2,331,173,,,,,4.4,,5.5,,,,,,16490,83,134.8,,,,,,,2,,,,,849,,,,,,,,,,,56,0.14,,620,,,,,,,1955-03-01 00:00:00,"房総半島東岸ガス田の含ヨード鹹水の産状について,地調報告,1957"
千葉県,夷隅郡,,,,,,,,井戸,ヨ−ド井,483,,,19.1,,,7.7,7.7,,,,,,,,213,,,,,,,41.4,297,172,,,,,2,,4,,,,,,15610,76.6,124.9,,,,,,,,,,,,811,,,,,,,,,,,,1.08,,603,,,,,,,1955-03-01 00:00:00,"房総半島東岸ガス田の含ヨード鹹水の産状について,地調報告,1957"
千葉県,夷隅郡,,,,,,,,井戸,ヨ−ド井,461,,,17.1,,,,8,,,,,,,,289,,,,,,,49.3,395,140,,,,,,,,,,,,,18780,81.5,141.1,,,,,,,,,,,,1257,,,,,,,,,,,,,,,,,,,,,1955-03-01 00:00:00,"房総半島東岸ガス田の含ヨード鹹水の産状について,地調報告,1957"
