都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,Ｅｈ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
和歌山県,判台（古賀湯プ−ル用）,135,20,47,33,40,26,,不明,温泉・鉱泉,,,13,56,,,7.5,,,,,,,,,,,,2135,67,,,,65.1,103.6,,,,,,,,,,,,,1390,,,,,,,,,5.8,,,,,4209,,,,,,,,,,,,,1,15.4,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,東谷,135,20,47,33,40,26,,不明,温泉・鉱泉,400,,13,65.5,,,8.2,,,,,,,,,,,,976,61,,,,5.7,17.9,,,,,,,,,,,,,673.7,2,,,,,,,,3.3,,,,,1793.4,18,,,,,,,,,,,,1.7,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,若葉,135,20,47,33,40,26,,不明,温泉・鉱泉,242,,18,62,,,7.4,,,,,,,,,,,,1475,90,,,,16.6,39.8,,,,,,,,,,,,,1014.1,,,,,,,,,0.8,,,,,2586.4,,,,,,,,,,,,,2.2,7.7,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,長生,135,20,47,33,40,26,,不明,温泉・鉱泉,,,13,79,,,8.1,,,,,,,,,,,,1500,87,,,,10.9,29.9,,,,,,,,,,,,,1042.5,,,,,,,,,0.8,,,,,2501,12,,,,,,,,,,,,2.6,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,垣谷,135,20,47,33,40,26,,不明,温泉・鉱泉,333,,12,51,,,7.6,,,,,,,,,,,,2800,146,,,,131.9,139.4,,,,,,,,,,,,,3659.5,12,,,,,,,,231.3,,,,,2745,,,,,,,,,,,,,6.8,7.4,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,東白浜第２,135,20,47,33,40,26,,不明,温泉・鉱泉,297,,13,52,,,7.1,,,,,,,,,,,,2938,154,,,,122.7,147.4,,,,,,,,,,,,,3574.4,11.6,,,,,,,,242,,,,,2696.2,,,,,,,,,,,,,5.1,18.7,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,東白浜第３,135,20,47,33,40,26,,不明,温泉・鉱泉,212,,14,60,,,7.5,,,,,,,,,,,,1825,108,,,,36.3,69.8,,,,,,,,,,,,,1773,,,,,,,,,71.6,,,,,2647.4,,,,,,,,,,,,,2.5,7.7,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,西谷,135,20,47,33,40,26,,不明,温泉・鉱泉,400,,16,52,,,7.5,,,,,,,,,,,,1450,81,,,,25.3,55.8,,,,,,,,,,,,,1170.2,,,,,,,,,5.8,,,,,2257,,,,,,,,,,,,,1,8.8,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,水晶,135,20,47,33,40,26,,不明,温泉・鉱泉,223,,14,58,,,7.8,,,,,,,,,,,,1800,103,,,,59.8,67.7,,,,,,,,,,,,,1879.4,,,,,,,,,88.1,,,,,2537.6,,,,,,,,,,,,,1.8,4.4,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,生絹湯,135,20,47,33,40,26,,不明,温泉・鉱泉,248,,15,100,,,7.2,,,,,,,,,,,,4600,227,,,,398.8,215.2,,,,,,,,,,,,,7375.7,25.6,,,,,,,,901.1,,,,,1952,,,,,,,,,,,,,1,9.9,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
