都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
埼玉県,羽生市,,,,,,,,井戸,用水,91,,,19,,,7.3,7.8,,,,,,,,9.4,,,21.3,4.5,,,2.6,6.5,24.2,,,,,0.3,0,,,,,,,18.3,,,,0,,,,,3,,,,,143.4,,,,,,,,,51.4,,,,,3,,,,0.3,,,1958-02-06 00:00:00,"荒川水系流域（埼玉県および一部東京都）工業用水源地域調査報告,地調月報,1959"
埼玉県,羽生市,,,,,,,,井戸,用水,,,,23,,,7.5,7.7,,,,,,,,5.1,,,46.1,4.2,,,0.6,8.8,62.5,,,,,0.1,0.08,,,,,,,130.5,,,,0,,,,,3,,,,,152.5,,,,,,,,,81,,,0.37,,3,,,,0.09,,,1958-02-06 00:00:00,"荒川水系流域（埼玉県および一部東京都）工業用水源地域調査報告,地調月報,1959"
埼玉県,熊谷市,,,,,,,,井戸,用水,6.9,,,14,,,6.9,7.2,,,,,,,,11.5,,,4.5,1.2,,,0.1,2.4,21.9,,,,,0,0.06,,,,,,,4.3,,,,0.01,,,,,20,,,,,56.4,,,,,,,,,17.7,,,,,3,,,,0.01,,,1958-02-06 00:00:00,"荒川水系流域（埼玉県および一部東京都）工業用水源地域調査報告,地調月報,1959"
埼玉県,熊谷市,,,,,,,,井戸,用水,4.9,,,13,,,6.7,7.1,,,,,,,,1.1,,,5.5,1.3,,,0.3,2.7,22.5,,,,,0.01,0,,,,,,,4.8,,,,0.01,,,,,20,,,,,64,,,,,,,,,54.4,,,,,3,,,,0.02,,,1958-02-06 00:00:00,"荒川水系流域（埼玉県および一部東京都）工業用水源地域調査報告,地調月報,1959"
埼玉県,熊谷市,,,,,,,,湧泉,用水,,,,15.3,,,7.2,7.4,,,,,,,,4.1,,,5.4,1.3,,,0,2.2,19.8,,,,,,,,,,,,,13.5,,,,0,,,,,9,,,,,51.2,,,,,,,,,16.6,,,,,,,,,0.02,,,1958-02-06 00:00:00,"荒川水系流域（埼玉県および一部東京都）工業用水源地域調査報告,地調月報,1959"
埼玉県,行田市,,,,,,,,井戸,用水,,,,,,,7.4,7.6,,,,,,,,13.3,,,11.6,2.1,,,0,3.4,15.9,,,,,0,0.01,,,,,,,4.7,,,,0.4,,,,,3,,,,,87,,,,,,,,,24.4,,,,,1.8,,,,0.39,,,1958-02-06 00:00:00,"荒川水系流域（埼玉県および一部東京都）工業用水源地域調査報告,地調月報,1959"
埼玉県,行田市,,,,,,,,井戸,用水,78,,,14.4,,,7.4,7.6,,,,,,,,9.1,,,12.9,2.3,,,0.1,4,18.9,,,,,0.05,0.03,,,,,,,5.2,,,,0.01,,,,,3,,,,,100.7,,,,,,,,,61,,,0.34,,1.5,,,,0.3,,,1958-02-06 00:00:00,"荒川水系流域（埼玉県および一部東京都）工業用水源地域調査報告,地調月報,1959"
埼玉県,熊谷市,,,,,,,,井戸,用水,24,,,15.5,,,6.9,7.1,,,,,,,,4.7,,,4,1,,,0.1,2.8,19.2,,,,,0,0.01,,,,,,,3.3,,,,0,,,,,16,,,,,56.4,,,,,,,,,20.4,,,0.43,,2,,,,0.02,,,1958-02-06 00:00:00,"荒川水系流域（埼玉県および一部東京都）工業用水源地域調査報告,地調月報,1959"
埼玉県,熊谷市,,,,,,,,井戸,用水,90,,,16.5,,,7.1,7.3,,,,,,,,2.8,,,11,0.8,,,0,2.6,13.9,,,,,0,0,,,,,,,3.3,,,,0,,,,,8,,,,,70.2,,,,,,,,,31.1,,,3.86,,1.8,,,,0.21,,,1958-02-06 00:00:00,"荒川水系流域（埼玉県および一部東京都）工業用水源地域調査報告,地調月報,1959"
埼玉県,熊谷市,,,,,,,,井戸,用水,27,,,14.9,,,7.1,7.3,,,,,,,,9.1,,,5.3,1.3,,,0.5,5.3,17.7,,,,,0,0.02,,,,,,,3.1,,,,0,,,,,17,,,,,68.7,,,,,,,,,39,,,,,3,,,,0.02,,,1958-02-06 00:00:00,"荒川水系流域（埼玉県および一部東京都）工業用水源地域調査報告,地調月報,1959"
