都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,dis.O2,free H2s,free Co2,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
大分県,河原（小地獄内）,,,,,,,,湧泉,温泉・鉱泉,,,,95,,,2.4,,,,,1999,,,,,,,,,,,,20.4,43.3,,,,,,,,,,,,,0.9,,,,,,,,,1287,,,,,0,,,,,,,,,299,,,,0,,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
大分県,河原（北の地獄内）,,,,,,,,湧泉,温泉・鉱泉,,,,81,,,2.2,,,,,1357,,,,,,,,,,,,10.7,37.6,,,,,,,,,,,,,2.3,,,,,,,,,918,,,,,0,,,,,,,,,220,,,,0,,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
大分県,河原田の湯,,,,,,,,湧泉,温泉・鉱泉,,,,69,,,4.1,,,,,318,,,,,,,,,,,,2.7,17.4,,,,,,,,,,,,,1.6,,,,,,,,,29.6,,,,,128,,,,,,,,,160,,,,0,284,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
大分県,大岳の湯,,,,,,,,湧泉,温泉・鉱泉,,,,81,,,6.4,,,,,322,,,,,,,,,,,,2.5,13.6,,,,,,,,,,,,,1.7,,,,,,,,,41.9,,,,,124,,,,,,,,,167,,,,0,55,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
大分県,かいせんの湯1,,,,,,,,湧泉,温泉・鉱泉,,,,57.3,,,5.8,,,,,1067,,,,,,,,,,,,5.9,75.9,,,,,,,,,,,,,338.4,,,,,,,,,269.9,,,,,63,,,,,,,,,52.5,,,,10.2,288,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
大分県,かいせんの湯2,,,,,,,,湧泉,温泉・鉱泉,,,,81,,,6.2,,,,,1409,,,,,,,,,,,,7.1,86.7,,,,,,,,,,,,,470,,,,,,,,,310,,,,,76,,,,,,,,,93.5,,,,5.9,,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
大分県,筋湯（両築屋湯元）,,,,,,,,湧泉,温泉・鉱泉,,,,60,,,3.3,,,,,793,,,,,,,,,,,,3,10.6,,,,,,,,,,,,,294,,,,,,,,,107.7,,,,,0,,,,,,,,,132,,,,0,,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
大分県,小松（地獄内明碧の湯）,,,,,,,,湧泉,温泉・鉱泉,,,,87.6,,,2,,,,,2251,,,,,,,,,,,,11.6,20.6,,,,,,,,,,,,,2.4,,,,,,,,,1555,,,,,0,,,,,,,,,314,,,,0,,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
大分県,小松（地獄内南部）,,,,,,,,湧泉,温泉・鉱泉,,,,69.1,,,3,,,,,230,,,,,,,,,,,,3.3,8.9,,,,,,,,,,,,,1.7,,,,,,,,,127.4,,,,,0,,,,,,,,,57.5,,,,0,,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
大分県,大岳・河原噴気地帯,,,,,,,,井戸,地熱調査井,900,,,,,,6.4,,,,,971,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,146,,,,,,,,,,,,,,,,,,,97,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
