都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
大阪,大阪産ガス地,,,,,,,,井戸,ガス井,,,,,800,,6.8,,,,,,,,,19,,,,,,,10,82,86,,,,,,,,,,,,,637,,,,,,,,,60,,,,,468,,,,,,,,,,,,,,,,,,,,,,"本邦天然ガス鉱床の地質学的研究,地調報告,1956"
大阪,大阪市,,,,,,,,井戸,用水,181.2,,,24.5,495,,7.2,7.4,,,,,,9300,,2.9,,,,,,,0.7,2.4,8.6,,,,,1.95,0.98,,,,,,,4.9,,,,0,,,,,5,,,,,86.1,,,,,,,,,34.4,,,,,,,,,0.01,,,1956-11-25 00:00:00,"大阪市工業用地下水源調査報告,地調月報,1958"
大阪,大阪市,,,,,,,,井戸,用水,223.9,,,28.5,,,7.8,8,,,,,,4200,,4.8,,,39.2,1.7,,,2.2,3.6,10.47,,,,,0.1,0.19,,,,,,,4.3,,,,0.02,,,,,5,,,,,158.6,,,,,,,,,16.6,,,0.42,,,,,,0.3,,,1957-02-10 00:00:00,"大阪市工業用地下水源調査報告,地調月報,1958"
大阪,大阪市,,,,,,,,井戸,用水,,,,17.5,,,6.8,7.3,,,,,,3260,,10.1,,,,,,,1.2,15.8,36.4,,,,,6.66,18.34,,,,,,,37.6,,,,0.01,,,,,21,,,,,241,,,,,,,,,30.8,,,,,,,,,0.3,,,1957-02-10 00:00:00,"大阪市工業用地下水源調査報告,地調月報,1958"
大阪,大阪市,,,,,,,,井戸,用水,39.3,,,18.8,,,7.1,7.4,,,,,,5910,,9.7,,,31.8,6.8,,,2.2,6.7,8.9,,,,,2.44,0.22,,,,,,,8.5,,,,0,,,,,5,,,,,158.6,,,,,,,,,42.4,,,0.4,,,,,,0.44,,,1957-02-10 00:00:00,"大阪市工業用地下水源調査報告,地調月報,1958"
大阪,大阪市,,,,,,,,井戸,用水,151.2,,,19.9,,,7.2,7.8,,,,,,3300,,13.2,,,,,,,20,14.9,21.6,,,,,0.56,0,,,,,,,7.8,,,,0.01,,,,,4,,,,,253.2,,,,,,,,,40,,,3.7,,,,,,0.29,,,1956-11-25 00:00:00,"大阪市工業用地下水源調査報告,地調月報,1958"
大阪,大阪市,,,,,,,,井戸,用水,196.8,,,20.9,,,7,7.6,,,,,,5100,,8.7,,,16.2,11.8,,,15.75,7.8,12.2,,,,,1.37,0,,,,,,,5,,,,0,,,,,5,,,,,157.4,,,,,,,,,34.8,,,3.47,,,,,,0.09,,,1956-11-25 00:00:00,"大阪市工業用地下水源調査報告,地調月報,1958"
大阪,大阪市,,,,,,,,井戸,用水,118,,,18.6,,,7,7.9,,,,,,2150,,11.6,,,,,,,2.2,26.1,37.1,,,,,1.52,0,,,,,,,98,,,,0.03,,,,,7,,,,,286.7,,,,,,,,,56.4,,,4.16,,,,,,0.27,,,1957-02-10 00:00:00,"大阪市工業用地下水源調査報告,地調月報,1958"
大阪,大阪市,,,,,,,,井戸,用水,151.5,,,19.8,,,7,7.8,,,,,,3580,,8,,,16.3,18.4,,,2.4,16,28,,,,,0.5,0.01,,,,,,,8.2,,,,0.05,,,,,9,,,,,250.1,,,,,,,,,46.8,,,0.77,,,,,,0.26,,,1957-02-10 00:00:00,"大阪市工業用地下水源調査報告,地調月報,1958"
大阪,大阪市,,,,,,,,井戸,用水,130,,,19.3,130,,8,8.1,,,,,,2980,,18.6,,,20.9,22.7,,,1.8,19.3,37.6,,,,,0.1,0.23,,,,,,,3.9,,,,0.03,,,,,5,,,,,335.5,,,,,,,,,60,,,,,,,,,0.56,,,1957-02-10 00:00:00,"大阪市工業用地下水源調査報告,地調月報,1958"
