都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
宮城県,,140,43,20,38,13,20,,不明,温泉・鉱泉,,,,50,,,6.8,,,,,,,,,,,,1905,100,,,,4.4,926.8,,,,,,,,,,,,,4411,,,,,,,,,307.8,,,,,61,,,,,,,,,,,,,,,,,,,,,,本邦高かん泉の温泉地質学的意義，地調月報，1958
宮城県,,140,34,30,38,1,20,,不明,温泉・鉱泉,,,,39,,,8,,,,,,,,,,,,1506,58,,,,12.2,132.4,,,,,,,,,,,,,1521,4.4,0.25,,,,,,,1357,,,,,408.7,,,,,,,,,,,,,,,,,,,,,,本邦高かん泉の温泉地質学的意義，地調月報，1958
宮城県,,140,34,30,38,1,20,,不明,温泉・鉱泉,,,,49.6,,,8,,,,,,,,,,,,1534,60,,,,12,165,,,,,,,,,,,,,1542,,,,,,,,,1362,,,,,463.6,,,,,,,,,,,,,,,,,,,,,,本邦高かん泉の温泉地質学的意義，地調月報，1958
宮城県,,140,34,30,38,1,20,,不明,温泉・鉱泉,,,,,,,7.9,,,,,,,,,,,,1543,62,,,,12,117.1,,,,,,,,,,,,,1539,,,,,,,,,1367,,,,,356.8,,,,,,,,,,,,,,,,,,,,,,本邦高かん泉の温泉地質学的意義，地調月報，1958
宮城県,,140,34,30,38,1,20,,不明,温泉・鉱泉,,,,,,,8,,,,,,,,,,,,1477,60,,,,11.4,123.2,,,,,,,,,,,,,1546,,,,,,,,,1362,,,,,512.4,,,,,,,,,,,,,,,,,,,,,,本邦高かん泉の温泉地質学的意義，地調月報，1958
宮城県,,140,34,50,38,7,10,,井戸,温泉・鉱泉,,,,62,,,6.4,,,,,,,,,,,,,,,,,,16.2,,,,,,,,,,,,,293.8,0.77,,,,,,,,915.2,,,,,286.7,,,,,,,,,,,,,,,,,,,,,,本邦温泉の地域性について（その２），地学雑誌，1960
宮城県,,140,34,50,38,7,10,,井戸,温泉・鉱泉,,,,61,,,7.4,,,,,,,,,,,,,,,,,,21.2,,,,,,,,,,,,,293.8,0.66,,,,,,,,899.5,,,,,402.6,,,,,,,,,,,,,,,,,,,,,,本邦温泉の地域性について（その２），地学雑誌，1960
宮城県,,140,34,50,38,7,10,,井戸,温泉・鉱泉,,,,59,,,6.5,,,,,,,,,,,,,,,,,,22.4,,,,,,,,,,,,,276.1,0.66,,,,,,,,940.7,,,,,372.1,,,,,,,,,,,,,,,,,,,,,,本邦温泉の地域性について（その２），地学雑誌，1960
宮城県,中新田町,140,51,10,38,36,20,,井戸,用水,130,,,14,,,7.3,7.4,,,,,,,,7.5,,,12,2.9,,,0.1,2.6,5.7,,,,,0.04,0.71,,,,,,,5.8,,,,0,,,,,9,,,,,47.3,,,,,,,,,63.2,,,0.96,,4,,,,0.22,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,中新田町,140,50,30,38,35,20,,井戸,用水,130,,,19,,,7.2,7.3,,,,,,,,7.2,,,14.9,1.9,,,0.2,3.7,5.2,,,,,0.15,0.16,,,,,,,7,,,,0,,,,,14.7,,,,,46.8,,,,,,,,,74.8,,,0.41,,6,,,,0.27,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,中新田町,140,51,20,38,34,20,,井戸,用水,100,,,19,,,7.3,7.4,,,,,,,,3.5,,,18.4,9,,,,2.4,5,,,,,0.02,0.06,,,,,,,6.9,,,,0,,,,,13.7,,,,,50.5,,,,,,,,,75.8,,,0.38,,6,,,,0.19,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,中新田町,140,52,30,38,33,0,,井戸,用水,200,,,19,,,7.4,7.5,,,,,,,,6.7,,,33.7,3,,,,1.9,3.6,,,,,0.02,0.28,,,,,,,16,,,,0,,,,,13.4,,,,,73.6,,,,,,,,,75.7,,,,,4,,,,0.23,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,古川市,140,54,0,38,35,0,,井戸,用水,150,,,18.6,,,7.1,7.3,,,,,,,,9.7,,,12.6,1.2,,,0.1,3.5,5.1,,,,,0.47,0.15,,,,,,,6.1,,,,0.11,,,,,9,,,,,48.7,,,,,,,,,75.8,,,,,7.5,,,,0.19,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,古川市,140,54,30,38,33,30,,井戸,用水,152,,,19.5,,,7.2,7.4,,,,,,,,16.9,,,16.9,1.2,,,0.4,3.1,5,,,,,0.74,0.12,,,,,,,5.5,,,,0.04,,,,,5,,,,,62.6,,,,,,,,,78,,,0.1,,7,,,,0.18,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,古川市,140,57,10,38,37,30,,井戸,用水,105,,,20,,,7.3,7.5,,,,,,,,6.2,,,20.4,1.9,,,,2.4,5,,,,,0.06,0.07,,,,,,,5.1,,,,0,,,,,4,,,,,70,,,,,,,,,78.8,,,0.45,,10,,,,0.17,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,古川市,140,56,50,38,36,30,,井戸,用水,3,,,16.5,,,6.1,6.4,,,,,,,,9.9,,,31.5,10.6,,,0.3,9.7,20.7,,,,,0,0.09,,,,,,,50.5,,,,0,,,,,44.6,,,,,53.1,,,,,,,,,48.4,,,3.36,,76,,,,0.06,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,古川市,140,59,0,38,37,10,,井戸,用水,150,,,19.3,,,6.7,7,,,,,,,,6.4,,,16.9,1.3,,,0.1,2.4,5.2,,,,,0.78,0.15,,,,,,,7.8,,,,0,,,,,0,,,,,59.7,,,,,,,,,80,,,,,18,,,,0.12,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,古川市,140,58,40,38,35,40,,井戸,用水,150,,,15.5,,,6.8,7.3,,,,,,,,5.7,,,21.9,2.9,,,,4.3,11.2,,,,,3.48,2.42,,,,,,,11.5,,,,0,,,,,0,,,,,113.1,,,,,,,,,67,,,0.6,,36,,,,0.23,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,古川市,140,58,10,38,34,20,,井戸,用水,184,,,17,,,7.3,7.4,,,,,,,,6.6,,,25.5,1.2,,,0.1,1.7,3.3,,,,,0.78,0.36,,,,,,,4.8,,,,0,,,,,0,,,,,80.2,,,,,,,,,76,,,,,9.5,,,,0.33,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,古川市,141,0,10,38,32,20,,井戸,用水,151,,,17.9,,,6.8,7.2,,,,,,,,5.2,,,18.8,3.2,,,0,4.5,9.1,,,,,0.05,0.05,,,,,,,5.4,,,,0,,,,,0,,,,,96.2,,,,,,,,,79,,,0.3,,24,,,,0.27,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,三本木町,140,56,30,38,32,30,,井戸,用水,153,,,19.5,,,6.9,7.2,,,,,,,,9.4,,,19.4,1.2,,,0.5,2.6,4.2,,,,,1.58,0.32,,,,,,,4.6,,,,0.1,,,,,1,,,,,72.9,,,,,,,,,84.8,,,0.84,,24,,,,0.18,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,三本木町,140,55,20,38,31,20,,井戸,用水,155,,,16.5,,,6.8,7.4,,,,,,,,13.9,,,31.6,1.2,,,1.3,9.3,23.4,,,,,0.99,1.31,,,,,,,21.9,,,,0,,,,,0,,,,,175.5,,,,,,,,,69.1,,,,,48,,,,0.12,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,三本木町,140,57,10,38,31,10,,井戸,用水,180,,,24,,,7.6,7.8,,,,,,,,5.3,,,52.5,3.4,,,,0.5,1,,,,,0.05,0.2,,,,,,,6.7,,,,0.28,,,,,22.7,,,,,117.1,,,,,,,,,57.4,,,0.08,,4,,,,0.41,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,田尻町,141,1,30,38,36,10,,井戸,用水,,,,21.7,,,7.2,7.5,,,,,,,,6.1,,,24.8,2.2,,,,0.9,1.6,,,,,0.14,0.12,,,,,,,8.2,,,,0,,,,,8.5,,,,,57.8,,,,,,,,,83.8,,,,,6,,,,0.11,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,田尻町,141,0,50,38,35,50,,井戸,用水,150,,,19.8,,,6.9,7.3,,,,,,,,5.9,,,103.4,6.3,,,,3.1,3.9,,,,,1.22,0.47,,,,,,,141.8,,,,1.15,,,,,1,,,,,65.9,,,,,,,,,85.8,,,,,18,,,,0.07,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
宮城県,小牛田町,141,0,50,38,34,50,,井戸,用水,150,,,18.5,,,7.3,7.5,,,,,,,,9.7,,,22.9,0.8,,,0.1,0.9,1.9,,,,,0.04,0.09,,,,,,,4.6,,,,0.02,,,,,0,,,,,63.9,,,,,,,,,85.7,,,0.16,,6,,,,0.13,,ppm,1960/9,宮城県大崎平野工業用水源調査報告，地調月報，1962
