都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
宮崎県,真幸地区,,,,,,,,井戸,温泉・鉱泉,116,,,22.8,12.01388888888889,,6.9,7.5,,,,,,,,,,,,,,,31.3,,,,,,,2.43,0.75,3.18,,,,,,7.8,,,,0,,,,,,,,,,390,0,,,,,,,,,,,0.61,,33,314,,,3,,,1954-02-22 00:00:00,"宮崎県小林市附近天然ガス調査報告,地調報告,1956"
宮崎県,真幸地区,,,,,,,,井戸,温泉・鉱泉,233,,,30.3,,,7.2,7.3,,,,,,,,,,,,,,,3.43,,,,,,,0.25,0.1,0.35,,,,,,5,,,,0,,,,,,,,,,122,0,,,,,,,,,,,0.48,,7.7,95.5,,,1,,,1954-02-22 00:00:00,"宮崎県小林市附近天然ガス調査報告,地調報告,1956"
宮崎県,真幸地区,,,,,,,,井戸,温泉・鉱泉,18.2,,,48.3,48.61111111111111,,6.8,7.7,,,,,,,,12.8,,,,,,,1.78,138,223,,,,,1.83,0.63,2.46,,,,,,648,,,,0,0,,,,654,,,,,2220,0,,,,,,,,,,,0.44,,308,1906,,,0.5,,,1954-02-22 00:00:00,"宮崎県小林市附近天然ガス調査報告,地調報告,1956"
宮崎県,真幸地区,,,,,,,,井戸,温泉・鉱泉,,,,42.3,6.944444444444445,,6.6,7.5,,,,,,,,,,,,,,,1.5,,,,,,,0.97,0,0.97,,,,,,463,,,,0.0012,0,,,,,,,,,1891,0,,,,,,,,,,,0.24,,337,1698,,,0.5,,,1954-02-22 00:00:00,"宮崎県小林市附近天然ガス調査報告,地調報告,1956"
宮崎県,真幸地区,,,,,,,,井戸,温泉・鉱泉,96.4,,15,24.6,,,7.3,7.5,,,,,,,,,,,,,,,18.8,12.7,6.4,,,,,0.26,0.31,0.57,,,,,,9.2,,,,0,0,,,,,,,,,342,0,,,,,,,,,,,0.58,,17.6,264,,,1.5,,,1954-02-23 00:00:00,"宮崎県小林市附近天然ガス調査報告,地調報告,1956"
宮崎県,真幸地区,,,,,,,,井戸,温泉・鉱泉,300,,12,48.1,20.83333333333334,,7.3,7.6,,,,,,,,47.8,,,,,,,2.43,4.4,2.7,,,,,,0.09,0.09,,,,,,9.2,,,,0,,,,,10,,,,,171,0,,,,,,,,,,,0.24,,17.6,141,,,0.75,,,1954-02-23 00:00:00,"宮崎県小林市附近天然ガス調査報告,地調報告,1956"
宮崎県,真幸地区,,,,,,,,井戸,温泉・鉱泉,230,,,45.8,,,7.3,7.5,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,140,0,,,,,,,,,,,,,15.4,116,,,,,,1954-02-23 00:00:00,"宮崎県小林市附近天然ガス調査報告,地調報告,1956"
宮崎県,真幸地区,,,,,,,,井戸,温泉・鉱泉,273,,,45.8,,,7.2,7.5,,,,,,,,44.4,,,,,,,3.33,9.2,8.6,,,,,0.14,0.05,0.19,,,,,,12.7,,,,0,,,,,7,,,,,250,0,,,,,,,,,,,0.2,,13.2,183,,,1,,,1954-02-23 00:00:00,"宮崎県小林市附近天然ガス調査報告,地調報告,1956"
宮崎県,真幸地区,,,,,,,,井戸,温泉・鉱泉,96.4,,,25.8,,,7,7.5,,,,,,,,,,,,,,,18.7,,,,,,,0.42,0.33,0.75,,,,,,9.9,,,,0,,,,,,,,,,347,0,,,,,,,,,,,0.21,,24.2,274,,,1,,,1954-02-23 00:00:00,"宮崎県小林市附近天然ガス調査報告,地調報告,1956"
宮崎県,真幸地区,,,,,,,,井戸,温泉・鉱泉,,,,32,6.319444444444445,,6.7,7.3,,,,,,,,11.6,,,,,,,3.18,139,427,,,,,,0.37,0.37,,,,,,630,,,,0.036,0,,,,1183,,,,,2037,0,,,,,,,,,,,,,25.1,1492,,,0.5,,,1954-02-23 00:00:00,"宮崎県小林市附近天然ガス調査報告,地調報告,1956"
