都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.3,,,,282,,,,,,,,,,,,6,23,,,,,,,,,,,,,7,,,,,,,,,9,,,,,,,,,,,,,,34,,,,,,,,,,,,1953-11-25 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.6,,,,302,,,,,,,,,,,,2,25.8,,,,,,,,,,,,,6.4,,,,,,,,,15,,,,,,,,,,,,,,2,,,,,,,,,,,,1953-11-25 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.6,,,,145,,,,,,,,,,,,0.9,17.6,,,,,,,,,,,,,6,,,,,,,,,9,,,,,,,,,,,,,,14,,,,,,,,,,,,1953-11-25 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.7,,,,180,,,,,,,,,,,,2.7,20.1,,,,,,,,,,,,,7.1,,,,,,,,,24,,,,,,,,,,,,,,15,,,,,,,,,,,,1953-11-25 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.2,,,,180,,,,,,,,,,,,3.6,25,,,,,,,,,,,,,5.9,,,,,,,,,13.5,,,,,,,,,,,,,,6,,,,,,,,,,,,1953-11-25 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.1,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,3,,,,,,,,,,,,,,35,,,,,,,,,,,,1953-11-25 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.1,,,,99,,,,,,,,,,,,4.4,19.7,,,,,,,,,,,,,6,,,,,,,,,15,,,,,,,,,,,,,,39,,,,,,,,,,,,1953-11-25 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.1,,,,174,,,,,,,,,,,,2.7,21,,,,,,,,,,,,,5.7,,,,,,,,,10.5,,,,,,,,,,,,,,3.9,,,,,,,,,,,,1953-11-25 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.3,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,15,,,,,,,,,,,,,,3.9,,,,,,,,,,,,1953-11-25 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.4,,,,167,,,,,,,,,,,,3.6,21.6,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,1953-11-25 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.3,,,,153,,,,,,,,,,,,2,24.5,,,,,,,,,,,,,6.5,,,,,,,,,10.5,,,,,,,,,,,,,,21,,,,,,,,,,,,1953-11-25 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.2,,,,150,,,,,,,,,,,,2.8,18.5,,,,,,,,,,,,,6.5,,,,,,,,,15,,,,,,,,,,,,,,33,,,,,,,,,,,,1953-11-25 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.1,,,,189,,,,,,,,,,,,1.6,17,,,,,,,,,,,,,28.1,,,,,,,,,12,,,,,,,,,,,,,,18,,,,,,,,,,,,1953-11-25 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.3,,,,220,,,,,,,,,,,,5,16.9,,,,,,,,,,,,,34.1,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,1953-11-25 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7,,,,172,,,,,,,,,,,,3,5.7,,,,,,,,,,,,,5.5,,,,,,,,,3,,,,,,,,,,,,,,38,,,,,,,,,,,,1953-11-25 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.5,,,,90,,,,,,,,,,,,,5.7,,,,,,,,,,,,,7,,,,,,,,,12,,,,,,,,,,,,,,27,,,,,,,,,,,,1953-11-01 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7.2,,,,113,,,,,,,,,,,,4.8,13.2,,,,,,,,,,,,,5.4,,,,,,,,,12,,,,,,,,,,,,,,22,,,,,,,,,,,,1953-11-01 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
富山県,富山市,,,,,,,,井戸,用水,,,,,,,,7,,,,168,,,,,,,,,,,,2,23,,,,,,,,,,,,,6,,,,,,,,,12,,,,,,,,,,,,,,17,,,,,,,,,,,,1953-11-01 00:00:00,"富山湾岸工業用水源地域調査報告,地調月報, 1955"
