都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ－Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ－,Ｃｌ－,Ｂｒ－,I－,OH－,ＮＯ２－,ＮＯ３－,ＨＳ－,Ｓ２Ｏ３2－,ＨＳＯ４－,ＳＯ４２－,ＳＯ３２－,Ｈ２ＰＯ４－,ＨＰＯ４２－,ＰＯ４３－,ＨＣＯ３－,ＣＯ３２－,ＨＳｉＯ３－,ＳｉＯ３２－,ＢＯ２－,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ－ＣＯ２,Ｔ－Ａｓ,Ｔ－Ｈｇ,Ｔ－Ｐ,Ｔ－Ｂ,単位,調査日,文献名
山口,宇部鉱業所手前－重石,,,,,,,,坑道,坑道湧水,,,,,,,6.5,,,,,,,,,,,,3400,,,,5.54,381,937,,,,,,,0.07,,,,,,7850,,,,,,,,,521,,,,,664,,,,,,,,,,,,,,110,,,,,,,,"地層水水理の地球化学的研究,現代日本の地下水研究,1970"
山口,宇部鉱業所手前－大派,,,,,,,,坑道,坑道湧水,,,,,,,6.4,,,,,,,,,,,,3589,,,,3.21,387,649,,,,,,,27.15,,,,,,7422,,,,,,,,,1688,,,,,263,,,,,,,,,,,,,,16,,,,,,,,"地層水水理の地球化学的研究,現代日本の地下水研究,1970"
山口,宇部鉱業所手前－下層部,,,,,,,,坑道,坑道湧水,,,,,,,8.3,,,,,,,,,,,,1121,,,,3.6,19,170,,,,,,,,,,,,,1127,,,,,,,,,87,,,,,373,,,,,,,,,,,,,,8,,,,,,,,"地層水水理の地球化学的研究,現代日本の地下水研究,1970"
山口,宇部鉱業所手前－基盤,,,,,,,,坑道,坑道湧水,,,,,,,7.1,,,,,,,,,,,,1500,,,,1.89,150,686,,,,,,,1.08,,,,,,3874,,,,,,,,,330,,,,,174,,,,,,,,,,,,,,24,,,,,,,,"地層水水理の地球化学的研究,現代日本の地下水研究,1970"
山口,宇部鉱業所沖鉱区,,,,,,,,坑道,坑道湧水,,,,,,,6.34,,,,,,,,,,,,1708,,,,1.3,113,171,,,,,,,31.25,,,,,,523,,,,,,,,,532,,,,,1300,,,,,,,,,,,,,,496,,,,,,,,"地層水水理の地球化学的研究,現代日本の地下水研究,1970"
山口,宇部鉱業所真卸ダム,,,,,,,,坑道,坑道湧水,,,,,,,6.1,,,,,,,,,,,,160,,,,3.71,147,149,,,,,,,10.57,,,,,,317,,,,,,,,,178,,,,,1106,,,,,,,,,,,,,,589,,,,,,,,"地層水水理の地球化学的研究,現代日本の地下水研究,1970"
山口,宇部鉱業所東二坑,,,,,,,,坑道,坑道湧水,,,,,,,5.6,,,,,,,,,,,,6833,,,,2.47,1015,1047,,,,,,,0.05,,,,,,14364,,,,,,,,,2125,,,,,72,,,,,,,,,,,,,,42,,,,,,,,"地層水水理の地球化学的研究,現代日本の地下水研究,1970"
山口,西沖ノ山鉱業所断層手前,,,,,,,,坑道,坑道湧水,,,,,,,6.6,,,,,,,,,,,,4579,,,,5.78,530,1894,,,,,,,0.07,,,,,,12227,,,,,,,,,379,,,,,405,,,,,,,,,,,,,,52,,,,,,,,"地層水水理の地球化学的研究,現代日本の地下水研究,1970"
山口,木山鉱業所沖鉱区,,,,,,,,坑道,坑道湧水,,,,,,,7,,,,,,,,,,,,310,,,,1.09,99,145,,,,,,,0.21,,,,,,170,,,,,,,,,6,,,,,1527,,,,,,,,,,,,,,149,,,,,,,,"地層水水理の地球化学的研究,現代日本の地下水研究,1970"
山口,木山鉱業所手前,,,,,,,,坑道,坑道湧水,,,,,,,6.6,,,,,,,,,,,,3015,,,,2.73,489,842,,,,,,,2.74,,,,,,6934,,,,,,,,,1055,,,,,592,,,,,,,,,,,,,,116,,,,,,,,"地層水水理の地球化学的研究,現代日本の地下水研究,1970"
山口,,131,10,40,34,19,30,,不明,温泉・鉱泉,,,,41,,,9.3,,,,,,,,,,,,44.4,1.5,,,,0.2,1.9,,,,,,,,,,,,,,,,,,,,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
