都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,4.5,,,13.1,,,6.9,,,,,,,,,15,,,,,,,0,,34,,,,,,,,,,,,,16.5,,,,0.1,0,,,,23,,,,,368,,,,,,,,,,,,,,11,278,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,4.5,,,13.8,,,6.2,,,,,,,,,18,,,,,,,0,,25,,,,,,,,,,,,,46,,,,0,0,,,,11,,,,,105,,,,,,,,,,,,,,62,138,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,10,,,11.6,,,6.2,,,,,,,,,13,,,,,,,0,,14,,,,,,,,,,,,,33,,,,0,0,,,,11,,,,,69,,,,,,,,,,,,,,18,68,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,4.5,,,17.1,,,5.9,,,,,,,,,18,,,,,,,0,,13,,,,,,,,,,,,,23,,,,0,20.1,,,,30,,,,,17,,,,,,,,,,,,,,33,45,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,6,,,12.6,,,6.4,,,,,,,,,31,,,,,,,0,,42,,,,,,,,,,,,,26,,,,0,0,,,,15,,,,,150,,,,,,,,,,,,,,51,160,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,3,,,14.5,,,5.8,,,,,,,,,25,,,,,,,0,,6,,,,,,,,,,,,,14,,,,0.05,0,,,,15,,,,,23,,,,,,,,,,,,,,79,96,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,10.5,,,19.1,,,6.6,,,,,,,,,25,,,,,,,0,,19,,,,,,,,,,,,,50,,,,0,20.1,,,,30,,,,,125,,,,,,,,,,,,,,9,100,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,3,,,16,,,6,,,,,,,,,31,,,,,,,0,,22,,,,,,,,,,,,,31,,,,0,23.5,,,,45,,,,,29,,,,,,,,,,,,,,35,56,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,3.5,,,15.6,,,6,,,,,,,,,37,,,,,,,0,,6,,,,,,,,,,,,,16,,,,0,6.7,,,,8,,,,,55,,,,,,,,,,,,,,22,58,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,,,,16.6,,,5.6,,,,,,,,,22,,,,,,,0,,14,,,,,,,,,,,,,2,,,,0,16.8,,,,12,,,,,31,,,,,,,,,,,,,,16,38,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,2.5,,,21,,,5.8,,,,,,,,,32,,,,,,,0,,17,,,,,,,,,,,,,30,,,,0.05,20.1,,,,15,,,,,63,,,,,,,,,,,,,,36,82,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,3,,,16.5,,,6,,,,,,,,,65,,,,,,,1.5,,60,,,,,,,,,,,,,208,,,,1,16.8,,,,30,,,,,231,,,,,,,,,,,,,,116,283,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,4,,,15.5,,,6.2,,,,,,,,,70,,,,,,,5,,29,,,,,,,,,,,,,25,,,,0,0,,,,0.001,,,,,212,,,,,,,,,,,,,,167,321,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,6.5,,,15.1,,,5.8,,,,,,,,,27,,,,,,,0,,38,,,,,,,,,,,,,120,,,,0,0,,,,30,,,,,37,,,,,,,,,,,,,,40,69,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,3.5,,,13,,,5.8,,,,,,,,,67,,,,,,,0,,39,,,,,,,,,,,,,52,,,,0,0,,,,30,,,,,100,,,,,,,,,,,,,,86,159,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,5.5,,,13.8,,,5.8,,,,,,,,,10,,,,,,,0,,37,,,,,,,,,,,,,89,,,,0,0,,,,15,,,,,56,,,,,,,,,,,,,,46,89,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,2.5,,,17.5,,,6,,,,,,,,,52,,,,,,,0,,29,,,,,,,,,,,,,15,,,,0,0,,,,15,,,,,69,,,,,,,,,,,,,,46,96,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,3.5,,,13.7,,,6.2,,,,,,,,,31,,,,,,,0,,47,,,,,,,,,,,,,73,,,,0.2,0,,,,30,,,,,119,,,,,,,,,,,,,,55,141,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,4.5,,,14,,,6,,,,,,,,,13,,,,,,,0,,21,,,,,,,,,,,,,92,,,,0,0,,,,12,,,,,119,,,,,,,,,,,,,,120,188,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,10,,,15.5,,,5.8,,,,,,,,,10,,,,,,,0,,,,,,,,,,,,,,,36,,,,0,1.3,,,,30,,,,,25,,,,,,,,,,,,,,33,51,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,5.5,,,15.3,,,6.5,,,,,,,,,39,,,,,,,5.5,,45,,,,,,,,,,,,,9,,,,0,0,,,,75,,,,,138,,,,,,,,,,,,,,99,199,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,4.5,,,17,,,6.7,,,,,,,,,25,,,,,,,0,,,,,,,,,,,,,,,16,,,,0.1,1.3,,,,60,,,,,100,,,,,,,,,,,,,,26,99,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,4.5,,,18.5,,,6.6,,,,,,,,,30,,,,,,,0.5,,,,,,,,,,,,,,,43,,,,0,0,,,,30,,,,,163,,,,,,,,,,,,,,53,171,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
山形県,山形市付近,,,,,,,,井戸,ガス井．用水,5.5,,,17,,,6.6,,,,,,,,,72,,,,,,,1.7,,,,,,,,,,,,,,,100,,,,0,0,,,,0.001,,,,,230,,,,,,,,,,,,,,166,245,,,,,,1950/6,山形市附近天然ガス地化学調査報告，地調報告，1954
