都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
山梨県,,138,32,33,35,51,51,,不明,温泉・鉱泉,,,,25,,,,,,,,,,,,,,,1756,225.9,,,,12.7,157.2,,,,,8.5,,,,,,,,2380,5.5,0.2,,,,,,,357.9,,,,,981,,,,,,,,,,,,,,217,,,,,,,,"本邦高鹹水の温泉地質的意義,地調月報,1958"
山梨県,,138,32,33,35,51,51,,不明,温泉・鉱泉,,,,29,,,6.4,,,,,,,,,,,,2507,328.8,,,,23.2,269.5,,,,,42.7,,,,,,,,3517,7.6,0.35,,,,,,,689.7,,,,,1403,,,,,,,,,,,,,,256,,,,,,,,"本邦高鹹水の温泉地質的意義,地調月報,1958"
山梨県,,138,32,33,35,51,51,,不明,温泉・鉱泉,,,,34,,,6.4,,,,,,,,,,,,2773,373.9,,,,23.2,255.3,,,,,8.5,,,,,,,,3787,8.5,0.25,,,,,,,566.2,,,,,1616,,,,,,,,,,,,,,363,,,,,,,,"本邦高鹹水の温泉地質的意義,地調月報,1958"
山梨県,,138,33,11,35,40,46,,不明,温泉・鉱泉,,,,44,,,8.2,,,,,,,,,,,,595.6,9.3,,,,3.1,177.7,,,,,,,,,,,,,978,2.6,0.08,,,,,,,335.8,,,,,9.1,6,,,,,,,,,,,,,,,,,,,,,"本邦高鹹水の温泉地質的意義,地調月報,1958"
山梨県,,,,,,,,,湧泉,温泉・鉱泉,,,,40,,,7.6,,,,,,,,,,,,,,,,,1.3,139.1,,,,,,,,,,,,,1414,,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,"本邦温泉の地域性について（その２）,地学雑誌,1960"
山梨県,,138,18,49,35,32,56,,湧泉,温泉・鉱泉,,,,45,,,7,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,240,,,,,,,,,518,,,,,42,,,,,,,,,,,,,,7,,,,,,,,"本邦温泉の地域性について（その２）,地学雑誌,1960"
山梨県,,138,18,49,35,32,56,,湧泉,温泉・鉱泉,,,,17,,,7.3,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,3748,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,"本邦温泉の地域性について（その２）,地学雑誌,1960"
山梨県,,,,,,,,,湧泉,温泉・鉱泉,,,,43,,,9.2,,,,,,,,,,,,,,,,,1.1,10,,,,,,,,,,,,,32.6,,,,,,,,,82.3,,,,,24.4,,,,,,,,,,,,,,,,,,,,,,"本邦温泉の地域性について（その２）,地学雑誌,1960"
山梨県,山梨市,138,41,20,35,41,30,,井戸,用水,18,,,19.9,,,6.2,6.9,,,,,,,,5.6,,,6.4,1.6,,,0.1,2.5,14.6,,,,,0,0.01,,,,,,,5.1,,,,0,,,,,12,,,,,42.7,,,,,,,,,24,,,,,,,,,,,,1961-11-13 00:00:00,"山梨県甲府盆地の地下水,地調月報,1963"
山梨県,山梨市,138,41,10,35,40,50,,井戸,用水,8,,,19.5,,,6.3,6.8,,,,,,,,6.9,,,7.9,2.5,,,0.1,2.7,17.7,,,,,0.03,0.04,,,,,,,9.9,,,,0,,,,,19,,,,,37.8,,,,,,,,,18.6,,,,,,,,,,,,1961-11-13 00:00:00,"山梨県甲府盆地の地下水,地調月報,1963"
山梨県,山梨市,138,41,20,35,40,0,,井戸,用水,6,,,17,,,6.1,6.7,,,,,,,,5.2,,,7.2,3.4,,,0,2.9,17.4,,,,,0,0,,,,,,,7.2,,,,0,,,,,26,,,,,40.2,,,,,,,,,19,,,1.1,,,,,,,,,1961-11-13 00:00:00,"山梨県甲府盆地の地下水,地調月報,1963"
山梨県,東八代郡宮町下矢作,138,40,50,35,39,20,,井戸,用水,4.2,,,16.3,,,6.8,7.3,,,,,,,,5.8,,,6.9,2.1,,,0,4.3,21.3,,,,,0.01,0,,,,,,,7.5,,,,,,,,,22,,,,,65.8,,,,,,,,,17,,,,,,,,,,,,1961-11-13 00:00:00,"山梨県甲府盆地の地下水,地調月報,1963"
山梨県,東八代郡御坂町成田,138,39,40,35,38,20,,井戸,用水,4.2,,,15.5,,,6.8,7.1,,,,,,,,8.1,,,7.5,0.8,,,0,4.3,20.2,,,,,0.01,0.03,,,,,,,9.6,,,,,,,,,18,,,,,42.7,,,,,,,,,21,,,,,,,,,,,,1961-11-13 00:00:00,"山梨県甲府盆地の地下水,地調月報,1963"
山梨県,東八代郡石和町,138,38,20,35,39,0,,井戸,用水,12,,,21.8,,,6.6,7.1,,,,,,,,8.9,,,18.9,3,,,0,4.1,21.3,,,,,0,0,,,,,,,25.7,,,,0,,,,,23,,,,,62.2,,,,,,,,,28.7,,,,,,,,,,,,1961-11-13 00:00:00,"山梨県甲府盆地の地下水,地調月報,1963"
山梨県,東八代郡,138,38,10,35,38,40,,井戸,用水,20,,,23,,,6.5,7,,,,,,,,8.9,,,13.7,3.5,,,0.1,4.3,22.5,,,,,0,0,,,,,,,21.2,,,,0.01,,,,,25,,,,,58.5,,,,,,,,,24,,,,,,,,,,,,1961-11-13 00:00:00,"山梨県甲府盆地の地下水,地調月報,1963"
山梨県,東八代郡石和町長塚,138,38,50,35,38,30,,井戸,用水,14.5,,,15.7,,,7,7.3,,,,,,,,3.5,,,7.1,0.7,,,,3.1,15.9,,,,,0,0.01,,,,,,,5.1,,,,0,,,,,10,,,,,56.1,,,,,,,,,19.3,,,4.58,,,,,,,,,1961-11-13 00:00:00,"山梨県甲府盆地の地下水,地調月報,1963"
山梨県,東八代郡石和町長塚,138,38,50,35,39,20,,井戸,用水,40,,,18.7,,,6.8,7.2,,,,,,,,8.4,,,9.1,1.4,,,0,3.6,15.5,,,,,0,0,,,,,,,5.5,,,,0,,,,,13,,,,,64.6,,,,,,,,,30,,,1.27,,,,,,,,,1961-11-13 00:00:00,"山梨県甲府盆地の地下水,地調月報,1963"
山梨県,東八代郡石和町長塚,138,38,10,35,38,10,,井戸,用水,20,,,15.6,,,7.3,7.4,,,,,,,,4.5,,,6.9,0.7,,,0,4.1,16.9,,,,,0,0,,,,,,,6.2,,,,0,,,,,12,,,,,56.1,,,,,,,,,17,,,4.23,,,,,,,,,1961-11-13 00:00:00,"山梨県甲府盆地の地下水,地調月報,1963"
山梨県,東八代郡日の出町,138,38,30,35,37,50,,井戸,用水,14,,,15.4,,,6.9,7.3,,,,,,,,7.8,,,7.4,0.7,,,0,4.9,19.5,,,,,0,0.01,,,,,,,6.9,,,,0,,,,,15,,,,,69,,,,,,,,,21.5,,,3.84,,,,,,,,,1961-11-13 00:00:00,"山梨県甲府盆地の地下水,地調月報,1963"
山梨県,東八代郡八代町増利,138,37,20,35,36,50,,井戸,用水,18,,,15.6,,,6.7,7.1,,,,,,,,3.9,,,8.1,0.6,,,0,4.2,18,,,,,0,0.01,,,,,,,8.9,,,,0,,,,,14,,,,,46.3,,,,,,,,,24.6,,,5.89,,,,,,,,,1961-11-13 00:00:00,"山梨県甲府盆地の地下水,地調月報,1963"
山梨県,東八代郡境川村大坪,138,36,50,35,36,30,,井戸,用水,20,,,15.3,,,6.9,7.3,,,,,,,,11.7,,,7.7,0.5,,,0,6.3,10.5,,,,,0,0,,,,,,,5.8,,,,,,,,,10,,,,,54.9,,,,,,,,,22,,,3.41,,,,,,,,,1961-11-13 00:00:00,"山梨県甲府盆地の地下水,地調月報,1963"
