都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
岐阜県,大垣市,136,36,50,35,21,50,,井戸,用水,153,,,14.5,,,7.4,7.5,,,,,,,,,,,,,,,0,2.1,8.2,,,,,0,0,,,,,,,3.7,,,,0,0.5,,,,1,,,,,,,,,,,,,,,,,,,2,,,,0.02,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
岐阜県,大垣市,136,36,50,35,21,50,,井戸,用水,138.6,,,13.8,,,7.3,7.5,,,,,,,,,,,,,,,0,1.1,8.5,,,,,0,0,,,,,,,5.1,,,,0,0.8,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,0,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
岐阜県,大垣市,136,36,20,35,21,50,,井戸,用水,90,,,13.4,,,7.2,7.3,,,,,,,,,,,,,,,0,2.4,8.1,,,,,0,0,,,,,,,2.6,,,,0,0.9,,,,0,,,,,,,,,,,,,,,,,,,2.5,,,,0.01,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
岐阜県,大垣市,136,36,20,35,21,20,,井戸,用水,120.6,,,13.5,,,7.3,7.4,,,,,,,,,,,,,,,0,3.1,9,,,,,0,0,,,,,,,3.8,,,,0,1.3,,,,,,,,,,,,,,,,,,,,,,,2,,,,0.04,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
岐阜県,大垣市,136,36,20,35,21,20,,井戸,用水,120.6,,,13.5,,,7.3,7.4,,,,,,,,,,,,,,,0,1.9,7.9,,,,,0,0,,,,,,,3.6,,,,0,0.6,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,0.02,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
岐阜県,大垣市,136,36,20,35,21,20,,井戸,用水,136.8,,,13.3,,,7.3,7.4,,,,,,,,,,,,,,,0,1.7,8.6,,,,,0,0,,,,,,,3.4,,,,0,1.3,,,,1,,,,,,,,,,,,,,,,,,,2.5,,,,0.02,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
岐阜県,大垣市,136,36,0,35,21,10,,井戸,用水,120.6,,,13.9,,,7.3,7.5,,,,,,,,,,,,,,,0,2.4,12.6,,,,,0,0,,,,,,,5.1,,,,0,0.9,,,,,,,,,,,,,,,,,,,,,,,2,,,,0.02,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
岐阜県,大垣市,136,36,0,35,21,10,,井戸,用水,180,,,14,,,7.3,7.4,,,,,,,,,,,,,,,0,1.5,7.2,,,,,0,0,,,,,,,3.7,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,2,,,,0.02,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
岐阜県,大垣市,136,37,0,35,20,20,,井戸,用水,,,,13,,,7.2,7.3,,,,,,,,,,,,,,,0,3.3,9,,,,,0,0,,,,,,,3.4,,,,0,0.4,,,,0,,,,,,,,,,,,,,,,,,,3.5,,,,0.12,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
岐阜県,大垣市,136,36,50,35,20,0,,井戸,用水,113.4,,,13,,,7.3,7.5,,,,,,,,,,,,,,,0,5.5,9.7,,,,,0,0,,,,,,,2.7,,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,,3,,,,0.05,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
