都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
岡山県,高島村雄町,133,58,0,34,41,0,,井戸,用水,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,13.4,,,,,,,,,0,,,,,17.6,,,,,,,,,22,,,,,2.5,,,,,,,1951-09-17 00:00:00,"岡山県南工業用水源地域調査報告,地調月報, 1953"
岡山県,高島町雄町,133,58,0,34,41,0,,井戸,用水,,,,,,,,,,,,,,,,,,,,,,,0.064,,,,,,,,,,,,,,,13.6,,,,,,,,,0,,,,,17.6,,,,,,,,,23.7,,,,,5,,,,,,,1951-09-17 00:00:00,"岡山県南工業用水源地域調査報告,地調月報, 1953"
岡山県,高島村下の原,133,57,0,34,41,50,,井戸,用水,,,,,,,,,,,,,,6000,,5.2,,,,,,,0.013,,,,,,,,,,,,,,0,14.2,,,,,,,,,0,,,,,33,,,,,,,,,27.8,,,,,23,,,,,,,1951-09-17 00:00:00,"岡山県南工業用水源地域調査報告,地調月報, 1953"
岡山県,岡山市浜,133,56,40,34,40,10,,井戸,用水,,,,,,,,,,,,,,6600,,4,,,,,,,0.09,,,,,,,,,,,,,,0.01,8.5,,,,,,,,,2.52,,,,,17.6,,,,,,,,,,,,,,0.5,,,,,,,1951-09-17 00:00:00,"岡山県南工業用水源地域調査報告,地調月報, 1953"
岡山県,岡山市下の町,133,56,20,34,39,40,,井戸,用水,,,,18,1100,,6.65,,,,,,,5700,,9.1,,,,,,,0.103,,,,,,,,,,,,,,,90.6,,,,,,,,,0,,,,,77,,,,,,,,,38.2,,,,,12.5,,,,,,,1951-09-17 00:00:00,"岡山県南工業用水源地域調査報告,地調月報, 1953"
岡山県,岡山市大供,133,55,40,34,39,0,,井戸,用水,,,,17.4,1000,,6.7,,,,,,,8000,,5.1,,,,,,,0.09,,,,,,,,,,,,,,0,159.5,,,,,,,,,5.04,,,,,110,,,,,,,,,28.8,,,,,0,,,,,,,1951-09-17 00:00:00,"岡山県南工業用水源地域調査報告,地調月報, 1953"
岡山県,岡山市藤野町,133,55,40,34,39,0,,井戸,用水,50,,,17.2,,,7,,,,,,,2480,,11.4,,,,,,,0.039,,,,,,,,,,,,,,0,407,,,,,,,,,0,,,,,44,,,,,,,,,30.5,,,,,1.5,,,,,,,1951-09-17 00:00:00,"岡山県南工業用水源地域調査報告,地調月報, 1953"
岡山県,岡山市藤野町,133,55,40,34,39,0,,井戸,用水,32,,,17.2,,,6.6,,,,,,,600,,6.7,,,,,,,0.064,,,,,,,,,,,,,,0,202,,,,,,,,,0,,,,,104,,,,,,,,,36.2,,,,,25,,,,,,,1951-09-17 00:00:00,"岡山県南工業用水源地域調査報告,地調月報, 1953"
岡山県,,133,56,0,34,40,20,,井戸,用水,,,,,,,,,,,,,,,,4.6,,,,,,,0.309,,,,,,,,,,,,,,0.02,167,,,,,,,,,0,,,,,66,,,,,,,,,33.4,,,,,15,,,,,,,1951-09-17 00:00:00,"岡山県南工業用水源地域調査報告,地調月報, 1953"
岡山県,岡山市島田59,133,54,50,34,39,40,,井戸,用水,13,,,20.9,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,43.2,,,,,,,,,11.6,,,,,88,,,,,,,,,30.7,,,,,26,,,,,,,1951-09-17 00:00:00,"岡山県南工業用水源地域調査報告,地調月報, 1953"
