都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
岩手県,盛岡市南方約8km,,,,,,,,井戸,ガス井,,,,,7,,6.2,6.8,,,,,,,,61.8,,,,,,,0.27,16.2,16.6,,,,,,,,,,,,,1.1,,,,,,,,,7,,,,,200,,,,,,,,,,,,,,,,,,,,,,本邦天然ガス鉱床の地質学的研究，地調報告，1956
岩手県,,140,53,20,39,12,40,650,不明,温泉・鉱泉,,,,49,,,6.2,,,,,,,,,,,,690,110,,,,59,348,,,,,,,,,,,,,1340,,,,,,,,,381,,,,,,,,,,,,,,,,,,,,,,,,,ppm,,日本の熱水系の水素，酸素の同位体比と主成分化学について（英文），地球科学ジャーナル，1973
岩手県,,140,46,30,38,58,40,,湧泉,温泉・鉱泉,,,,48.2,,,2.2,,,,,1790,,,,,,,75,17.8,,,21.8,46.8,143.9,,,105.3,3.38,29.4,0.2,,0,0.14,0,,,258.9,0.29,0.25,,,,,,,1162,,,,,,,,,,,,,,117,,5.95,,17.7,,,,,,,,1976-10-01 00:00:00,秋田県小安・泥湯・秋の宮地熱地域の熱水・蒸気凝縮水の溶存化学組成，水素・酸素同位体組成およびトリチウム濃度，地調月報，1979
岩手県,和賀郡和賀町岩崎新田,140,53,20,39,12,40,650,湧泉,温泉・鉱泉,,,,48,17,,7,,,,,2530,,,,,,,205,13,,,0.2,7.65,450,,,0.97,0.48,0.06,,,,,,,0.2,194,0.1,0.2,,,,,,,1210,,,,,204,,,,,,,,,,255.4,15.6,,0.89,36.8,,,,,,mg/kg,1977-09-15 00:00:00,夏油温泉の微量化学成分について，温泉科学，1979
岩手県,和賀郡和賀町岩崎新田,140,53,20,39,12,40,650,井戸,温泉・鉱泉,,,,67,150,,6.9,,,,,2537,,,,,,,215,10.9,,,0.29,5.95,510,,,0.07,0.17,5.3,,,,,,,0.08,163,0.1,0.17,,,,,,,1375,,,,,170,,,,,,,,,,88.4,14.3,,0.45,53.2,,,,,,mg/kg,1978-07-14 00:00:00,夏油温泉の微量化学成分について，温泉科学，1979
岩手県,和賀郡和賀町岩崎新田,140,53,20,39,12,40,650,湧泉,温泉・鉱泉,,,,35,11,,7,,,,,4856,,,,,,,950,160,,,0.1,64.5,430,,,0.04,4.13,0.09,,,,,,,0.45,1923,4.08,1.65,,,,,,,590,,,,,538,,,,,,,,,,125,125,,1.47,125,,,,,,mg/kg,1977-09-15 00:00:00,夏油温泉の微量化学成分について，温泉科学，1979
岩手県,和賀郡和賀町岩崎新田,140,53,20,39,12,40,650,湧泉,温泉・鉱泉,,,,45,4,,6.7,,,,,4578,,,,,,,825,140,,,1.42,53,390,,,0.56,4.71,0.04,,,,,,,0.55,1705,2.8,1.5,,,,,,,560,,,,,483,,,,,,,,,,213.8,109.8,,0.89,139.3,,,,,,mg/kg,1977-09-15 00:00:00,夏油温泉の微量化学成分について，温泉科学，1979
岩手県,和賀郡和賀町岩崎新田,140,53,20,39,12,40,650,湧泉,温泉・鉱泉,,,,52.5,27,,6.6,,,,,4086,,,,,,,760,125,,,1.44,49,360,,,1.06,4.68,0.19,,,,,,,0.45,1526,1.35,2.3,,,,,,,515,,,,,446,,,,,,,,,,221,96,,1.04,146.1,,,,,,mg/kg,1977-09-15 00:00:00,夏油温泉の微量化学成分について，温泉科学，1979
岩手県,和賀郡和賀町岩崎新田,140,53,20,39,12,40,650,湧泉,温泉・鉱泉,,,,53,18,,6.6,,,,,3584,,,,,,,685,118.8,,,0.52,47,320,,,0.47,3.55,0.6,,,,,,,0.4,1353,1.5,1.25,,,,,,,485,,,,,579,,,,,,,,,,227.5,94.6,,1.17,189.4,,,,,,mg/kg,1977-09-15 00:00:00,夏油温泉の微量化学成分について，温泉科学，1979
岩手県,和賀郡和賀町岩崎新田,140,53,20,39,12,40,650,湧泉,温泉・鉱泉,,,,40,8,,6.5,,,,,4456,,,,,,,758,120,,,0.36,53,390,,,0.87,4.42,0.08,,,,,,,0.38,1583,2.2,1.2,,,,,,,625,,,,,470,,,,,,,,,,332.8,106.2,,1.12,174.8,,,,,,mg/kg,1977-09-15 00:00:00,夏油温泉の微量化学成分について，温泉科学，1979
