都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
島根,簸川平野産ガス地,,,,,,,,井戸,ガス井,,,,,800,,7.1,7.5,,,,,,,,,,,,,,,130,412,130,,,,,15,40,,,,,,,5820,,4,,,,,,,,,,,,2040,,,,,,,,,,,,,,,148,,,,,,,"本邦天然ガス鉱床の地質学的研究,地調報告,1956"
島根,,132,33,41.04999999993879,35,8,22.16999999999985,,不明,温泉・鉱泉,,,,18,,,6.7,,,,,,,,,,,,,,,,,137,236,,,,,,,,,,,,,3688,12.2,0.5,,,,,,,469,,,,,1562,,,,,,,,,,,,,,180,,,,,,,,"本邦高鹹泉の温泉地質学的意義,地調月報,1958"
島根,,132,33,41.04999999993879,35,8,22.16999999999985,,不明,温泉・鉱泉,,,,22.1,,,6.8,,,,,,,,,,,,,,,,,113,504,,,,,,,,,,,,,3660,11.7,0.6,,,,,,,326,,,,,1523,,,,,,,,,,,,,,112,,,,,,,,"本邦高鹹泉の温泉地質学的意義,地調月報,1958"
島根,,132,37,45.50999999996748,35,6,57.39000000000658,,不明,温泉・鉱泉,,,,41.4,,,6.4,,,,,,,,,,,,,,,,,60,120,,,,,,,,,,,,,1154,4.4,0.3,,,,,,,15,,,,,369,,,,,,,,,,,,,,66,,,,,,,,"本邦高鹹泉の温泉地質学的意義,地調月報,1958"
島根,,132,34,12.62999999997874,35,5,52.16999999998961,,不明,温泉・鉱泉,,,,31.7,,,7.3,,,,,,,,,,,,,,,,,98,230,,,,,,,,,,,,,4623,16.8,0.4,,,,,,,436,,,,,2580,,,,,,,,,,,,,,92,,,,,,,,"本邦高鹹泉の温泉地質学的意義,地調月報,1958"
島根,,132,38,48.94000000002734,35,4,46.94999999997265,,不明,温泉・鉱泉,,,,34,,,7.1,,,,,,,,,,,,,,,,,45,232,,,,,,,,,,,,,3717,11.9,1.1,,,,,,,383,,,,,2184,,,,,,,,,,,,,,94,,,,,,,,"本邦高鹹泉の温泉地質学的意義,地調月報,1958"
島根,,132,35,47.36000000002605,35,9,20.86000000001889,,湧泉,温泉・鉱泉,,,,38,,,6.7,,,,,,,,,,,,,,,,,82,314,,,,,,,,,,,,,2506,8.3,0.3,,,,,,,252,,,,,1018,,,,,,,,,,,,,,174,,,,,,,,"本邦温泉の地域性について（その２）,地学雑誌,1960"
島根,久部,132,36,51.19999999990341,35,6,44.33999999998548,,不明,温泉・鉱泉,,,,29.5,,,6,,,,,3446,,,,,,,,,,,,75,128,,,,,,,,,,,,,1709,,,,,,,,,42,,,,,641,,,,,,,,,,,,,,193,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
島根,松ケ平,132,38,32.06000000001268,35,7,3.910000000007585,,不明,温泉・鉱泉,,,,23.4,,,6.8,,,,,3022,,,,,,,,,,,,92,141,,,,,,,,,,,,,1316,4.8,0.3,,,,,,,17,,,,,371,,,,,,,,,,,,,,24,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
島根,湯抱源泉,132,34,12.62999999997874,35,5,52.16999999998961,,不明,温泉・鉱泉,,,,27.3,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3171,,,,,,,,,306,,,,,824,,,,,,,,,,,,,,8,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
島根,池田5号,132,33,41.04999999993879,35,9,20.86000000001889,,井戸,温泉・鉱泉,,,,17.5,,,6.7,,,,,4996,,,,,,,,,,,,89,212,,,,,,,,,,,,,2293,,,,,,,,,275,,,,,928,,,,,,,,,,,,,,101,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
島根,小林,132,32,53.67999999997437,35,9,14.33999999999571,,不明,温泉・鉱泉,,,,16.6,,,6.8,,,,,6476,,,,,,,,,,,,120,284,,,,,,,,,,,,,2846,8.5,0.1,,,,,,,605,,,,,1682,,,,,,,,,,,,,,138,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
島根,ちよのゆ,,,,,,,,不明,温泉・鉱泉,,,,65,,,8.1,,,,,,,,,,,,388,13.8,,,,0.9,131,,,,,,,,,,,,,213,,,,,,,,,718,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
島根,,,,,,,,,不明,温泉・鉱泉,,,,38,,,6.5,,,,,,,,,,,,470,50,,,,39,107,,,,,,,,,,,,,839,,,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
島根,,,,,,,,,不明,温泉・鉱泉,,,,33,,,6.6,,,,,,,,,,,,3480,203,,,,92.2,324,,,,,,,,,,,,,4260,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
島根,,,,,,,,,不明,温泉・鉱泉,,,,15,,,6,,,,,,,,,,,,2290,219,,,,149,345,,,,,,,,,,,,,3440,,,,,,,,,468,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
島根,,,,,,,,,不明,温泉・鉱泉,,,,50,,,6.2,,,,,,,,,,,,1900,74.9,,,,83.2,454,,,,,,,,,,,,,2830,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
島根,御前湯,132,12,10,34,56,10,,不明,温泉・鉱泉,,,,49,,,8.9,,,,,,,,,,,0.045,75,1.68,,,,0,3.1,,,,0.01,,,0.01,,,,,,68.4,0.17,0.004,,,,,,,22.6,,,,,84.21,,,,,,,,,59.5,,0.2,,0,0,,,,,,,1966-07-14 00:00:00,"島根県温泉の化学,温泉科学,1977"
島根,弥生湯,132,12,10,34,56,10,,不明,温泉・鉱泉,,,,43.1,,,8.7,,,,,,,,,,,0.059,74.6,2.2,,,,0,3.7,,,,0.01,,,0.02,,,,,,64,0.17,0.003,,,,,,,19.3,,,,,84.21,,,,,,,,,58.5,,0.2,,0,0,,,,,,,1966-07-14 00:00:00,"島根県温泉の化学,温泉科学,1977"
島根,No.8,132,12,10,34,56,10,,不明,温泉・鉱泉,,,,30,,,7.9,,,,,,,,,,,0.08,103,3.42,,,,0.4,17.2,,,,,,,0.03,,,,,,135,0.37,0.01,,,,,,,17.3,,,,,76.89,,,,,,,,,,,0.9,,0,0,,,,,,,1966-07-14 00:00:00,"島根県温泉の化学,温泉科学,1977"
島根,元湯,132,21,10,35,5,30,,不明,温泉・鉱泉,,,,51,,,6.2,,,,,,,,,,,2.17,1990,70,,,,104,452,,,,0.44,,,3.5,,,,,,2912,8.65,0.05,,,,,,,999,,,,,943.4,,,,,,,,,94.5,,43,,0.2,752,,,,,,,1966-07-13 00:00:00,"島根県温泉の化学,温泉科学,1977"
島根,震湯,132,21,10,35,5,30,,不明,温泉・鉱泉,,,,47.7,,,6.1,,,,,,,,,,,2.15,1910,69.5,,,,80.4,501,,,,0.44,,,3.9,,,,,,2827,8.39,0,,,,,,,942,,,,,939.7,,,,,,,,,94.5,,41.5,,0.4,841,,,,,,,1966-07-14 00:00:00,"島根県温泉の化学,温泉科学,1977"
島根,小浜,132,21,10,35,5,30,,不明,温泉・鉱泉,,,,32,,,6.1,,,,,,,,,,,2.03,1810,68,,,,44.7,519,,,,0.44,,,4,,,,,,2696,7.94,0.05,,,,,,,915,,,,,921.4,,,,,,,,,90.1,,40,,0,936,,,,,,,1966-07-14 00:00:00,"島根県温泉の化学,温泉科学,1977"
島根,,132,24,40,35,8,20,,不明,温泉・鉱泉,,,,29.3,,,7.7,,,,,,,,,,,,470,19,,,,3.4,17,,,,0.06,,,0,,,,,,462,,,,,,,,,190,,,,,459.5,,,,,,,,,34,,9,,0,5,,,,,,,1977-03-21 00:00:00,"島根県温泉の化学,温泉科学,1977"
島根,No.1,132,34,20,35,5,40,,不明,温泉・鉱泉,,,,35.1,,,6.5,,,,,,,,,,,5.36,3850,201,,,,65.2,379,,,,2.32,,,5.6,,,,,,4637,14.8,0.6,,,,,,,418,,,,,2122,,,,,,,,,50,,86.6,,0,1360,,,,,,,1966-07-15 00:00:00,"島根県温泉の化学,温泉科学,1977"
