都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
徳島県,,133,48,53,33,55,7,,湧泉,温泉・鉱泉,,,,36,,,8,,,,,,,,,,,,79,13,,,,0,3,,,,,,,,,,,,,36,,,,,,,,,0,,,,,95,29,,,,,,,,,,,,,,,,,,,,,"本邦温泉の地域性について（その２）,地学雑誌,1960"
徳島県,麻植郡鴨島町大北町甲の１,,,,,,,,井戸,観測井,150,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.2,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971,"徳島県上坂・麻名地区地下水利用適正化調査報告,工業用水,1973"
徳島県,板野郡吉野町西条吉野小学校,,,,,,,,井戸,観測井,150,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.09,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971,"徳島県上坂・麻名地区地下水利用適正化調査報告,工業用水,1973"
徳島県,名西郡石井町藍畑小学校,,,,,,,,井戸,観測井,150,,,,,,7.32,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.64,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971,"徳島県上坂・麻名地区地下水利用適正化調査報告,工業用水,1973"
徳島県,板野郡上板西分上板町教育集会場,,,,,,,,井戸,観測井,150,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,0.09,,,0.02,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971,"徳島県上坂・麻名地区地下水利用適正化調査報告,工業用水,1973"
徳島県,,134,1,50,33,51,10,,湧泉,地すべり湧水,,,,9.2,,,7.1,,,,,,,,,,,,1.2,0.6,,,,1.9,7.8,,,,,,,,,,,,,0.7,,,,,,,,,2.5,,,,,32.7,,,,,,,,,9.7,,,,,,,,,,,,,"地質的環境のことなる地すべり地の水質特性について,京大防災研究所年報,1973"
徳島県,,134,1,50,33,51,10,,湧泉,地すべり湧水,,,,13,3,,6.8,,,,,,,,,,,,0.8,0.3,,,,1.4,3.3,,,,,,,,,,,,,0.3,,,,,,,,,0,,,,,19.3,,,,,,,,,9.8,,,,,,,,,,,,1972-08-08 00:00:00,"地質的環境のことなる地すべり地の水質特性について,京大防災研究所年報,1973"
徳島県,,134,1,50,33,51,10,,湧泉,地すべり湧水,,,,9,35,,7.1,,,,,,,,,,,,1,0.5,,,,2.3,7,,,,,,,,,,,,,0.6,,,,,,,,,2,,,,,33,,,,,,,,,13.1,,,,,,,,,,,,1972-08-08 00:00:00,"地質的環境のことなる地すべり地の水質特性について,京大防災研究所年報,1973"
徳島県,,134,1,50,33,51,10,,湧泉,地すべり湧水,,,,9.7,,,7.4,,,,,,,,,,,,1.1,0.6,,,,1.9,7,,,,,,,,,,,,,0.7,,,,,,,,,2.2,,,,,30.4,,,,,,,,,10.8,,,,,,,,,,,,1972-08-08 00:00:00,"地質的環境のことなる地すべり地の水質特性について,京大防災研究所年報,1973"
徳島県,,134,1,50,33,51,10,,湧泉,地すべり湧水,,,,10,10,,7.7,,,,,,,,,,,,1.4,0.8,,,,3.2,14.6,,,,,,,,,,,,,1.1,,,,,,,,,2.8,,,,,58.9,,,,,,,,,9.8,,,,,,,,,,,,1972-08-08 00:00:00,"地質的環境のことなる地すべり地の水質特性について,京大防災研究所年報,1973"
徳島県,,134,1,50,33,51,10,,湧泉,地すべり湧水,,,,10,,,7.5,,,,,,,,,,,,1.1,0.6,,,,2.1,8.9,,,,,,,,,,,,,1,,,,,,,,,2,,,,,37.4,,,,,,,,,9.4,,,,,,,,,,,,1972-08-08 00:00:00,"地質的環境のことなる地すべり地の水質特性について,京大防災研究所年報,1973"
