都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ－Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ－,Ｃｌ－,Ｂｒ－,I－,OH－,ＮＯ２－,ＮＯ３－,ＨＳ－,Ｓ２Ｏ３2－,ＨＳＯ４－,ＳＯ４２－,ＳＯ３２－,Ｈ２ＰＯ４－,ＨＰＯ４２－,ＰＯ４３－,ＨＣＯ３－,ＣＯ３２－,ＨＳｉＯ３－,ＳｉＯ３２－,ＢＯ２－,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ－ＣＯ２,Ｔ－Ａｓ,Ｔ－Ｈｇ,Ｔ－Ｐ,Ｔ－Ｂ,単位,調査日,文献名
愛媛,今治市四村,,,,,,,,井戸,用水,,,,10.5,,,6.5,7.2,,,,,,12750,,5.6,,,,,,,0.2,2.1,16,,,,,0,0,,,,,,,6.3,,,,0,,,,,11,,,,,,,,,,,,,,10,,,6.11,,8.8,,,,0,,,1976-01-29 00:00:00,"愛媛県燧灘沿岸工業水源調査報告,地調月報,1956"
愛媛,今治市中寺,,,,,,,,井戸,用水,,,,6.9,,,6.8,7.1,,,,,,19000,,3.4,,,,,,,0,2.3,14.4,,,,,0,0,,,,,,,5.4,,,,0,,,,,6,,,,,,,,,,,,,,4,,,,,3.3,,,,0,,,1976-01-29 00:00:00,"愛媛県燧灘沿岸工業水源調査報告,地調月報,1956"
愛媛,今治市中寺,,,,,,,,湧泉,用水,,,,16.4,,,6.5,7.2,,,,,,14250,,2.5,,,,,,,0,2.2,12.2,,,,,0,0.1,,,,,,,4.6,,,,0,,,,,8,,,,,,,,,,,,,,10,,,6.25,,6.6,,,,0,,,1976-01-29 00:00:00,"愛媛県燧灘沿岸工業水源調査報告,地調月報,1956"
愛媛,今治市畑地,,,,,,,,井戸,用水,,,,14.8,,,6.4,7.3,,,,,,8400,,2.6,,,,,,,0.1,5.4,17.3,,,,,0.13,0.15,,,,,,,7.1,,,,0.01,,,,,11,,,,,,,,,,,,,,10,,,2.81,,11,,,,0,,,1976-01-29 00:00:00,"愛媛県燧灘沿岸工業水源調査報告,地調月報,1956"
愛媛,今治市,,,,,,,,井戸,用水,,,,10,,,6.7,7.1,,,,,,13000,,3.7,,,,,,,0,2.7,13.9,,,,,0,0,,,,,,,6.2,,,,0,,,,,7,,,,,,,,,,,,,,5,,,6.44,,4.4,,,,0,,,1976-01-29 00:00:00,"愛媛県燧灘沿岸工業水源調査報告,地調月報,1956"
愛媛,今治市,,,,,,,,井戸,用水,3.8,,,,,,6.4,6.7,,,,,,8000,,,,,,,,,,5.9,18.1,,,,,,,,,,,,,9.1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,1976-01-29 00:00:00,"愛媛県燧灘沿岸工業水源調査報告,地調月報,1956"
愛媛,今治市,,,,,,,,井戸,用水,3,,,,,,6.3,6.6,,,,,,5700,,,,,,,,,,5.2,16.1,,,,,,,,,,,,,9.7,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,1976-01-29 00:00:00,"愛媛県燧灘沿岸工業水源調査報告,地調月報,1956"
愛媛,今治市,,,,,,,,井戸,用水,3.6,,,,,,6.4,6.8,,,,,,7800,,,,,,,,,,6.2,17.5,,,,,,,,,,,,,9.3,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,1976-01-29 00:00:00,"愛媛県燧灘沿岸工業水源調査報告,地調月報,1956"
愛媛,今治市,,,,,,,,井戸,用水,5.2,,,,,,6.4,6.7,,,,,,5800,,,,,,,,,,7.2,21.1,,,,,,,,,,,,,15.8,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,1976-01-29 00:00:00,"愛媛県燧灘沿岸工業水源調査報告,地調月報,1956"
愛媛,今治市,,,,,,,,井戸,用水,9.6,,,,,,6.4,6.7,,,,,,7700,,,,,,,,,,6.7,15.9,,,,,,,,,,,,,12,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,1976-01-29 00:00:00,"愛媛県燧灘沿岸工業水源調査報告,地調月報,1956"
愛媛,今治市,,,,,,,,井戸,用水,5.2,,,,,,6.5,6.7,,,,,,4500,,,,,,,,,,7.1,29.6,,,,,,,,,,,,,26.1,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,1976-01-29 00:00:00,"愛媛県燧灘沿岸工業水源調査報告,地調月報,1956"
