都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
愛知県,木曾川町,136,46,30,35,20,50,,井戸,用水,90,,,17.1,,,7.2,7.3,,,,,,,,,,,,,,,0,2.3,5.4,,,,,0,0,,,,,,,4.3,,,,0,1.6,,,,2,,,,,,,,,,,,,,,,,,,2,,,,0.24,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
愛知県,木曾川町,136,46,30,35,20,50,,井戸,用水,28.8,,,16.4,,,7.1,7.5,,,,,,,,,,,,,,,0,3.5,9.8,,,,,0.07,0.01,,,,,,,4.5,,,,0.01,2.2,,,,11,,,,,,,,,,,,,,,,,,,3,,,,0.14,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
愛知県,一宮市,136,48,50,35,19,30,,井戸,用水,30.6,,,16.8,,,7.3,7.4,,,,,,,,,,,,,,,0,5.3,6.4,,,,,0,0,,,,,,,3.8,,,,0.01,1.9,,,,8,,,,,,,,,,,,,,,,,,,2,,,,0.13,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
愛知県,一宮市,136,48,0,35,18,40,,井戸,用水,79.2,,,20,,,7.3,7.4,,,,,,,,,,,,,,,0,3.3,6.2,,,,,0,0,,,,,,,6.5,,,,0,2.5,,,,5,,,,,,,,,,,,,,,,,,,2,,,,0.18,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
愛知県,一宮市,136,49,30,35,18,30,,井戸,用水,30.6,,,16,,,6.1,6.9,,,,,,,,,,,,,,,0,8.1,24.6,,,,,0,0,,,,,,,16.9,,,,0.02,14.4,,,,38,,,,,,,,,,,,,,,,,,,22.8,,,,0.02,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
愛知県,一宮市,136,49,30,35,18,30,,井戸,用水,82.8,,,17.2,,,7.2,7.4,,,,,,,,,,,,,,,0,2.8,5.8,,,,,0,0,,,,,,,7.7,,,,0.01,24.5,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,0.26,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
愛知県,起町,136,44,50,35,18,20,,井戸,用水,180,,,15.7,,,7.1,7.4,,,,,,,,,,,,,,,0,15.7,4.3,,,,,0.1,0.02,,,,,,,7,,,,0,0,,,,10,,,,,,,,,,,,,,,,,,,3.5,,,,0.31,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
愛知県,津島市,136,44,0,35,10,40,,井戸,用水,234,,,21.8,,,7.3,7.6,,,,,,,,,,,,,,,0.1,5.9,16,,,,,0,0.01,,,,,,,3.4,,,,0,0.2,,,,2,,,,,,,,,,,,,,,,,,,2.5,,,,2.62,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
愛知県,津島市,136,43,30,35,10,30,,井戸,用水,234,,,22.6,,,7.4,7.6,,,,,,,,,,,,,,,0.2,7,11.9,,,,,0,0.03,,,,,,,3.3,,,,0,0.4,,,,2,,,,,,,,,,,,,,,,,,,3,,,,4.75,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
愛知県,津島市,136,45,10,35,10,10,,井戸,用水,59.4,,,18.5,,,7.3,7.5,,,,,,,,,,,,,,,0.4,5,0.4,,,,,0.01,0.01,,,,,,,10.8,,,,0,0.4,,,,1,,,,,,,,,,,,,,,,,,,5,,,,16.88,,,1953-07-01 00:00:00,"濃尾平野工業用水源地域調査報告,地調月報, 1954"
