都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
新潟県,西山油田湯の入地区,,,,,,,,井戸,油井,434.5,,21,21.5,,,6.7,7.9,,,,,,,,,,,,,,,13.8,,,,,,,19.44,1.39,20.83,,,,,,6750,,,,0,0,,,,,,,,,17.2,0,,,,,,,,,,,0.7,,154,1380,,,0.02,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,西山油田湯の入地区,,,,,,,,井戸,油井,662.7,,21,28.5,,,7.3,7.6,,,,,,,,,,,,,,,28.4,,,,,,,13.22,3.23,16.45,,,,,,15790,,,,0,0,,,,,,,,,579,0,,,,,,,,,,,0.38,,60.5,479,,,0.02,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,西山油田湯の入地区,,,,,,,,井戸,油井,232.4,,21,18.3,,,6.9,7.3,,,,,,,,,,,,,,,21.7,,,,,,,25,3.57,28.57,,,,,,7090,,,,0,0,,,,,,,,,1050,0,,,,,,,,,,,0.65,,198,956,,,0.08,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,西山油田湯の入地区,,,,,,,,井戸,油井,352.7,,21,22.1,,,6.5,7.5,,,,,,,,,,,,,,,22.5,,,,,,,27.5,1.35,28.85,,,,,,12980,,,,0,0,,,,,,,,,1950,0,,,,,,,,,,,0.41,,434,1840,,,0.08,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,西山油田湯の入地区,,,,,,,,井戸,油井,1400,,21,21.5,,,7.3,7.8,,,,,,,,,,,,,,,18.2,,,,,,,17.5,2.14,19.64,,,,,,6800,,,,0,0,,,,,,,,,2250,0,,,,,,,,,,,0.001,,44,1660,,,0.08,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,西山油田別山地区,,,,,,,,井戸,油井,1640,,22.5,,,,7.1,7.7,,,,,,,,,,,,,,,20.9,,,,,,,18.42,,12.5,,,,,,7002,,,,0,0,,,,,,,,,3010,0,,,,,,,,,,,0.61,,4.8,2180,,,0.02,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,西山油田別山地区,,,,,,,,井戸,油井,1670,,19,15.6,,,7.3,7.4,,,,,,,,,,,,,,,13.2,,,,,,,26.92,1.08,28,,,,,,7852,,,,0,0,,,,,,,,,4440,0,,,,,,,,,,,0.52,,16.1,3220,,,0,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,西山油田別山地区,,,,,,,,井戸,油井,1575,,19,,,,7.3,7.3,,,,,,,,,,,,,,,14.1,,,,,,,5.47,0.24,5.71,,,,,,5791,,,,0,0,,,,,,,,,2650,0,,,,,,,,,,,,,1.1,1200,,,0,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,西山油田別山地区,,,,,,,,井戸,油井,1530,,19,,,,7.9,8.2,,,,,,,,,,,,,,,19,,,,,,,1.48,5.78,7.27,,,,,,6514,,,,0,0,,,,,,,,,2950,0,,,,,,,,,,,1.07,,2.4,2110,,,0.02,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,西山油田別山地区,,,,,,,,井戸,油井,1517,,19,,,,7.8,7.8,,,,,,,,,,,,,,,18.5,,,,,,,,,14.7,,,,,,7094,,,,,,,,,,,,,,2920,0,,,,,,,,,,,,,2.4,2100,,,,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
