都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
東京都,南関東ガス田,,,,,,,,井戸,ガス井,,,,,720,,7.7,8.1,,,,,,,,127,,,,,,,71,152,126,,,,,2.5,0.3,,,,,,,9716,,18,,,,,,,0,,,,,1160,,,,,,,,,,,,,,29,,,,,,,,"本邦天然ガス鉱床の地質学的研究,地調報告,1956"
東京都,江東．都北地区,,,,,,,,井戸,用水,55,,,15.3,,,7.2,7.4,,,,,,6000,,2.1,,,14.2,3.8,,,0,7,17.9,,,,,0,0.01,,,,,,,24.9,,,,0,,,,,0,,,,,79.9,,,,,,,,,9.6,,,2.65,,2.1,,,,0.08,,,1957-06-16 00:00:00,"荒川および江戸川下流工業用水源地域調査報告,地調月報,1958"
東京都,江東．都北地区,,,,,,,,井戸,用水,136,,,16.6,,,7.9,7.9,,,,,,9800,,11.8,,,8.4,2.5,,,0.1,2.9,13.5,,,,,0,0.1,,,,,,,4.3,,,,0,,,,,0,,,,,75,,,,,,,,,20.8,,,,,0.5,,,,0.06,,,1957-06-16 00:00:00,"荒川および江戸川下流工業用水源地域調査報告,地調月報,1958"
東京都,江東．都北地区,,,,,,,,井戸,用水,91,,,16.3,,,7.6,7.7,,,,,,8000,,9.9,,,17.7,3.4,,,0.2,4.5,10.9,,,,,0,0.03,,,,,,,7.1,,,,0,,,,,0,,,,,91.5,,,,,,,,,15.2,,,,,0.5,,,,0.15,,,1957-06-16 00:00:00,"荒川および江戸川下流工業用水源地域調査報告,地調月報,1958"
東京都,江東．都北地区,,,,,,,,井戸,用水,76,,,16,,,7.5,7.7,,,,,,7600,,3.2,,,17,4.3,,,0,4,10,,,,,0,0.05,,,,,,,7.7,,,,0,,,,,3,,,,,98.5,,,,,,,,,24.8,,,0.82,,0.5,,,,0.15,,,1957-06-16 00:00:00,"荒川および江戸川下流工業用水源地域調査報告,地調月報,1958"
東京都,江東．都北地区,,,,,,,,井戸,用水,,,,16,,,7.4,7.5,,,,,,,,3.4,,,6.9,2.6,,,0.2,4.9,13.2,,,,,0.02,0.04,,,,,,,13.1,,,,0,,,,,1,,,,,67.1,,,,,,,,,34.8,,,5.57,,1,,,,0.07,,,1957-06-16 00:00:00,"荒川および江戸川下流工業用水源地域調査報告,地調月報,1958"
東京都,江東．都北地区,,,,,,,,井戸,用水,,,,,,,8,8,,,,,,,,3.9,,,7.8,3.1,,,0.6,2.9,16.8,,,,,0,0.05,,,,,,,4.3,,,,0,,,,,1,,,,,91.5,,,,,,,,,27.6,,,,,0,,,,0.07,,,1957-06-16 00:00:00,"荒川および江戸川下流工業用水源地域調査報告,地調月報,1958"
東京都,江東．都北地区,,,,,,,,井戸,用水,,,,15.4,,,7.3,7.5,,,,,,6700,,7.2,,,7.9,2.1,,,0.3,5.1,13.8,,,,,0,0.05,,,,,,,9.2,,,,0,,,,,1,,,,,73.2,,,,,,,,,26.8,,,6.54,,0.8,,,,0.07,,,1957-06-16 00:00:00,"荒川および江戸川下流工業用水源地域調査報告,地調月報,1958"
東京都,江東．都北地区,,,,,,,,井戸,用水,,,,16.6,,,7.4,7.6,,,,,,9800,,1.4,,,10.2,2.3,,,0.3,4.6,14.8,,,,,0,0.01,,,,,,,8.2,,,,0.01,,,,,1,,,,,76.3,,,,,,,,,31.2,,,2.23,,0.8,,,,0.1,,,1957-06-16 00:00:00,"荒川および江戸川下流工業用水源地域調査報告,地調月報,1958"
東京都,江東．都北地区,,,,,,,,井戸,用水,,,,16.2,,,7.4,7.6,,,,,,,,3.3,,,9.9,3,,,0.2,5.3,17.8,,,,,0.08,0.08,,,,,,,12.8,,,,0,,,,,1,,,,,84.2,,,,,,,,,35.2,,,3.77,,1.3,,,,0.08,,,1957-06-16 00:00:00,"荒川および江戸川下流工業用水源地域調査報告,地調月報,1958"
