都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(m),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(ﾏｯﾍ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na＋,Ｋ＋,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
栃木県,No.1,,,,,,,,不明,温泉・鉱泉,,,,46.2,314.5,,7.4,,,,,851,,,,,,,169.4,8.6,,,,2.9,40.6,,,,,,,,,,,,,129.9,,,,,,,,,51.8,,,,,317.3,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.2,,,,,,,,不明,温泉・鉱泉,,,,45,186.8,,7.2,,,,,961,,,,,,,192.4,9.4,,,,3.3,42.9,,,,,,,,,,,,,146.1,,,,,,,,,60,,,,,379.1,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.3,,,,,,,,不明,温泉・鉱泉,,,,45.6,92.5,,7.2,,,,,1255,,,,,,,230.8,12.9,,,,18.7,69.8,,,,,,,,,,,,,330.2,,,,,,,,,45.2,,,,,394.3,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.4,,,,,,,,不明,温泉・鉱泉,,,,44.3,106.5,,6.8,,,,,1031,,,,,,,218.4,17.9,,,,9.4,50.8,,,,,,,,,,,,,316.2,,,,,,,,,70.7,,,,,288.1,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.5,,,,,,,,不明,温泉・鉱泉,,,,72,99.5,,6.3,,,,,1712,,,,,,,316,31.2,,,,30,114.8,,,,,,,,,,,,,538.6,,,,,,,,,46,,,,,410.6,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.6,,,,,,,,不明,温泉・鉱泉,,,,65.1,39.9,,6.5,,,,,1565,,,,,,,284,27.2,,,,23.7,101.1,,,,,,,,,,,,,444.5,,,,,,,,,36.2,,,,,455.4,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.7,,,,,,,,不明,温泉・鉱泉,,,,68,40.1,,6.5,,,,,1712,,,,,,,351,33.1,,,,28.3,102.8,,,,,,,,,,,,,626.4,,,,,,,,,37.8,,,,,325.8,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.8,,,,,,,,不明,温泉・鉱泉,,,,67.5,79.2,,6.4,,,,,1767,,,,,,,327,30.2,,,,29.8,119.1,,,,,,,,,,,,,553.9,,,,,,,,,40.3,,,,,427.7,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.9,,,,,,,,不明,温泉・鉱泉,,,,61.5,42,,6.6,,,,,1525,,,,,,,307.5,26.1,,,,18.5,70,,,,,,,,,,,,,439.3,,,,,,,,,53.4,,,,,371.5,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.10,,,,,,,,不明,温泉・鉱泉,,,,53.7,46.2,,6.5,,,,,1430,,,,,,,225,27.6,,,,25.2,97.7,,,,,,,,,,,,,376.7,,,,,,,,,29.7,,,,,400.2,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.11,,,,,,,,不明,温泉・鉱泉,,,,53.2,33.3,,6.7,,,,,1178,,,,,,,164,23.2,,,,23.6,83.4,,,,,,,,,,,,,244.1,,,,,,,,,19.7,,,,,434.3,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.12,,,,,,,,不明,温泉・鉱泉,,,,44.1,52.7,,6.6,,,,,1041,,,,,,,154.8,22.7,,,,19.1,81.5,,,,,,,,,,,,,252.2,,,,,,,,,18.9,,,,,327,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.13,,,,,,,,不明,温泉・鉱泉,,,,50,26.5,,7.6,,,,,1177,,,,,,,168.4,21.7,,,,21.8,96.2,,,,,,,,,,,,,224.6,,,,,,,,,48.5,,,,,417.9,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.14,,,,,,,,不明,温泉・鉱泉,,,,65.5,129.6,,6.6,,,,,1629,,,,,,,298,27.2,,,,21.5,78.2,,,,,,,,,,,,,422.6,,,,,,,,,39.5,,,,,466.6,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.15,,,,,,,,不明,温泉・鉱泉,,,,66.4,33.5,,6.6,,,,,1711,,,,,,,316,30.8,,,,25,94.2,,,,,,,,,,,,,488,,,,,,,,,43.6,,,,,475.8,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.1,,,,,,,,不明,温泉・鉱泉,,,,38.5,681.8,,6.1,,,,,1557,,,,,,,342.6,19.7,,,,12.2,102,,,,,,,,,,,,,465.7,,,,,,,,,107,,,,,346.5,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.2,,,,,,,,不明,温泉・鉱泉,,,,31.6,22.9,,6.3,,,,,885,,,,,,,192.1,12.5,,,,3,64.7,,,,,,,,,,,,,247.4,,,,,,,,,92.2,,,,,209.3,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.3,,,,,,,,不明,温泉・鉱泉,,,,51.6,119.3,,7.2,,,,,1694,,,,,,,383.5,24.7,,,,6.8,99.9,,,,,,,,,,,,,506.8,,,,,,,,,128.4,,,,,398,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.4,,,,,,,,不明,温泉・鉱泉,,,,53.9,27.3,,6.1,,,,,1792,,,,,,,432.1,28.3,,,,5.9,124.5,,,,,,,,,,,,,567.7,,,,,,,,,152.3,,,,,345.3,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.5,,,,,,,,不明,温泉・鉱泉,,,,49.1,6.9,,6.9,,,,,1429,,,,,,,283.1,13.7,,,,2.7,81.3,,,,,,,,,,,,,256.6,,,,,,,,,161.3,,,,,512.2,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.1,,,,,,,,不明,温泉・鉱泉,,,,54,4.1,,6.5,,,,,3048,,,,,,,720,40.2,,,,18.2,108.2,,,,,,,,,,,,,926.2,,,,,,,,,107,,,,,794.3,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.2,,,,,,,,不明,温泉・鉱泉,,,,42.1,4,,6.7,,,,,2184,,,,,,,536,30.6,,,,14.7,92.6,,,,,,,,,,,,,677,,,,,,,,,79,,,,,525.2,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
