都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
沖縄県,沖縄本島,,,,,,,,湧泉,用水,,,,22,,,7.1,,,,,,906,,,0.3,,,,,,,,9.5,104.5,,,,,,,0,,,,,,57.6,,,,,,,,,19.2,,,,,294,,,,,,,,,,,,,,,,,,,,,1964-03-01 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,沖縄本島,,,,,,,,井戸,用水,,,,21.5,,,7.4,,,,,,632,,,1.5,,,,,,,,3.5,68.9,,,,,,,0,,,,,,48.4,,,,,,,,,19.2,,,,,184,,,,,,,,,,,,,,,,,,,,,1964-03-01 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,沖縄本島,,,,,,,,井戸,用水,,,,20.8,,,7.4,,,,,,864,,,0.1,,,,,,,,2,82.5,,,,,,,0,,,,,,57.2,,,,,,,,,57.6,,,,,213,,,,,,,,,,,,,,,,,,,,,1964-03-01 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,沖縄本島,,,,,,,,湧泉,用水,,,,20.5,,,6.9,,,,,,792,,,1.2,,,,,,,,2.9,102.1,,,,,,,0,,,,,,50.6,,,,,,,,,9.6,,,,,265,,,,,,,,,,,,,,,,,,,,,1964-03-02 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,渡名喜島,,,,,,,,井戸,用水,,,,,,,,,,,,,1141,,,1.8,,,,,,,,13.8,82.9,,,,,,,0.1,,,,,,68,,,,,,,,,0,,,,,255,,,,,,,,,,,,,,,,,,,,,1964-09-11 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,渡名喜島,,,,,,,,井戸,用水,,,,,,,,,,,,,564,,,3.7,,,,,,,,24.2,95.3,,,,,,,0.06,,,,,,144,,,,,,,,,50,,,,,322,,,,,,,,,,,,,,,,,,,,,1964-09-11 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,渡名喜島,,,,,,,,井戸,用水,,,,,,,,,,,,,1680,,,2.4,,,,,,,,33.5,115.7,,,,,,,0.06,,,,,,237,,,,,,,,,100,,,,,399,,,,,,,,,,,,,,,,,,,,,1964-09-11 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,井戸,用水,,,,25.2,,,6.8,,,,,,3759,,,7.2,,,,,,,,108.4,138.9,,,,,,,0.06,,,,,,944,,,,,,,,,150,,,,,723,,,,,,,,,7.4,,,,,,,,,,,,1964-09-06 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,井戸,用水,,,,24.5,,,7,,,,,,1036,,,1.2,,,,,,,,5.2,107.7,,,,,,,0.06,,,,,,133,,,,,,,,,75,,,,,287,,,,,,,,,5.6,,,,,,,,,,,,1964-09-06 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,井戸,用水,,,,26.5,,,6.8,,,,,,2799,,,2.1,,,,,,,,44.1,75.3,,,,,,,0.06,,,,,,235,,,,,,,,,50,,,,,341,,,,,,,,,10,,,,,,,,,,,,1964-09-06 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,湧泉,用水,,,,24.3,,,7,,,,,,500,,,0.8,,,,,,,,3.2,81.3,,,,,,,0.56,,,,,,43.9,,,,,,,,,10,,,,,214,,,,,,,,,2.4,,,,,,,,,,,,1964-09-06 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,井戸,用水,,,,25.8,,,7.2,,,,,,457,,,3,,,,,,,,1.2,75.3,,,,,,,0.06,,,,,,32.2,,,,,,,,,20,,,,,192,,,,,,,,,4.1,,,,,,,,,,,,1964-09-07 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,井戸,用水,,,,23.6,,,7.2,,,,,,461,,,1,,,,,,,,4.3,66.9,,,,,,,0.06,,,,,,41.3,,,,,,,,,0,,,,,182,,,,,,,,,3.2,,,,,,,,,,,,1964-09-07 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,湧泉,用水,,,,24,,,7,,,,,,549,,,2.2,,,,,,,,26.8,50.4,,,,,,,0,,,,,,65.1,,,,,,,,,0,,,,,219,,,,,,,,,3.4,,,,,,,,,,,,1964-09-07 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,井戸,用水,,,,23.6,,,7.2,,,,,,428,,,1.9,,,,,,,,1.4,63.3,,,,,,,0,,,,,,38.4,,,,,,,,,0,,,,,163,,,,,,,,,3,,,,,,,,,,,,1964-09-07 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,井戸,用水,,,,22.5,,,7.2,,,,,,479,,,1.9,,,,,,,,11.8,58.5,,,,,,,0.11,,,,,,42,,,,,,,,,10,,,,,187,,,,,,,,,2.4,,,,,,,,,,,,1964-09-07 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
