都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ－Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ－,Ｃｌ－,Ｂｒ－,I－,OH－,ＮＯ２－,ＮＯ３－,ＨＳ－,Ｓ２Ｏ３2－,ＨＳＯ４－,ＳＯ４２－,ＳＯ３２－,Ｈ２ＰＯ４－,ＨＰＯ４２－,ＰＯ４３－,ＨＣＯ３－,ＣＯ３２－,ＨＳｉＯ３－,ＳｉＯ３２－,ＢＯ２－,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ－ＣＯ２,Ｔ－Ａｓ,Ｔ－Ｈｇ,Ｔ－Ｐ,Ｔ－Ｂ,単位,調査日,文献名
滋賀,琵琶湖産ガス地,,,,,,,,井戸,ガス井,70,,,,,,6.6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,"本邦天然ガス鉱床の地質学的研究,地調報告,1956"
滋賀,甲賀郡信楽町大字黄瀬1597,,,,,,,,不明,温泉・鉱泉,,,27,16,2.3,微白濁を呈し無臭微に塩味を有する,7.5,,,1.0005,,1799,,,,,,,466.9,79.09,,,1.019,1.269,13.44,,,,,0.631,,,,,,,10.5,264.6,,,0.017,,,,,,14.14,,,,,906.2,0.54,,,,,,,,,,,,,,,,,,,,1956,"滋賀県温泉の泉質について（第２報）,滋賀衛研所報,1960"
滋賀,大津市石山平津町591番の1,,,,,,,,不明,温泉・鉱泉,,,11,14,460,微白濁を呈し無味無臭である,7,,,0.9986,,97.57,,,,,,,5.351,3.463,,,,3.465,3.655,,,,,0.641,,,,,,,0.601,4.006,,,,,,,,,9.631,,,,,28.44,0.012,,,,,,,,,,,,,,,,,,,,1956,"滋賀県温泉の泉質について（第２報）,滋賀衛研所報,1960"
滋賀,大津市雄琴苗鹿町字蛇ヶ池1062,135,54,10,35,5,50,,不明,温泉・鉱泉,,,20,19.5,12.5,ほとんど無色透明で微に異常の臭味を呈する,9.4,,,0.9971,,299,,,,,,,101.9,0.436,,,0.325,0.175,1.95,,,,,,,,,,,,23.25,6.545,,,1.7,,,,,,0.747,,,,,130.8,25.02,,,,,,,,,,,,,,,,,,,,1956,"滋賀県温泉の泉質について（第２報）,滋賀衛研所報,1960"
滋賀,守山市今浜町2620-41,135,57,22,35,4,34,,井戸,温泉・鉱泉,900,,5.3,28.1,78,,7.1,,,0.9968,,584,,,,,,,166.4,6.196,,,7.857,5.438,24.49,,,0.008,0.369,6.745,,,,,,,0.221,138.1,,,0.002,,,,,,5.277,,,,,326.3,0.24,,,,,,,,,,0.364,,,62.77,,,,,,,1973.4.10.,"滋賀県の温泉（泉質）について（第５報）,滋賀県衛公研所報1,1073"
滋賀,,,,,,,,,湧泉,地すべり湧水,,,,15.2,,,5.8,,,,,,,,,,,,7.5,,,,,2.5,6.1,,,,,,,,,,,,,2.8,,,,,,,,,2.2,,,,,44.2,,,,,,,,,32,,,,,,,,,,,,1972-10-12 00:00:00,"地質的環境のことなる地すべり地の水質特性について,京大防災研究所年報,1973"
滋賀,,,,,,,,,湧泉,地すべり湧水,,,,16,,,6.2,,,,,,,,,,,,9.5,,,,,3.7,11.7,,,,,,,,,,,,,8.7,,,,,,,,,8,,,,,60.7,,,,,,,,,36.5,,,,,,,,,,,,1972-10-12 00:00:00,"地質的環境のことなる地すべり地の水質特性について,京大防災研究所年報,1973"
滋賀,,,,,,,,,湧泉,地すべり湧水,,,,18,,,7.4,,,,,,,,,,,,8.6,,,,,5.4,16.2,,,,,,,,,,,,,6.2,,,,,,,,,9.1,,,,,77,,,,,,,,,29.6,,,,,,,,,,,,1972-10-12 00:00:00,"地質的環境のことなる地すべり地の水質特性について,京大防災研究所年報,1973"
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,19,,,6.6,,,,,,,,,,,,13.4,4.5,,,,6.6,42.1,,,,,,,,,,,,,16.3,,,,,,,,,47.3,,,,,119.5,,,,,,,,,14.9,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,24.2,,,6.6,,,,,,,,,,,,10.2,5,,,,5.1,30.4,,,,,,,,,,,,,7.4,,,,,,,,,27.2,,,,,123,,,,,,,,,15.9,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,14.9,,,6.4,,,,,,,,,,,,24.2,7.4,,,,10.6,6.81,,,,,,,,,,,,,31.4,,,,,,,,,34.2,,,,,93.7,,,,,,,,,12.3,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,11.5,,,5.8,,,,,,,,,,,,12,3.3,,,,5.9,14.9,,,,,,,,,,,,,15.9,,,,,,,,,32.9,,,,,26.1,,,,,,,,,10.5,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,17.8,,,6.8,,,,,,,,,,,,10.6,3.3,,,,4.2,17.8,,,,,,,,,,,,,13.6,,,,,,,,,32,,,,,19.5,,,,,,,,,13.1,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
