都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
熊本県,熊本平野産ガス地,,,,,,,,井戸,ガス井,,,,,,,6.8,,,,,,,,,48.8,,,,,,,12,,,,,,,,,,,,,,,85.6,,,,,,,,,0,,,,,272,,,,,,,,,,,,,,98,370,,,,,mg/L,,"本邦天然ガス鉱床の地質学的研究,地調報告,1956"
熊本県,熊本市川尻南高江,130,41,50,32,44,40,,井戸,用水,,,,,,,7.2,7.5,,,,170,,,,0.82,,,,,,,,,,,,,,,,0.27,,,,,,27,,,,,0.354,,,,,,,,,85.4,,,,,,,,,3.31,,,,,,,,,,,mg/L,1962-02-23 00:00:00,"熊本市およびその付近の地下水事情について,工業用水,1963"
熊本県,熊本市川尻町,130,41,10,32,44,40,,井戸,用水,80,,,,,,7.3,7.6,,,,160,,,,2.02,,,,,,,,,,,,,,,,0.48,,,,,,20.5,,,,,0.309,,,,,,,,,88.4,,,,,,,,,48.1,,,,,,,,,,,mg/L,1962-02-23 00:00:00,"熊本市およびその付近の地下水事情について,工業用水,1963"
熊本県,熊本市川尻町,130,41,0,32,44,20,,井戸,用水,38.5,,,,,,7.3,7.6,,,,186,,,,1.39,,,,,,,,,,,,,,,,,,,,,,17,,,,,0.265,,,,,,,,,88.4,,,,,,,,,39.5,,,,,,,,,,,mg/L,1962-02-23 00:00:00,"熊本市およびその付近の地下水事情について,工業用水,1963"
熊本県,熊本市南高江町,130,41,40,32,44,30,,井戸,用水,35,,,,,,7.2,7.5,,,,140,,,,4.86,,,,,,,,,,,,,,,,,,,,,,18,,,,,0.664,,,,,,,,,82.3,,,,,,,,,42.8,,,,,,,,,,,mg/L,1962-02-23 00:00:00,"熊本市およびその付近の地下水事情について,工業用水,1963"
熊本県,熊本市本山町,130,42,0,32,47,0,,井戸,用水,55,,,,,,7.1,7.4,,,,332,,,,1.04,,,,,,,,,,,,,0.62,,,,,,,,,41,,,,,0.531,,,,,,,,,155.5,,,,,,,,,42.8,,,,,,,,,,,mg/L,1962-02-24 00:00:00,"熊本市およびその付近の地下水事情について,工業用水,1963"
熊本県,熊本市出水町,130,44,20,32,47,20,,井戸,用水,,,,,,,6.9,7.2,,,,156,,,,1.49,,,,,,,,,,,,,,,,,,,,,,12.2,,,,,6.861,,,,,,,,,64,,,,,,,,,40.1,,,,,,,,,,,mg/L,1962-02-24 00:00:00,"熊本市およびその付近の地下水事情について,工業用水,1963"
熊本県,熊本市東町,130,46,0,32,47,20,,井戸,用水,,,,,,,6.8,7.1,,,,186,,,,1.18,,,,,,,,,,,,,,,,,,,,,,13.8,,,,,4.427,,,,,,,,,70.1,,,,,,,,,47.1,,,,,,,,,,,mg/L,1962-02-24 00:00:00,"熊本市およびその付近の地下水事情について,工業用水,1963"
熊本県,熊本市春竹町,130,42,30,32,46,40,,井戸,用水,71.5,,,,,白濁（約１０度）,7,7.3,,,,338,,,,5.32,,,,,,,,,,,,,2.5,,,0.75,,,,,,46.5,,,,,0.664,,,,,,,,,140.3,,,,,,,,,48.1,,,,,,,,,,,mg/L,1962-02-26 00:00:00,"熊本市およびその付近の地下水事情について,工業用水,1963"
熊本県,熊本市内坪井町,130,43,0,32,48,40,,井戸,用水,100,,,,,,6.9,7.3,,,,454,,,,2.04,,,,,,,,,,,,,,,,,,,,,,35.6,,,,,4.427,,,,,,,,,128.1,,,,,,,,,40.6,,,,,,,,,,,mg/L,1962-02-26 00:00:00,"熊本市およびその付近の地下水事情について,工業用水,1963"
