都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
石川県,河北潟ガス田,,,,,,,,井戸,ガス井,,,,,730,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,0,,,,,283,,,,,,,,,,,,,,80,253,,,,,,,"本邦天然ガス鉱床の地質学的研究,地調報告,1956"
石川県,川北村三反田,136,34,40,36,27,40,,井戸,用水,,,,,,,6.3,6.9,,,,,,,,4.1,,,,,,,0.2,4.3,20.6,,,,,0.01,0.06,,,,,,,7.1,,,,0.01,,,,,9,,,,,115.8,,,,,,,,,7.5,,,,,15.4,,,,0,,,1957-08-01 00:00:00,"金沢市工業用地下水小規模地域調査報告,地調月報,1959"
石川県,松任町山島,136,34,0,36,28,20,,井戸,用水,33,,,15.2,,,6.3,7.1,,,,,,7800,,2.8,,,,,,,0.1,6.2,28.8,,,,,0,0.06,,,,,,,10.3,,,,0.13,,,,,10,,,,,139.8,,,,,,,,,7,,,,,23.1,,,,0,,,1957-08-01 00:00:00,"金沢市工業用地下水小規模地域調査報告,地調月報,1959"
石川県,松任町上柏野,136,33,0,36,29,30,,井戸,用水,30,,,,,,6.3,7,,,,,,7100,,4,,,,,,,0.1,6.3,28.3,,,,,0.04,0.05,,,,,,,10.7,,,,0.1,,,,,10,,,,,138.5,,,,,,,,,6.5,,,,,24.2,,,,0,,,1957-08-01 00:00:00,"金沢市工業用地下水小規模地域調査報告,地調月報,1959"
石川県,松任町福増,136,34,40,36,32,10,,井戸,用水,30,,,,,,6.4,7,,,,,,6400,,1.1,,,,,,,0,10.4,25.3,,,,,0.04,0.07,,,,,,,12.5,,,,0,,,,,10,,,,,143.2,,,,,,,,,38.5,,,,,22.2,,,,0,,,1957-08-01 00:00:00,"金沢市工業用地下水小規模地域調査報告,地調月報,1959"
石川県,野々市町長池,136,35,50,36,32,20,,井戸,用水,7,,,15,,,5.8,7.1,,,,,,8000,,0.9,,,,,,,0,4.5,18.6,,,,,0.01,0.05,,,,,,,8.9,,,,0.05,,,,,12,,,,,91.1,,,,,,,,,27.6,,,,,33,,,,0,,,1957-08-01 00:00:00,"金沢市工業用地下水小規模地域調査報告,地調月報,1959"
石川県,金沢市米泉町,136,37,40,36,32,30,,井戸,用水,4,,,,,,6,7,,,,,,8000,,1.3,,,,,,,0.1,6.3,13.7,,,,,0.02,0.03,,,,,,,11,,,,0,,,,,10,,,,,91.1,,,,,,,,,33.6,,,,,25.3,,,,0.01,,,1957-08-01 00:00:00,"金沢市工業用地下水小規模地域調査報告,地調月報,1959"
石川県,金沢市大桑町,136,41,0,36,32,0,,井戸,用水,,,,20.3,,,6.2,7.3,,,,,,,,1.8,,,,,,,0,5.6,16.6,,,,,0,0.15,,,,,,,10.4,,,,0.05,,,,,6,,,,,91.1,,,,,,,,,6.8,,,,,28.6,,,,0,,,1957-08-01 00:00:00,"金沢市工業用地下水小規模地域調査報告,地調月報,1959"
石川県,金沢市兼六公園,136,39,50,36,33,30,,井戸,用水,,,,13.8,,,,6.6,,,,,,8500,,2.5,,,,,,,0.1,5.1,11.1,,,,,0,0.05,,,,,,,18.8,,,,0.07,,,,,8,,,,,83.3,,,,,,,,,11.6,,,,,48.4,,,,0,,,1957-08-01 00:00:00,"金沢市工業用地下水小規模地域調査報告,地調月報,1959"
石川県,金沢市,136,39,20,36,33,20,,井戸,用水,,,,14.4,,,5.8,7,,,,,,8000,,5.1,,,,,,,0.1,5.9,13.8,,,,,0,0.06,,,,,,,15.6,,,,0,,,,,5,,,,,84.6,,,,,,,,,31.6,,,,,19.8,,,,0.1,,,1957-08-01 00:00:00,"金沢市工業用地下水小規模地域調査報告,地調月報,1959"
石川県,金沢市,136,38,10,36,33,0,,井戸,用水,20,,,14.5,,,,6.6,,,,,,7400,,4.1,,,,,,,0.1,7.3,16,,,,,0,0.05,,,,,,,19.5,,,,0.93,,,,,10,,,,,87.9,,,,,,,,,12,,,,,38.5,,,,0.02,,,1957-08-01 00:00:00,"金沢市工業用地下水小規模地域調査報告,地調月報,1959"
石川県,金沢市,136,38,20,36,34,0,,井戸,用水,,,,21.4,,,6.7,7.3,,,,,,10500,,2.1,,,,,,,0,5.3,12.5,,,,,0,0.05,,,,,,,6.3,,,,0.06,,,,,5,,,,,74.8,,,,,,,,,6.8,,,,,8.8,,,,0,,,1957-08-01 00:00:00,"金沢市工業用地下水小規模地域調査報告,地調月報,1959"
石川県,金沢市,136,40,30,36,32,20,,井戸,用水,100,,,15.5,,,7,7.5,,,,,,6500,,0.5,,,,,,,0.1,9.5,19.2,,,,,0.18,0.07,,,,,,,11.7,,,,0,,,,,4,,,,,140,,,,,,,,,43,,,,,7.7,,,,0.01,,,1957-08-01 00:00:00,"金沢市工業用地下水小規模地域調査報告,地調月報,1959"
石川県,金沢市,136,40,30,36,32,30,,井戸,用水,48,,,15.3,,,7.2,7.6,,,,,,7600,,2.8,,,,,,,0.1,11.5,17.1,,,,,0.06,0.16,,,,,,,10.8,,,,0.06,,,,,5,,,,,133.5,,,,,,,,,58,,,,,4.4,,,,0,,,1957-08-01 00:00:00,"金沢市工業用地下水小規模地域調査報告,地調月報,1959"
