都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
神奈川県,鎌倉市大船800,139,32,30,35,20,50,,井戸,用水,364,,,17.8,100,,7.6,,,,,,,4000,,3.8,,,,,,,0.35,6.5,36.6,,,,,,,0,,,,,,10.4,,,,0.1,,,,,12.2,,,,,156,,,,,,,,,31,,,,,4,,,,0.06,,,1960-02-19 00:00:00,"神奈川県湘南工業地帯の地下水,地調月報,1961"
神奈川県,横浜市,139,33,10,35,25,10,,井戸,用水,6,,,13,,,6.9,,,,,,,5800,,9,,,,,,,0.4,11.7,20.8,,,,,,,0,,,,,,9,,,,0,,,,,11,,,,,115,,,,,,,,,35,,,,,8,,,,0.04,,,1960-02-19 00:00:00,"神奈川県湘南工業地帯の地下水,地調月報,1961"
神奈川県,藤沢市136,139,29,40,35,20,0,,井戸,用水,5,,,15.3,,,6.7,,,,,,,3000,,20.6,,,,,,,0.6,18.5,36.6,,,,,,,0,,,,,,36.8,,,,0,,,,,32.6,,,,,112,,,,,,,,,34,,,,,20,,,,0,,,1960-02-19 00:00:00,"神奈川県湘南工業地帯の地下水,地調月報,1961"
神奈川県,藤沢市辻堂1110,139,27,0,35,20,10,,井戸,用水,60,,,17.2,800,,7.4,,,,,,,3600,,14.9,,,,,,,0.52,12.4,20.4,,,,,,,0.56,,,,,,17.8,,,,0.2,,,,,31.6,,,,,150,,,,,,,,,36,,,,,10,,,,0.25,,,1960-02-19 00:00:00,"神奈川県湘南工業地帯の地下水,地調月報,1961"
神奈川県,藤沢市辻堂1110,139,27,0,35,20,10,,井戸,用水,127,,,17.5,1400,,7.8,,,,,,,3800,,14.2,,,,,,,0.32,5.1,7.6,,,,,,,0,,,,,,16.4,,,,1.5,,,,,1<,,,,,200,,,,,,,,,35,,,,,6,,,,0.4,,,1960-02-19 00:00:00,"神奈川県湘南工業地帯の地下水,地調月報,1961"
神奈川県,芽ｹ崎市小和田3456,139,26,50,35,20,0,,井戸,用水,60,,,17.2,360,,7.7,,,,,,,2700,,15.4,,,,,,,0.37,10.6,8,,,,,,,0.21,,,,,,28.2,,,,0.3,,,,,42.2,,,,,165,,,,,,,,,36,,,,,8,,,,0.42,,,1960-02-19 00:00:00,"神奈川県湘南工業地帯の地下水,地調月報,1961"
神奈川県,芽ｹ崎市小和田3782,139,26,50,35,20,0,,井戸,用水,54,,,17.2,120,,8.5,,,,,,,3100,,13.5,,,,,,,0.35,0.7,1.2,,,,,,,0,,,,,,50.6,,,,0,,,,,7.4,,,,,134,,,,,,,,,36,,,,,0,,,,0.35,,,1960-02-19 00:00:00,"神奈川県湘南工業地帯の地下水,地調月報,1961"
神奈川県,芽ｹ崎市芽ｹ崎6666,139,25,40,35,20,0,,井戸,用水,60,,,17.2,2500,,7.2,,,,,,,4100,,12.2,,,,,,,0.27,13.8,30,,,,,,,0,,,,,,7.5,,,,0,,,,,1<,,,,,199,,,,,,,,,45,,,,,13,,,,0.04,,,1960-02-19 00:00:00,"神奈川県湘南工業地帯の地下水,地調月報,1961"
神奈川県,芽ｹ崎市芽ｹ崎818,139,24,30,35,20,10,,井戸,用水,91,,,16.7,3000,,7.4,,,,,,,3300,,7.9,,,,,,,0.27,14.6,28.4,,,,,,,0.06,,,,,,29.8,,,,0,,,,,2.4,,,,,183,,,,,,,,,41,,,,,10,,,,0.06,,,1960-02-19 00:00:00,"神奈川県湘南工業地帯の地下水,地調月報,1961"
神奈川県,芽ｹ崎市芽ｹ崎818,139,24,30,35,20,10,,井戸,用水,91,,,17.5,3000,,7.4,,,,,,,4200,,4.2,,,,,,,0.22,11.9,24.8,,,,,,,0.02,,,,,,11.2,,,,0,,,,,1<,,,,,163.5,,,,,,,,,40,,,,,8,,,,0.06,,,1960-02-19 00:00:00,"神奈川県湘南工業地帯の地下水,地調月報,1961"
