都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
福井県,敦賀市,136,4,50,35,39,10,,井戸,用水,100,,,14.9,2400,,6.5,6.9,,,,,,,,0.65,,,11.8,1.1,,,0.5,2.5,18.1,,,,0,0.89,,0.89,,,,,,17,,,,0,,,,,12.6,,,,,62.24,,,,,,,,,17.7,,,,,,,,,,,,1965-11-01 00:00:00,"福井県敦賀平野における工業用地下水源,地調月報,1968"
福井県,敦賀市,136,5,0,35,38,30,,井戸,用水,100,,,13.8,,,6.2,6.5,,,,,,,,0.42,,,9.5,1,,,0,1.2,5.4,,,,0,0,,0.03,,,,,,11.3,,,,0,,,,,7.8,,,,,20.747,,,,,,,,,15.3,,,,,,,,,,,,1965-11-01 00:00:00,"福井県敦賀平野における工業用地下水源,地調月報,1968"
福井県,敦賀市,136,4,50,35,38,20,,井戸,用水,102,,,15.1,,,6.4,6.7,,,,,,,,0.54,,,11.8,1,,,0.1,2.7,9.4,,,,0,0.81,,0.81,,,,,,12.7,,,,0,,,,,6.9,,,,,47.596,,,,,,,,,22.7,,,,,,,,,,,,1965-11-01 00:00:00,"福井県敦賀平野における工業用地下水源,地調月報,1968"
福井県,敦賀市,136,4,0,35,39,10,,井戸,用水,29,,,14.8,,,6.2,6.5,,,,,,,,0.39,,,11,1.6,,,0,1.7,9.9,,,,0,0,,0,,,,,,10.3,,,,0,,,,,16.9,,,,,30.51,,,,,,,,,19.7,,,,,,,,,,,,1965-11-01 00:00:00,"福井県敦賀平野における工業用地下水源,地調月報,1968"
福井県,敦賀市,136,4,20,35,38,10,,井戸,用水,74,,,15.6,,,6.2,6.8,,,,,,,,0.37,,,11.5,0.9,,,0,1.7,12,,,,0,0,,0.03,,,,,,10.6,,,,0,,,,,23.7,,,,,32.341,,,,,,,,,14.5,,,,,,,,,,,,1965-11-01 00:00:00,"福井県敦賀平野における工業用地下水源,地調月報,1968"
福井県,敦賀市,136,4,0,35,38,50,,井戸,用水,120,,,13.6,,,6.3,6.6,,,,,,,,0.37,,,7.7,0.7,,,0,1.2,4.3,,,,0,0,,0.03,,,,,,8.9,,,,0,,,,,2.1,,,,,24.408,,,,,,,,,21.8,,,,,,,,,,,,1965-11-01 00:00:00,"福井県敦賀平野における工業用地下水源,地調月報,1968"
福井県,敦賀市,136,4,20,35,37,50,,井戸,用水,50,,,15.3,,,5.8,6.5,,,,,,,,0.42,,,8.3,1.5,,,0,1.2,11.2,,,,0,0,,0.02,,,,,,11.3,,,,0,,,,,8.5,,,,,32.951,,,,,,,,,15,,,,,,,,,,,,1965-11-01 00:00:00,"福井県敦賀平野における工業用地下水源,地調月報,1968"
福井県,敦賀市,136,3,20,35,38,20,,井戸,用水,140,,,16.4,,,6.9,7.2,,,,,,,,0.37,,,13,0.7,,,0,3.2,13,,,,0,0.01,,0.09,,,,,,11.3,,,,0,,,,,2,,,,,73.224,,,,,,,,,26.3,,,,,,,,,,,,1965-11-01 00:00:00,"福井県敦賀平野における工業用地下水源,地調月報,1968"
福井県,敦賀市,136,3,10,35,38,10,,井戸,用水,130,,,15.4,,,6.4,6.7,,,,,,,,0.37,,,10,0.8,,,0,2.9,10.3,,,,0,0.01,,0.04,,,,,,13,,,,0,,,,,3.3,,,,,51.257,,,,,,,,,25.5,,,,,,,,,,,,1965-11-01 00:00:00,"福井県敦賀平野における工業用地下水源,地調月報,1968"
福井県,敦賀市,136,3,0,35,37,50,,井戸,用水,15,,,15,,,5.8,6.1,,,,,,,,0.37,,,6.6,1,,,0,1.2,12.4,,,,0,0.01,,0.01,,,,,,14.7,,,,0,,,,,7.1,,,,,30.51,,,,,,,,,14.5,,,,,,,,,,,,1965-11-01 00:00:00,"福井県敦賀平野における工業用地下水源,地調月報,1968"
福井県,敦賀市,136,2,20,35,37,10,,井戸,用水,45,,,13,,,6.3,6.6,,,,,,,,0.37,,,6.4,1,,,0,1.2,5.3,,,,0,0,,0.01,,,,,,11,,,,0,,,,,5,,,,,18.306,,,,,,,,,11,,,,,,,,,,,,1965-11-01 00:00:00,"福井県敦賀平野における工業用地下水源,地調月報,1968"
福井県,坂井郡金津町,136,14,0,36,12,40,,井戸,用水,81.5,,,17.8,,,7.5,7.9,,,,,,800,,3.92,,,212.8,4.2,,,0.8,6.1,61.4,,,,,0,,0.28,,,,,,152.4,,,,0,,,,,378,,,,,96.412,,,,,,,,,30,,,,,,,,,,,,,"福井県九頭竜川水系の地下水,地調月報,1969"
福井県,坂井郡芦原町,136,12,50,36,12,10,,井戸,用水,110,,,21.1,,,7.5,7.8,,,,,,1000,,2.27,,,137,3.2,,,0.1,9.8,50.3,,,,,0.05,,0.16,,,,,,95.7,,,,0,,,,,307,,,,,108.62,,,,,,,,,36,,,,,,,,,,,,,"福井県九頭竜川水系の地下水,地調月報,1969"
福井県,坂井郡坂井町,136,13,40,36,11,0,,井戸,用水,32,,,15.9,,,,,,,,,,900,,14.78,,,79,26.5,,,27.6,47.6,33.3,,,,,,,7.23,,,,,,6.6,,,,,,,,,26.4,,,,,488.16,,,,,,,,,,,,,,,,,,,,,,"福井県九頭竜川水系の地下水,地調月報,1969"
