都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,dis.O2,free H2S,free CO2,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
福岡県,久留米市,130,30,50,33,19,30,,井戸,用水,,,,19.6,,,7.5,7.7,,,,,,,,5.6,,,128,7.3,,,0.9,4.3,11.6,,,,,0.1,0,,,,,,,45.2,,,,0,,,,,5,,,,,262.9,,,,,,,,,59.4,,,,,6.2,,,,0.15,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
福岡県,久留米市,130,30,30,33,18,30,,井戸,用水,,,,20.9,,,7.4,7.5,,,,,,,,9.1,,,35.3,4.5,,,0.4,3.7,7.3,,,,,0.1,0.03,,,,,,,15.6,,,,0,,,,,0,,,,,91.5,,,,,,,,,65.4,,,,,3.5,,,,0.24,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
福岡県,久留米市,130,30,20,33,16,0,,井戸,用水,,,,18.4,,,6.9,7.3,,,,,,,,0.8,,,9.4,2.4,,,0.1,4.7,10.2,,,,,0,0.05,,,,,,,7.7,,,,0,,,,,2,,,,,54.2,,,,,,,,,53.4,,,,,6.2,,,,0.15,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
福岡県,大川市,130,22,50,33,12,10,,井戸,用水,,,,26.4,,,7.5,7.7,,,,,,,,19.2,,,120.2,15.8,,,2.5,10.5,13.7,,,,,0.08,0,,,,,,,78.7,,,,0,,,,,1,,,,,248.8,,,,,,,,,80,,,,,7.1,,,,0.22,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
福岡県,柳川市,130,22,40,33,10,0,,井戸,用水,,,,24.7,,,7.4,7.8,,,,,,,,3,,,29.2,11.2,,,1.6,13,20.1,,,,,0.06,0.02,,,,,,,22.4,,,,0,,,,,1,,,,,158.6,,,,,,,,,76,,,,,6.2,,,,0.16,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
福岡県,大和町,130,26,0,33,7,10,,井戸,用水,150,,,19.4,,,7.3,7.8,,,,,,,,3.1,,,51.8,6.2,,,0.1,51,99.1,,,,,0.1,0.03,,,,,,,75.4,,,,0,,,,,1,,,,,622.2,,,,,,,,,46.6,,,,,,,,,0.02,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
福岡県,１坑　スイタ層上,,,,,,,,坑道,坑道湧水,,24,5,11,0.1388888888888889,,6.4,,,,,,,,,7.7,,,48,2.4,,,0.16,18.3,47.2,,,,,,,0.07,,,,,,21.3,,,,,,,,,210,,,,,77,,,,,,,,,,,,,,10.6,,,,,,,1960-01-20 00:00:00,"筑豊炭田赤池炭鉱における炭田ガスの調査研究報告,地調月報,1963"
福岡県,１坑　３尺層上,,,,,,,,坑道,坑道湧水,,-3,6.5,14.5,,,7.2,,,,,,,,,19,,,120,8.4,,,0.13,5.5,86.1,,,,,,,0.03,,,,,,46.3,,,,,,,,,80,,,,,439,,,,,,,,,,,,,,6.8,,,,,,,1960-01-20 00:00:00,"筑豊炭田赤池炭鉱における炭田ガスの調査研究報告,地調月報,1963"
福岡県,１坑　４枚層下５ｍ,,,,,,,,坑道,坑道湧水,,-62,,14.5,,,7.8,,,,,,,,,11,,,89,7,,,0.1,22.3,118.1,,,,,,,0.04,,,,,,41.1,,,,,,,,,405,,,,,158,,,,,,,,,,,,,,6.4,,,,,,,1960-01-20 00:00:00,"筑豊炭田赤池炭鉱における炭田ガスの調査研究報告,地調月報,1963"
福岡県,１坑　４尺層上,,,,,,,,坑道,坑道湧水,,-124,18,21,0.2083333333333333,,7.4,,,,,,,,,13.5,,,150,6.6,,,0.21,3.2,90.6,,,,,,,0.03,,,,,,34,,,,,,,,,336,,,,,293,,,,,,,,,,,,,,6,,,,,,,1960-01-20 00:00:00,"筑豊炭田赤池炭鉱における炭田ガスの調査研究報告,地調月報,1963"
福岡県,２坑　３尺層上,,,,,,,,坑道,坑道湧水,,-18,14.5,16,0.2083333333333333,,6.9,,,,,,,,,16.1,,,76,3.5,,,0.13,20.8,139.4,,,,,,,0.13,,,,,,41.1,,,,,,,,,142,,,,,512,,,,,,,,,,,,,,16.4,,,,,,,1960-01-20 00:00:00,"筑豊炭田赤池炭鉱における炭田ガスの調査研究報告,地調月報,1963"
福岡県,３坑　３尺層上,,,,,,,,坑道,坑道湧水,,-260,13,18,1.944444444444444,,7.6,,,,,,,,,16.5,,,110,1.6,,,0.1,3.1,8.4,,,,,,,,,,,,,30.8,,,,,,,,,0,,,,,290,,,,,,,,,,,,,,,,,,,,,1960-01-20 00:00:00,"筑豊炭田赤池炭鉱における炭田ガスの調査研究報告,地調月報,1963"
福岡県,３坑,,,,,,,,坑道,坑道湧水,,-255,22,21,0.3472222222222222,,,,,,,,,,,7,,,210,3.7,,,0.13,9.9,42.7,,,,,,,0.02,,,,,,29.1,,,,,,,,,291,,,,,329,,,,,,,,,,,,,,,,,,,,,1960-01-20 00:00:00,"筑豊炭田赤池炭鉱における炭田ガスの調査研究報告,地調月報,1963"
