都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,Ｅｈ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
福島県,土湯温泉（東部地区）,140,19,40,37,40,50,,湧泉,温泉・鉱泉,,,,68,,無色透明，微にH2S臭,6.6,,,,,1182.5,,,,,,,287.4,16.1,,,,2,107.9,,,1.5,,2.9,,,,,,,,145.8,,,,,,0.86,,,261.7,,,,,550.786,,,,,,,,,,74.9,,,0.613,82.623,,,,,,mg/kg,1952/12,福島県の温泉の成分に関する研究（その１），福島県衛生研研究報告，1953
福島県,土湯温泉（東部地区）,140,19,40,37,40,50,,湧泉,温泉・鉱泉,,,,43,,無色透明，微にH2S臭,6.8,,,,,1136,,,,,,,358.1,19.31,,,,9.99,37.59,,,2.02,,1.59,,,,,,,,201.72,,,,,,4.85,,,96.67,,,,,683.02,,,,,,,,,,142.91,,,2.21,60.9,,,,,,mg/kg,1952/12,福島県の温泉の成分に関する研究（その１），福島県衛生研研究報告，1953
福島県,土湯温泉（東部地区）,140,19,40,37,40,50,,湧泉,温泉・鉱泉,,,,63,,無色透明，微にH2S臭,6.8,,,,,862.4,,,,,,,271.56,16.05,,,,7.98,40.42,,,4.08,,1.79,,,,,,,,110.72,,,,,,1.29,,,113.24,,,,,594.18,,,,,,,,,,115.93,,,0.86,78.5,,,,,,mg/kg,1952/12,福島県の温泉の成分に関する研究（その１），福島県衛生研研究報告，1953
福島県,土湯温泉（東部地区）,140,19,40,37,40,50,,湧泉,温泉・鉱泉,,,,61,,無色透明，微にH2S臭,6.8,,,,,989.4,,,,,,,264.51,17.38,,,,13.94,58.02,,,1.46,,1.98,,,,,,,,116.77,,,,,,3.96,,,153.92,,,,,585.94,,,,,,,,,,110.09,,,1.17,99.81,,,,,,mg/kg,1952/12,福島県の温泉の成分に関する研究（その１），福島県衛生研研究報告，1953
福島県,土湯温泉（東部地区）,140,19,40,37,40,50,,湧泉,温泉・鉱泉,,,,97,,微蛋白石濁，微にH2S臭,8.4,,,,,1332.3,,,,,,,429.4,26,,,,4.6,6.3,,,0.7,,0.4,,,,,,,,261.1,,,,,,0.969,,,179.9,,,,,503.515,,,,,,,,,,172.2,,,,,,,,,,mg/kg,1952/12,福島県の温泉の成分に関する研究（その１），福島県衛生研研究報告，1953
福島県,土湯温泉（東部地区）,140,19,40,37,40,50,,湧泉,温泉・鉱泉,,,,81.5,,無色透明，微にH2S臭,7.1,,,,,1625.6,,,,,,,435.25,16.7,,,,6.33,31.52,,,0.97,,3.61,,,,,,,,181.43,,,,,,0.85,,,155.8,,,,,787.8,,,,,,,,,,152.96,,,0.21,37.53,,,,,,mg/kg,1952/12,福島県の温泉の成分に関する研究（その１），福島県衛生研研究報告，1953
福島県,土湯温泉（東部地区）,140,19,40,37,40,50,,湧泉,温泉・鉱泉,,,,62,,微蛋白石濁，微にH2S臭,6.8,,,,,921.2,,,,,,,237.7,18.8,,,,7.9,42.9,,,2.4,,2.8,,,,,,,,115.5,,,,,,1.594,,,131.7,,,,,501.179,,,,,,,,,,112.6,,,2.2,142.8,,,,,,mg/kg,1952/12,福島県の温泉の成分に関する研究（その１），福島県衛生研研究報告，1953
福島県,土湯温泉（東部地区）,140,19,40,37,40,50,,湧泉,温泉・鉱泉,,,,68,,無色透明，微にH2S臭,7,,,,,1102.4,,,,,,,337.22,19.31,,,,7.16,32.82,,,0.1,,3.83,,,,,,,,112.77,,,,,,0.8,,,114.94,,,,,728.07,,,,,,,,,,99.09,,,0.18,31.28,,,,,,mg/kg,1952/12,福島県の温泉の成分に関する研究（その１），福島県衛生研研究報告，1953
福島県,土湯温泉（東部地区）,140,19,40,37,40,50,,湧泉,温泉・鉱泉,,,,60,,無色透明，微にH2S臭,6.8,,,,,861.6,,,,,,,269.92,16.74,,,,12.6,51.37,,,2.02,,1.59,,,,,,,,87.84,,,,,,0.83,,,90.12,,,,,711.8,,,,,,,,,,100.26,,,0.16,24.34,,,,,,mg/kg,1952/12,福島県の温泉の成分に関する研究（その１），福島県衛生研研究報告，1953
福島県,土湯温泉（西部地区）,140,19,20,37,40,30,,湧泉,温泉・鉱泉,,,,67.5,,無色透明，無臭,8.2,,,,,833.3,,,,,,,176.2,12.1,,,,5.4,51.6,,,2.5,,3,,,,,,,,103.9,,,,,,,,,213.8,,,,,243.381,,,,,,,,,,138.9,,,,,,,,,,mg/kg,1952/12,福島県の温泉の成分に関する研究（その１），福島県衛生研研究報告，1953
