都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,490.9,,,24.7,1.327777777777778,,6.9,7.8,,,,,,,,115,,,,,,,36.6,255.5,175.6,,,,,6.73,,11.2,,,,,,15650,43.8,17.1,,0,,,,,<1,,,,,,,,,,,,,,,,,0.62,,202,1330,,,0.02,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,508.8,,32.8,16.2,0.1229166666666667,,7.4,8,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,14360,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,1330,,,,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,514.8,,31.8,14.7,0.08194444444444444,,8.1,8.2,,,,,,,,,,,,,,,18.3,,,,,,,,,,,,,,,13500,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,617,,,,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,514.5,,29.7,15.3,0.3972222222222222,,6.6,7.4,,,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,,15610,47.3,19,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,,,,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,481.5,,29.7,14.5,0.1451388888888889,,7.4,7.8,,,,,,,,256,,,,,,,35.3,96.6,167.7,,,,,10.2,,10.7,,,,,,10580,,,,0,,,,,<1,,,,,,,,,,,,,,,,,0.53,,92.4,762,,,0.01,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,481.8,,28.2,26.6,5.380555555555556,,7.1,7.8,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,14140,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,1089,,,,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,532.7,,28.5,17.8,0.01736111111111111,,7.8,8,,,,,,,,171,,,,,,,15.7,142.5,285.4,,,,,2,,2.3,,,,,,15410,,,,0,,,,,<1,,,,,,,,,,,,,,,,,0.6,,13.2,99,,,0.02,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,505.4,,30.7,14.7,0.02361111111111111,,7.8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14820,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,13.2,632,,,,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,478.2,,31.5,28.3,0.7208333333333333,,7.2,7.6,,,,,,,,102,,,,,,,27,214.6,173.7,,,,,3.15,,,,,,,,14390,,,,0,,,,,<1,,,,,,,,,,,,,,,,,0.33,,48.5,564,,,0.02,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,443,,29.8,16.8,0.006944444444444444,,7.6,7.9,,,,,,,,,,,,,,,,195.3,131.7,,,,,0,,0.22,,,,,,14380,,,,0,,,,,<1,,,,,,,,,,,,,,,,,0.2,,57.2,882,,,,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,463.6,,31,19.3,0.6402777777777777,,7.8,8.1,,,,,,,,,,,,,,,25.4,,,,,,,,,,,,,,,15320,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,715,,,,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,427.6,,33.2,30.2,6.298611111111111,,7.4,7.8,,,,,,,,107,,,,,,,16.2,154.3,189.6,,,,,,,14.4,,,,,,13320,,,,0,,,,,,,,,,,,,,,,,,,,,,0.1,,8.8,216,,,0.03,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,430.6,,31.5,26.4,0.06388888888888888,,7.3,7.7,,,,,,,,,,,,,,,24.4,,,,,,,,,,,,,,,13580,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,409,,,,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,473,,29.8,29,4.839583333333334,,7.6,7.8,,,,,,,,183,,,,,,,10,174.4,171.7,,,,,29.4,,30.6,,,,,,13750,,,,0,,,,,<1,,,,,,,,,,,,,,,,,0.31,,13.2,653,,,0.01,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,416.5,,27.4,18.7,0.05069444444444444,,7.4,7.8,,,,,,,,,,,,,,,31.6,,,,,,,,,,,,,,,16150,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8,420,,,,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,464.2,,27,23.2,0.2451388888888889,,7.8,8,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,15880,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,712,,,,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,524.8,,33.6,15.4,0.03611111111111111,,7.3,7.8,,,,,,,,,,,,,,,36.4,,,,,,,,,,,,,,,16450,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,1429,,,,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,490.9,,29.5,28.4,0.5347222222222222,,7.1,7.6,,,,,,,,,,,,,,,,217.6,239.5,,,,,6.43,,6.78,,,,,,13830,,,,0,,,,,12,,,,,,,,,,,,,,,,,1.05,,167,949,,,,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,490.9,,31.5,26.5,1.152777777777778,,8,8.2,,,,,,,,76.7,,,,,,,31.5,181.8,161.7,,,,,0.43,,,,,,,,13650,,,,0,,,,,<1,,,,,,,,,,,,,,,,,0.38,,4.5,387,,,0.05,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,500,,30.2,29.1,0.4833333333333333,,7.1,7.6,,,,,,,,,,,,,,,,161.7,151.7,,,,,11.1,,11.8,,,,,,11820,,,,0,,,,,<1,,,,,,,,,,,,,,,,,0.16,,88,994,,,,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
秋田県,南秋田郡黒川村,,,,,,,,井戸,油井,455.2,,30.7,22.4,0.07847222222222222,,7.4,7.8,,,,,,,,245,,,,,,,23.7,208,285.4,,,,,9.16,,9.77,,,,,,16200,,,,0,,,,,<1,,,,,,,,,,,,,,,,,0.43,,48.3,425,,,0,,,1953/8,秋田県黒川油田地化学調査報告，地調月報， 1955
