都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
群馬県,磯部町,,,,,,,,井戸,ガス井,748.5,,10,30.9,121,,6.9,7.9,,,,,,,,16.4,,,,,,,30.3,53.4,203,,,,,,,2.6,,,,,,12940,41.7,5.7,,0,,,,,,,,,,8570,,,,,,,,,,,673,0.14,,616,6796,,,,,,,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,ガス井,452.5,,13,33.9,142,,7,8.2,,,,,,,,21.4,,,,,,,27,59.4,276,,,,,,,0.4,,,,,,13510,39.2,5.8,,0,,,,,,,,,,7750,,,,,,,,,,,860,0,,567,6167,,,,,,,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,温泉・鉱泉,,,,,,,6.9,8.3,,,,,,,,21.4,,,,,,,8.7,42,126,,,,,,,13.8,,,,,,7350,20.7,3.4,,0,,,,,,,,,,9340,,,,,,,,,,,350,,,655,7395,,,,,,,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,温泉・鉱泉,,,8.5,19.4,,,6.9,8.4,,,,,,,,30.5,,,,,,,18.4,16.2,85,,,,,,,0.8,,,,,,5400,17.7,2.4,,0,,,,,3,,,,,8780,,,,,,,,,,,269,0.17,,440,6790,,,,,,,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,温泉・鉱泉,,,11,13.9,,,6.8,8,,,,,,,,10.1,,,,,,,13.7,28,68.7,,,,,,,0.4,,,,,,3550,11,2.2,,0,,,,,4,,,,,2410,,,,,,,,,,,110,0.51,,94.7,1835,,,,,,,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,温泉・鉱泉,5,,11,20,,,6.7,8.2,,,,,,,,12.3,,,,,,,11.4,12.7,55.4,,,,,,,0.8,,,,,,4190,12.1,1.7,,,,,,,5,,,,,3860,,,,,,,,,,,335,0.95,,352,3142,,,,,,,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,湧泉,ガス徴,,,9.5,9,,,5.4,7.2,,,,,,,,25.2,,,,,,,0.02,,,,,,,,,,,,,,,39.1,,,,0,,,,,5,,,,,232,,,,,,,,,,,,,,308,475,,,,,,,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,安中町,,,,,,,,井戸,温泉・鉱泉,,,,,5,,6.1,6.9,,,,,,,,16.4,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,71.7,,,,,82.5,,,,,,,,,,,,,,6.6,66.1,,,,,,,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,,,,,,,6.4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,0,,,,,,,,,,97.8,,,,,,,,,,,,,,17.6,88.2,,,,,,,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,温泉・鉱泉,,,2,11.3,,,6.9,8.2,,,,,,,,16.4,,,,,,,27.5,43.7,91.5,,,,,,,0.3,,,,,,12430,35,5.2,,0,,,,,,,,,,9760,,,,,,,,,,,500,0.27,,582,7632,,,,,,,"群馬県磯部町附近地化学調査報告,地調月報,1957"
