都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
茨城県,下館市下館,139,59,30,36,18,20,,井戸,用水,24,,,16.8,,,7,7.2,,,,,103,,,8.3,,,,,,,0.45,4.3,8.6,,,,,,,1.71,,,,,,2.1,,,,0.16,,,,,0,,,,,61,,,,,,,,,31,,,0.66,,1,,,,0.27,,,1959-05-20 00:00:00,"茨城県工業用水源地域調査報告,地調月報,1960"
茨城県,下館市下館,139,59,30,36,18,50,,井戸,用水,79,,,16,,,6.8,7.2,,,,,122,,,13.2,,,,,,,0.85,7.2,10.2,,,,,,,3.71,,,,,,3.5,,,,0.39,,,,,0,,,,,69.5,,,,,,,,,34,,,0.1,,2,,,,0.38,,,1959-05-20 00:00:00,"茨城県工業用水源地域調査報告,地調月報,1960"
茨城県,下館市下館,140,0,0,36,19,0,,井戸,用水,109,,,17.4,,,7,7.2,,,,,109,,,2.5,,,,,,,0.76,4.3,9.4,,,,,,,2.86,,,,,,2.1,,,,0,,,,,4,,,,,61,,,,,,,,,29,,,0.5,,2,,,,0.15,,,1959-05-20 00:00:00,"茨城県工業用水源地域調査報告,地調月報,1960"
茨城県,下館市下館,139,59,0,36,18,20,,井戸,用水,51,,,15.4,,,7.3,7.4,,,,,135,,,2.8,,,,,,,0.54,4.1,15.3,,,,,,,2.28,,,,,,7.1,,,,0.22,,,,,0,,,,,85.4,,,,,,,,,29,,,,,2,,,,0.25,,,1959-05-20 00:00:00,"茨城県工業用水源地域調査報告,地調月報,1960"
茨城県,下館市下館,139,59,0,36,18,50,,井戸,用水,7,,,18.5,,,6.3,6.8,,,,,385,,,2.1,,,,,,,0.46,10.9,26.5,,,,,,,0.57,,,,,,49.6,,,,0.01,,,,,32,,,,,101.3,,,,,,,,,23,,,,,11,,,,0.11,,,1959-05-20 00:00:00,"茨城県工業用水源地域調査報告,地調月報,1960"
茨城県,下館市稲野辺,139,59,50,36,19,40,,井戸,用水,54,,,15.8,,,7,7.2,,,,,106,,,6.3,,,,,,,0.2,5.3,9,,,,,,,0.02,,,,,,2.8,,,,0,,,,,0,,,,,68.4,,,,,,,,,31,,,1.06,,6,,,,0.12,,,1959-05-20 00:00:00,"茨城県工業用水源地域調査報告,地調月報,1960"
茨城県,下館市麦ﾉ内,139,59,50,36,21,20,,井戸,用水,50,,,15.4,,,7,7.2,,,,,91,,,,,,,,,,0.08,4.1,8.1,,,,,,,0,,,,,,2.1,,,,0.13,,,,,0,,,,,58.6,,,,,,,,,30,,,3.82,,4,,,,0.09,,,1959-05-20 00:00:00,"茨城県工業用水源地域調査報告,地調月報,1960"
茨城県,下館市谷中,139,57,50,36,19,10,,井戸,用水,36,,,15.6,,,7.1,7.3,,,,,95,,,3.7,,,,,,,0.09,4.8,8.1,,,,,,,0.57,,,,,,2.1,,,,0,,,,,3,,,,,56.1,,,,,,,,,26,,,3.15,,2,,,,0.2,,,1959-05-20 00:00:00,"茨城県工業用水源地域調査報告,地調月報,1960"
茨城県,下館市西谷貝,139,57,40,36,18,30,,井戸,用水,33,,,15.8,,,7,7.3,,,,,100,,,3.7,,,,,,,0.09,4,8.5,,,,,,,0.28,,,,,,2.1,,,,0,,,,,0,,,,,58.6,,,,,,,,,28,,,2.85,,3,,,,0.17,,,1959-05-20 00:00:00,"茨城県工業用水源地域調査報告,地調月報,1960"
茨城県,下館市菅ﾉ谷,139,58,10,36,18,10,,井戸,用水,50,,,15.8,,,7,7.3,,,,,106,,,3.7,,,,,,,0.11,4.8,8.5,,,,,,,5.7,,,,,,1.4,,,,0,,,,,7,,,,,58.6,,,,,,,,,26,,,0.5,,2,,,,0.2,,,1959-05-20 00:00:00,"茨城県工業用水源地域調査報告,地調月報,1960"
