都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
長野県,諏訪湖ガス田,,,,,,,,井戸,ガス井,,,,,71.8,,6.9,7.5,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,1540,,,,,,,,,,,,,,300,,,,,,,,"本邦天然ガス鉱床の地質学的研究,地調報告,1956"
長野県,諏訪湖ガス田,,,,,,,,井戸,ガス井,,,,,25.8,,6.6,6.9,,,,,,,,,,,,,,,3.04,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,259,,,,,,,,,,,,,,90.2,277,,,,,,,"本邦天然ガス鉱床の地質学的研究,地調報告,1956"
長野県,東御殿の湯,137,59,40,36,15,40,,不明,温泉・鉱泉,,,,46,,,8,,,,,,,,,,,,,,,,,,41.5,,,,,,,,,,,,,38,,,,,,,,,190.9,,,,,12,3,,,,,,,,,,,,,,,,,,,,1955.3.,"長野県浅間温泉調査報告,地調月報,1957"
長野県,御殿の湯,137,59,40,36,15,40,,不明,温泉・鉱泉,,,,49,,,8,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,38,,,,,,,,,181.7,,,,,12,3,,,,,,,,,,,,,,,,,,,,1955.3.,"長野県浅間温泉調査報告,地調月報,1957"
長野県,御座の湯,137,59,40,36,15,40,,不明,温泉・鉱泉,,,,48.5,,,8,,,,,,,,,,,,,,,,,,37.2,,,,,,,,,,,,,40,,,,,,,,,206.6,,,,,12,3,,,,,,,,,,,,,,,,,,,,1955.3.,"長野県浅間温泉調査報告,地調月報,1957"
長野県,滝の湯,137,59,40,36,15,40,,不明,温泉・鉱泉,,,,49,,,8,,,,,,,,,,,,,,,,,,37.2,,,,,,,,,,,,,38,,,,,,,,,197.5,,,,,12,3,,,,,,,,,,,,,,,,,,,,1955.3.,"長野県浅間温泉調査報告,地調月報,1957"
長野県,堀の湯,137,59,40,36,15,40,,不明,温泉・鉱泉,,,,43.5,,,8,,,,,,,,,,,,88,2.6,,,,,37,,,,,,,,,,,,,38,,,,,,,,,198,,,,,12,3,,,,,,,,,,,,,,,,,,,,1955.3.,"長野県浅間温泉調査報告,地調月報,1957"
長野県,湯小路,137,59,40,36,15,40,,不明,温泉・鉱泉,,,,48,,,8,,,,,,,,,,,,,,,,,,38.6,,,,,,,,,,,,,40,,,,,,,,,199.2,,,,,12,3,,,,,,,,,,,,,,,,,,,,1955.3.,"長野県浅間温泉調査報告,地調月報,1957"
長野県,双葉の湯,137,59,40,36,15,40,,不明,温泉・鉱泉,,,,48,,,8,,,,,,,,,,,,,,,,,,41.5,,,,,,,,,,,,,38,,,,,,,,,199.2,,,,,12,3,,,,,,,,,,,,,,,,,,,,1955.3.,"長野県浅間温泉調査報告,地調月報,1957"
長野県,小柳の湯,137,59,40,36,15,40,,不明,温泉・鉱泉,,,,48,,,8,,,,,,,,,,,,,,,,,,37.2,,,,,,,,,,,,,39,,,,,,,,,201.6,,,,,12,3,,,,,,,,,,,,,,,,,,,,1955.3.,"長野県浅間温泉調査報告,地調月報,1957"
長野県,湯坂源泉,137,59,40,36,15,40,,不明,温泉・鉱泉,,,,50,,,8,,,,,,,,,,,,,,,,,,38.6,,,,,,,,,,,,,37,,,,,,,,,207.4,,,,,12,3,,,,,,,,,,,,,,,,,,,,1955.3.,"長野県浅間温泉調査報告,地調月報,1957"
長野県,湯坂五湯,137,59,40,36,15,40,,不明,温泉・鉱泉,,,,51,,,8,,,,,,,,,,,,,,,,,,34.3,,,,,,,,,,,,,38,,,,,,,,,207.4,,,,,12,3,,,,,,,,,,,,,,,,,,,,1955.3.,"長野県浅間温泉調査報告,地調月報,1957"
長野県,栄の湯　,137,59,40,36,15,40,,不明,温泉・鉱泉,,,,52.5,,,8,,,,,,,,,,,,,,,,,,42.9,,,,,,,,,,,,,37,,,,,,,,,225.5,,,,,12,3,,,,,,,,,,,,,,,,,,,,1955.3.,"長野県浅間温泉調査報告,地調月報,1957"
長野県,松の湯　,137,59,40,36,15,40,,不明,温泉・鉱泉,,,,52.5,,,8,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,37,,,,,,,,,223.9,,,,,18,3,,,,,,,,,,,,,,,,,,,,1955.3.,"長野県浅間温泉調査報告,地調月報,1957"
長野県,せんきの湯,137,59,40,36,15,40,,不明,温泉・鉱泉,,,,50.5,,,8,,,,,,,,,,,,93,4.7,,,,,41.5,,,,,,,,,,,,,35,,,,,,,,,225,,,,,24,3,,,,,,,,,,,,,,,,,,,,1955.3.,"長野県浅間温泉調査報告,地調月報,1957"
長野県,東北源泉,137,59,40,36,15,40,,不明,温泉・鉱泉,,,,53,,,8,,,,,,,,,,,,,,,,,,42.9,,,,,,,,,,,,,35,,,,,,,,,213.2,,,,,18,3,,,,,,,,,,,,,,,,,,,,1955.3.,"長野県浅間温泉調査報告,地調月報,1957"
