都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
青森県,青森市産ガス地,,,,,,,,井戸,ガス井,,,,,,,,7.1,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,26,,,,,,,,,0,,,,,189,,,,,,,,,,,,,,,,,,,,,,本邦天然ガス鉱床の地質学的研究，地調報告，1956
青森県,津軽平野産ガス地,,,,,,,,井戸,ガス井,,,,,,,8.4,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,本邦天然ガス鉱床の地質学的研究，地調報告，1956
青森県,,140,36,40,40,25,50,,不明,温泉・鉱泉,,,,46,,,6.1,,,,,,,,,,,,2407,259,,,,159.9,483.4,,,,,,,,,,,,,5077,10.1,0.7,,,,,,,70,,,,,575.8,,,,,,,,,,,,,,,,,,,,,,本邦高鹹泉の温泉地質学的意義，地調月報，1958
青森県,,140,34,30,40,31,0,,不明,温泉・鉱泉,,,,55,,,7,,,,,,,,,,,,818.2,39.9,,,,8.7,241.3,,,,,,,,,,,,,1319,2.85,0.05,,,,,,,562.1,,,,,175.4,,,,,,,,,,,31.6,,,3.3,,,,,,,1956/6,青森県大鰐・碇ヶ関温泉について，地調月報，1959
青森県,,140,34,30,40,31,0,,不明,温泉・鉱泉,,,,48,,,6.9,,,,,,,,,,,,536.6,35.4,,,,6.8,162.4,,,,,,,,,,,,,872,,,,,,,,,364.2,,,,,169.6,,,,,,,,,,,20.7,,,9,,,,,,,1956/6,青森県大鰐・碇ヶ関温泉について，地調月報，1959
青森県,,140,34,30,40,31,0,,不明,温泉・鉱泉,,,,67,,,7.1,,,,,,,,,,,,821.4,36.7,,,,10.3,253.2,,,,,,,,,,,,,1317,,,,,,,,,523.8,,,,,133,,,,,,,,,,,30.4,,,4,,,,,,,1956/6,青森県大鰐・碇ヶ関温泉について，地調月報，1959
青森県,,140,34,30,40,31,0,,不明,温泉・鉱泉,,,,73,,,6.9,,,,,,,,,,,,,,,,,8.3,260.2,,,,,,,,,,,,,1454,3.32,0.08,,,,,,,588.4,,,,,155.6,,,,,,,,,,,,,,7.7,,,,,,,1956/6,青森県大鰐・碇ヶ関温泉について，地調月報，1959
青森県,,140,34,30,40,31,0,,不明,温泉・鉱泉,,,,79,,,7.1,,,,,,,,,,,,,,,,,8.3,255,,,,,,,,,,,,,1351,2.92,0.08,,,,,,,595.9,,,,,148.8,,,,,,,,,,,,,,3.3,,,,,,,1956/6,青森県大鰐・碇ヶ関温泉について，地調月報，1959
青森県,,140,34,30,40,31,0,,不明,温泉・鉱泉,,,,,,,7.3,,,,,,,,,,,,,,,,,5.7,232.2,,,,,,,,,,,,,1099,,,,,,,,,543.2,,,,,128.1,,,,,,,,,,,,,,3.3,,,,,,,1956/6,青森県大鰐・碇ヶ関温泉について，地調月報，1959
青森県,,140,34,30,40,31,0,,不明,温泉・鉱泉,,,,68,,,7.7,,,,,,,,,,,,,,,,,5.9,220.9,,,,,,,,,,,,,1035,,,,,,,,,540.5,,,,,128.1,,,,,,,,,,,,,,3.3,,,,,,,1956/6,青森県大鰐・碇ヶ関温泉について，地調月報，1959
青森県,,140,34,30,40,31,0,,不明,温泉・鉱泉,,,,70,,,7.5,,,,,,,,,,,,659.3,34.1,,,,5.2,225.9,,,,,,,,,,,,,1031,,,,,,,,,548.9,,,,,128.1,,,,,,,,,,,27.9,,,4,,,,,,,1956/6,青森県大鰐・碇ヶ関温泉について，地調月報，1959
青森県,,140,34,30,40,31,0,,不明,温泉・鉱泉,,,,76,,,8.2,,,,,,,,,,,,745.9,33.4,,,,7.6,250.2,,,,,,,,,,,,,1187,,,,,,,,,637,,,,,114.7,15,,,,,,,,,,25.5,,,1,,,,,,,1956/6,青森県大鰐・碇ヶ関温泉について，地調月報，1959
青森県,,140,34,30,40,31,0,,不明,温泉・鉱泉,,,,68,,,6.9,,,,,,,,,,,,,,,,,7.6,248.3,,,,,,,,,,,,,1258,,,,,,,,,627.9,,,,,164.7,,,,,,,,,,,,,,4.2,,,,,,,1956/6,青森県大鰐・碇ヶ関温泉について，地調月報，1959
青森県,,140,34,30,40,31,0,,不明,温泉・鉱泉,,,,70,,,8,,,,,,,,,,,,812,40.5,,,,7.9,253.1,,,,,,,,,,,,,1379,,,,,,,,,576.1,,,,,152.5,,,,,,,,,,,32.8,,,0,,,,,,,1956/6,青森県大鰐・碇ヶ関温泉について，地調月報，1959
青森県,,140,34,30,40,31,0,,不明,温泉・鉱泉,,,,64,,,7.3,,,,,,,,,,,,749,36,,,,7,232.4,,,,,,,,,,,,,1290,,,,,,,,,532.5,,,,,152.5,,,,,,,,,,,32.8,,,3.3,,,,,,,1956/6,青森県大鰐・碇ヶ関温泉について，地調月報，1959
