都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
静岡県,浜松市東伊場町 1,,,,,,,,井戸,用水,150,,,,3840,,,,,,,105,,8800,,,,,,,,,,1.5,4.1,,,,,,,,,,,,,3.6,,,,,,,,,6,,,,,,,,,,,,,,32.8,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜松市東伊場町 1172,,,,,,,,井戸,用水,150,,,,504,,,,,,,108,,8600,,,,,,,,,,1.7,3.7,,,,,,,,,,,,,3,,,,,,,,,6,,,,,,,,,,,,,,36,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜松市東伊場町,,,,,,,,井戸,用水,120,,,,,,,,,,,114,,8800,,,,,,,,,,1.1,3.1,,,,,,,,,,,,,2.8,,,,,,,,,6,,,,,,,,,,,,,,37.6,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜松市浅田町,,,,,,,,井戸,用水,100,,,,,,,,,,,110,,9600,,,,,,,,,,1.3,2.8,,,,,,,,,,,,,3.6,,,,,,,,,7,,,,,,,,,,,,,,34.4,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜松市船越町,,,,,,,,井戸,用水,108,,,,,,,,,,,127,,7160,,,,,,,,,,3.2,6.4,,,,,,,,,,,,,9.3,,,,,,,,,10,,,,,,,,,,,,,,36,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜松市浅田町,,,,,,,,井戸,用水,126,,,,,,,,,,,98,,9400,,,,,,,,,,1.7,0.4,,,,,,,,,,,,,2.4,,,,,,,,,6,,,,,,,,,,,,,,31.2,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜松市船越町,,,,,,,,井戸,用水,75,,,,,,,,,,,101,,10640,,,,,,,,,,1.6,2.6,,,,,,,,,,,,,3,,,,,,,,,6,,,,,,,,,,,,,,43.2,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜松市板屋町,,,,,,,,井戸,用水,124,,,,,,,,,,,104,,7400,,,,,,,,,,4.2,6,,,,,,,,,,,,,4,,,,,,,,,3,,,,,,,,,,,,,,38.4,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜松市北寺島町,,,,,,,,井戸,用水,126,,,,,,,,,,,110,,7000,,,,,,,,,,0.8,0.4,,,,,,,,,,,,,2.9,,,,,,,,,8,,,,,,,,,,,,,,31.6,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,磐田市,,,,,,,,井戸,用水,45,,,,,,,,,,,62,,11200,,,,,,,,,,2.3,3.3,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,磐田市天竜,,,,,,,,井戸,用水,60,,,,3960,,,,,,,93,,3960,,,,,,,,,,5,17.7,,,,,,,,,,,,,8.4,,,,,,,,,11,,,,,,,,,,,,,,22.4,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,磐田市栄町,,,,,,,,井戸,用水,90,,,,,,,,,,,96,,9400,,,,,,,,,,1.6,2.9,,,,,,,,,,,,,2,,,,,,,,,10,,,,,,,,,,,,,,22.4,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜名郡二俣町,,,,,,,,井戸,用水,21,,,,,,,,,,,61,,7400,,,,,,,,,,2.9,4.5,,,,,,,,,,,,,4.5,,,,,,,,,11,,,,,,,,,,,,,,16.4,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜名郡新居町,,,,,,,,井戸,用水,60,,,,912,,,,,,,4550,,152,,,,,,,,,,167.5,130.3,,,,,,,,,,,,,2230,,,,,,,,,14,,,,,,,,,,,,,,20.8,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜名郡鷲津町,,,,,,,,井戸,用水,90,,,,264,,,,,,,170,,4120,,,,,,,,,,6,3.7,,,,,,,,,,,,,28.4,,,,,,,,,10,,,,,,,,,,,,,,26.8,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜松市中田島町,,,,,,,,井戸,用水,,,,,,,,,,,,331,,2320,,,,,,,,,,8.2,14.5,,,,,,,,,,,,,135,,,,,,,,,14,,,,,,,,,,,,,,28.4,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜松市船越町,,,,,,,,井戸,用水,4.6,,,,,,,,,,,290,,2720,,,,,,,,,,13.3,34.9,,,,,,,,,,,,,58.4,,,,,,,,,14,,,,,,,,,,,,,,28,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜松郡北浜町,,,,,,,,井戸,用水,15,,,,,,,,,,,124,,6200,,,,,,,,,,3.6,20.8,,,,,,,,,,,,,6.5,,,,,,,,,14,,,,,,,,,,,,,,14.4,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜松郡北浜町,,,,,,,,井戸,用水,15,,,,,,,,,,,112,,6200,,,,,,,,,,3.3,19.8,,,,,,,,,,,,,6.8,,,,,,,,,15,,,,,,,,,,,,,,15.6,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,浜松郡北浜町,,,,,,,,井戸,用水,16,,,,,,,,,,,102,,5800,,,,,,,,,,3.1,19.1,,,,,,,,,,,,,6.8,,,,,,,,,11,,,,,,,,,,,,,,14.4,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,磐田市二ノ宮,,,,,,,,湧泉,用水,,,,,,,,,,,,90,,8400,,,,,,,,,,5.4,8.3,,,,,,,,,,,,,4.2,,,,,,,,,10,,,,,,,,,,,,,,24.8,,,,,,,,,,,,1953-09-01 00:00:00,"静岡県西遠地域工業用水源地域調査報告,地調月報, 1954"
静岡県,庵原郡高部村,,,,,,,,井戸,ガス井,227.2,,14.9,20.5,450,,8.2,7.8,,,,,,,,,,,,,,,0.49,25,2745,,,,,0.05,0,0.05,,,,,,8092,,,,0,0,,,,0,,,,,21.4,9,,,,,,,,,,,0.34,,,22,,,0.1,,,1953-12-01 00:00:00,"静岡県庵原郡高部村付近天然ガス調査報告,地調報告, 1955"
静岡県,庵原郡高部村,,,,,,,,井戸,ガス井,242.7,,13.5,18.9,512,,7.4,7.5,,,,,,,,,,,,,,,0.26,23,1672,,,,,0.15,0.01,0.16,,,,,,47020,,,,0,0,,,,0,,,,,48.8,,,,,,,,,,,,0.03,,6.6,41.8,,,0.075,,,1953-12-01 00:00:00,"静岡県庵原郡高部村付近天然ガス調査報告,地調報告, 1955"
静岡県,庵原郡高部村,,,,,,,,井戸,ガス井,211.5,,11.6,18.7,470,,7.7,7.7,,,,,,,,,,,,,,,0.34,41,2167,,,,,0.11,0.1,0.21,,,,,,6024,,,,0,0,,,,0,,,,,47.4,,,,,,,,,,,,0.24,,7.5,41.7,,,0.02,,,1953-12-01 00:00:00,"静岡県庵原郡高部村付近天然ガス調査報告,地調報告, 1955"
静岡県,庵原郡高部村,,,,,,,,井戸,ガス井,132,,13.8,18.7,644,,7.3,7.3,,,,,,,,,,,,,,,0.55,37,2261,,,,,0.15,0.13,0.28,,,,,,6153,,,,0,0,,,,0,,,,,34.2,,,,,,,,,,,,0.24,,4.4,29.1,,,0.075,,,1953-12-01 00:00:00,"静岡県庵原郡高部村付近天然ガス調査報告,地調報告, 1955"
静岡県,庵原郡高部村,,,,,,,,井戸,ガス井,99,,10.8,16.9,,,7.2,7.7,,,,,,,,,,,,,,,0.45,82,317,,,,,0.64,0.22,0.86,,,,,,1112,,,,0,0,,,,0,,,,,173,,,,,,,,,,,,0.44,,16.3,141,,,0.2,,,1953-12-01 00:00:00,"静岡県庵原郡高部村付近天然ガス調査報告,地調報告, 1955"
静岡県,庵原郡高部村,,,,,,,,井戸,ガス井,121.2,,,,,,,7.8,,,,,,,,,,,,,,,1.51,,,,,,,,,,,,,,,285,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,1953-12-01 00:00:00,"静岡県庵原郡高部村付近天然ガス調査報告,地調報告, 1955"
静岡県,庵原郡高部村,,,,,,,,井戸,用水,26,,11.6,16.6,20,,7.6,7.8,,,,,,,,,,,,,,,0.28,9,27,,,,,0.08,0,0.08,,,,,,117,,,,0,0,,,,0,,,,,114,,,,,,,,,,,,0.13,,3.1,85.3,,,0.35,,,1953-12-01 00:00:00,"静岡県庵原郡高部村付近天然ガス調査報告,地調報告, 1955"
