都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
香川県,丸亀郡杵原町上294,133,48,20,34,15,50,,井戸,観測井,131.5,,,,,,6.99,,,,,,,,,0.7,,,22.3,1.2,,,0.04,4.2,10.3,,,,,0.18,,1.8,,,,,,13.7,,,,,,,,,1.7,,,,,,87.8,,,,,,,,32,,,7.68,,5.3,,,,,,,,"香川県讃岐地区地下水利用適正化調査報告,工業用水,1973"
香川県,坂出市林田町181,133,54,20,34,19,20,,井戸,観測井,85.5,,,,,,7,,,,,,,,,2.5,,,145.7,2.8,,,0,8.3,18,,,,,0.01,,0.05,,,,,,137.6,,,,,,,,,17.2,,,,,,246.4,,,,,,,,25,,,4.96,,12.3,,,,,,,,"香川県讃岐地区地下水利用適正化調査報告,工業用水,1973"
香川県,善通寺市金蔵寺町1001,133,47,10,34,14,30,,井戸,観測井,88,,,,,,6.7,,,,,,,,,1.6,,,29.6,1.1,,,0.08,6.8,23.1,,,,,0.11,,1.08,,,,,,9.9,,,,,,,,,2.2,,,,,,165.9,,,,,,,,27.5,,,7.6,,17.6,,,,,,,,"香川県讃岐地区地下水利用適正化調査報告,工業用水,1973"
香川県,仲多度郡多度津町南鴨704,133,46,10,34,15,30,,井戸,観測井,143,,,,,,7.4,,,,,,,,,4.1,,,46.3,1.3,,,0.25,6.8,14.6,,,,,0.08,,0.52,,,,,,10.5,,,,,,,,,0.8,,,,,,183,,,,,,,,27.5,,,6.24,,5.3,,,,,,,,"香川県讃岐地区地下水利用適正化調査報告,工業用水,1973"
香川県,稜歌郡宇多津町津の郷,133,50,30,34,17,20,,井戸,観測井,57.8,,,,,,6.4,,,,,,,,,8.88,,,38.4,1.4,,,0.4,8.3,25.7,,,,,1.2,,18,,,,,,46.2,,,,,,,,,52.5,,,,,,97.6,,,,,,,,30,,,2.88,,35.2,,,,,,,,"香川県讃岐地区地下水利用適正化調査報告,工業用水,1973"
香川県,高松市円座町,134,1,0,34,17,0,,井戸,用水,6,,,15.6,300,,,7,,,,,269,,,0,,,34.2,2.3,,,0,3.6,19.9,,,,0,0,0,0.05,,,,,,42.1,,,,0,6.6,,,,0,,,,,50.7,,,,,,,,,15,,,,,,,,,,,,1975-01-27 00:00:00,"香川県高松地域地下水利用適正化調査報告,工業用水,1976"
香川県,高松市担紙町,134,0,30,34,18,10,,井戸,用水,50,,,15.6,280,,,6.8,,,,,273,,,0.2,,,31.2,1.9,,,0,5.7,21.9,,,,0.12,0.08,0.09,0.17,,,,,,22.7,,,,0,0.5,,,,0,,,,,113.9,,,,,,,,,40,,,,,,,,,,,,1975-01-21 00:00:00,"香川県高松地域地下水利用適正化調査報告,工業用水,1976"
香川県,高松市香西東町,134,0,40,34,20,30,,井戸,用水,50,,,17.6,150,,,6.8,,,,,2110,,,2.1,,,169.4,11,,,1.2,48.2,116.1,,,,2.95,1.07,6.73,7.8,,,,,,556.7,,,,0,0,,,,0,,,,,183,,,,,,,,,31.2,,,,,,,,,,,,1975-01-18 00:00:00,"香川県高松地域地下水利用適正化調査報告,工業用水,1976"
香川県,高松市仏生山町,134,2,40,34,17,0,,井戸,用水,13.7,,,15.7,195,,,7.2,,,,,357,,,2.7,,,143,11.8,,,0,8.6,41.6,,,,0.13,1.96,3.04,5,,,,,,207.2,,,,0,6.6,,,,0,,,,,99.1,,,,,,,,,19.8,,,,,,,,,,,,1975-01-15 00:00:00,"香川県高松地域地下水利用適正化調査報告,工業用水,1976"
香川県,高松市太田下車,134,2,50,34,18,10,,井戸,用水,8,,,15.7,130,,,6.4,,,,,377,,,0.4,,,23.4,5.2,,,0,6.4,41.1,,,,0,0,0,0,,,,,,33.9,,,,0,17.3,,,,0,,,,,81,,,,,,,,,20.4,,,,,,,,,,,,1975-01-15 00:00:00,"香川県高松地域地下水利用適正化調査報告,工業用水,1976"
