都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
高知県,吾川郡吾川村蕨谷,133,11,20,33,34,10,,湧泉,不明,,,,21.7,,H2S臭,7.2,8.2,,,,,,,,,,,11.7,0.9,,,0,5.3,40,,,,,,,,,,,,,8.7,,,,,,,,,0,,,,,168,,,,,,,,,,,,0.41,,,,,,,,,1958,"古期岩層のメタンガスについて,地調月報,1962"
高知県,吾川郡吾川村蕨谷,133,11,20,33,34,10,,湧泉,不明,,,,22.8,,H2S臭,7.2,8.1,,,,,,,,,,,4.6,0.9,,,0,6.3,52.1,,,,,,,,,,,,,5.5,,,,,,,,,0,,,,,197,,,,,,,,,,,,0.13,,,,,,,,,1958,"古期岩層のメタンガスについて,地調月報,1962"
高知県,高知市,133,30,30,33,33,0,,井戸,用水,30,,,,,,,,,,,78,,,,,,,3.2,0.6,,,,2.1,10.9,,,,,,,0.01,,,,,,3.5,,,,,,,,,5.8,,,,,42.7,,,,,,,,,9.2,,,,,,,,,,,,1966-11-14 00:00:00,"高知平野の地下水.地調月報,1968"
高知県,高知市,133,30,30,33,33,10,,井戸,用水,15,,,,,,7,,,,,86,,,,,,,3.7,0.5,,,,1.7,14.1,,,,,,,0.01,,,,,,3.5,,,,,,,,,13.4,,,,,38.7,,,,,,,,,10.4,,,,,,,,,,,,1966-11-14 00:00:00,"高知平野の地下水.地調月報,1968"
高知県,高知市,133,30,40,33,32,50,,湧泉,用水,,,,,,,6.8,,,,,98.1,,,,,,,6.2,0.7,,,,3.1,15.5,,,,,,,0.01,,,,,,7.1,,,,,,,,,6.7,,,,,48.3,,,,,,,,,10.5,,,,,,,,,,,,1966-11-14 00:00:00,"高知平野の地下水.地調月報,1968"
高知県,高知市,133,31,0,33,33,20,,井戸,用水,18,,,,,,6.6,,,,,143.8,,,,,,,9,3.1,,,,3.8,18.9,,,,,,,0.05,,,,,,11.3,,,,,,,,,14.3,,,,,69.8,,,,,,,,,13.5,,,,,,,,,,,,1966-11-14 00:00:00,"高知平野の地下水.地調月報,1968"
高知県,高知市,133,31,20,33,32,50,,井戸,用水,25,,,,,,6.8,,,,,144.8,,,,,,,10,1.6,,,,4.8,16.1,,,,,,,0.27,,,,,,7.8,,,,,,,,,8.7,,,,,80,,,,,,,,,15.5,,,,,,,,,,,,1966-11-14 00:00:00,"高知平野の地下水.地調月報,1968"
高知県,高知市,133,32,10,33,33,20,,井戸,用水,30,,,,,,7.3,,,,,131.1,,,,,,,6.7,0.9,,,,3.5,18.3,,,,,,,0.03,,,,,,9.9,,,,,,,,,7.5,,,,,70.8,,,,,,,,,13.5,,,,,,,,,,,,1966-11-14 00:00:00,"高知平野の地下水.地調月報,1968"
高知県,高知市,133,32,40,33,33,30,,井戸,用水,30,,,,,,7.3,,,,,160.9,,,,,,,25.6,1.2,,,,3.9,12.6,,,,,,,0.02,,,,,,17.7,,,,,,,,,8.3,,,,,76.8,,,,,,,,,14.8,,,,,,,,,,,,1966-11-14 00:00:00,"高知平野の地下水.地調月報,1968"
高知県,高知市,133,32,50,33,32,50,,井戸,用水,30,,,,,,7,,,,,418.1,,,,,,,73,8.5,,,,12,44.8,,,,,,,4,,,,,,94,,,,,,,,,34.2,,,,,178.6,,,,,,,,,19,,,,,,,,,,,,1966-11-14 00:00:00,"高知平野の地下水.地調月報,1968"
