都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
鳥取県,三朝郡大字三朝字梁瀬３０２−２,133,53,46,35,24,34,,湧泉,温泉・鉱泉,,,,70,,,6.9,,,,,1555,,,,,,,,,,,,12.24,37.07,,,,,0.16,,,,,,,,617.6,,,,,,,,,135.6,,,,,174.4,,,,,,,,,,,4.88,,,,,,,,,,1951.4.25.,鳥取県三朝温泉調査報告，岡山大学温泉研究所報告16号，1956
鳥取県,三朝郡大字三朝字梁瀬１５１,133,53,46,35,24,34,,湧泉,温泉・鉱泉,,,,69,,,6.9,,,,,1912,,,,,,,,,,,,3.49,49.06,,,,,0.18,,,,,,,,777.7,,,,,,,,,150,,,,,194.6,,,,,,,,,,,8.73,,,,,,,,,,1951.4.26.,鳥取県三朝温泉調査報告，岡山大学温泉研究所報告16号，1956
鳥取県,三朝郡大字三朝字下河原３０９,133,53,46,35,24,34,,湧泉,温泉・鉱泉,,,,69,,,7,,,,,1524,,,,,,,,,,,,3.16,36.13,,,,,0.15,,,,,,,,604.2,,,,,,,,,132,,,,,178.4,,,,,,,,,,,5.95,,,,,,,,,,1951.4.26.,鳥取県三朝温泉調査報告，岡山大学温泉研究所報告16号，1956
鳥取県,三朝郡大字山田字梁瀬１７４,133,53,46,35,24,34,,湧泉,温泉・鉱泉,,,,53.8,,,7,,,,,1900,,,,,,,,,,,,6.33,27.97,,,,,0.18,,,,,,,,777.7,,,,,,,,,145.7,,,,,190.3,,,,,,,,,,,19.6,,,,,,,,,,1952.3.6.,鳥取県三朝温泉調査報告，岡山大学温泉研究所報告16号，1956
鳥取県,三朝郡大字山田字梁瀬１５８−２,133,53,46,35,24,34,,湧泉,温泉・鉱泉,,,,65,,,6.8,,,,,1940,,,,,,,,,,,,1.28,9.83,,,,,0.4,,,,,,,,854.2,,,,,,,,,158.8,,,,,187.4,,,,,,,,,,,14.2,,,,,,,,,,1952.3.6.,鳥取県三朝温泉調査報告，岡山大学温泉研究所報告16号，1956
鳥取県,三朝郡大字三朝村通８５０,133,53,46,35,24,34,,湧泉,温泉・鉱泉,,,,60,,,7.2,,,,,755,,,,,,,,,,,,7.21,26.65,,,,,0.16,,,,,,,,262,,,,,,,,,46.3,,,,,154.1,,,,,,,,,,,5.29,,,,,,,,,,1952.3.6.,鳥取県三朝温泉調査報告，岡山大学温泉研究所報告16号，1956
鳥取県,三朝郡大字三朝字半畑９４３,133,53,46,35,24,34,,湧泉,温泉・鉱泉,,,,69,,,7,,,,,,,,,,,,,,,,,6.99,21.36,,,,,0.67,,,,,,,,356.1,,,,,,,,,78.7,,,,,204.6,,,,,,,,,,,4.95,,,,,,,,,,1952.3.6.,鳥取県三朝温泉調査報告，岡山大学温泉研究所報告16号，1956
鳥取県,三朝郡大字三朝字半畑９４３,133,53,46,35,24,34,,湧泉,温泉・鉱泉,,,,64,,,7,,,,,958,,,,,,,,,,,,6.34,13.04,,,,,0.19,,,,,,,,327,,,,,,,,,74.8,,,,,121.8,,,,,,,,,,,5.97,,,,,,,,,,1952.3.6.,鳥取県三朝温泉調査報告，岡山大学温泉研究所報告16号，1956
鳥取県,三朝郡大字三朝村通８５１,133,53,46,35,24,34,,湧泉,温泉・鉱泉,,,,73,,,7,,,,,1039,,,,,,,,,,,,6.12,23.63,,,,,0.26,,,,,,,,336.3,,,,,,,,,82.6,,,,,207.7,,,,,,,,,,,7.09,,,,,,,,,,1952.3.6.,鳥取県三朝温泉調査報告，岡山大学温泉研究所報告16号，1956
鳥取県,三朝郡大字三朝村通８５６,133,53,46,35,24,34,,湧泉,温泉・鉱泉,,,,60,,,7,,,,,1007,,,,,,,,,,,,8.74,34.78,,,,,0.26,,,,,,,,360.8,,,,,,,,,82.6,,,,,242.1,,,,,,,,,,,5.53,,,,,,,,,,1952.3.6.,鳥取県三朝温泉調査報告，岡山大学温泉研究所報告16号，1956
鳥取県,三朝郡大字山田字梁瀬１６２−２,133,53,46,35,24,34,,湧泉,温泉・鉱泉,,,,50,,,6.6,,,,,,,,,,,,,,,,,2.84,10.58,,,,,0.23,,,,,,,,544.2,,,,,,,,,98,,,,,,,,,,,,,,,,14.5,,,,,,,,,,1952.3.7.,鳥取県三朝温泉調査報告，岡山大学温泉研究所報告16号，1956
