都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
鹿児島県,吉松地区,130,44,30,32,1,10,,井戸,温泉・鉱泉,136,,,44.5,,,7.4,7.5,,,,,,,,11.6,,,,,,,1.28,,2.14,,,,,,,,,,,,,5.6,,,,0,,,,,3,,,,,91.4,0,,,,,,,,,,,,,3.1,68.9,,,0.01,,,1954-03-04 00:00:00,"宮崎県小林市附近天然ガス調査報告,地調報告,1956"
鹿児島県,吉松地区,130,44,20,32,1,30,,井戸,温泉・鉱泉,118,,,49.3,21,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,0,0,,,,,,,,,8.8,0,,,,,,,,,,,,,13.4,22.2,,,,,,1954-03-04 00:00:00,"宮崎県小林市附近天然ガス調査報告,地調報告,1956"
鹿児島県,吉松地区,130,44,20,32,1,50,,井戸,温泉・鉱泉,27,,,62,28,,6.5,7.2,,,,,,,,,,,,,,,8.25,18.3,48.8,,,,,,,,,,,,,117,,,,0,0,,,,1,,,,,616,0,,,,,,,,,,,,,128,572,,,0.02,,,1954-03-04 00:00:00,"宮崎県小林市附近天然ガス調査報告,地調報告,1956"
鹿児島県,２号,,,,,,,,井戸,ガス井,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本邦天然ガス鉱床の地質学的研究,地調報告,1956"
鹿児島県,銀湯,,,,,,,,湧泉,温泉・鉱泉,,,,97,,,3,,,,,,,,,,,,,,,,0.5,6,10.7,,,,,,,1.9,,,,,,6.7,,,,,,,,,80.7,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
鹿児島県,太良湯,,,,,,,,湧泉,温泉・鉱泉,,,,97,,,3.6,,,,,,,,,,,,2.3,5.1,,,1,5.5,6.3,,,,,,,0.6,,,,,,5.7,,,,,,,,,60.9,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
鹿児島県,金湯,,,,,,,,湧泉,温泉・鉱泉,,,,71,,,6.5,,,,,,,,,,,,,,,,0.2,12,64.1,,,,,,,,,,,,,4.7,,,,,,,,,42.8,,,,,261.1,,,,,,,,,,,8.8,,,33,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
鹿児島県,常磐湯,,,,,,,,湧泉,温泉・鉱泉,,,,69,,,7.5,,,,,,,,,,,,25.1,12.2,,,0.1,16.5,41,,,,,,,,,,,,,5.1,,,,,,,,,22.2,,,,,253.8,,,,,,,,,,,8.8,,,,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
鹿児島県,関平,,,,,,,,湧泉,温泉・鉱泉,,,,49,,,7,,,,,,,,,,,,,,,,0.4,17.4,65.8,,,,,,,,,,,,,12.5,,,,,,,,,65.9,,,,,262.3,,,,,,,,,,,17.5,,,8.8,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
鹿児島県,鉾投,,,,,,,,湧泉,温泉・鉱泉,,,,79,,,4.8,,,,,,,,,,,,,,,,0.4,4.1,19.5,,,,,,,,,,,,,3.3,,,,,,,,,37.9,,,,,2.4,,,,,,,,,,,,,,6.6,,,,,,,,"本邦諸温泉の地質学的研究,地調報告,1962"
